,Название ЕО,ЕО,ТекстПланаПредупрТОРО,Название ВРТ,ВидЗаказа,Заказ,КраткийТекст заказа,СистСтатус,ПользСтатус,ПланДатаНачала,НовДатаНачала,ПланДатаНачала_month,НовДатаНачала_month
21,ЭД пост тока ДЭ-812,100000009347,Электродвигатель ДЭ-812 ЧАС,Техническое обслуживание,APP1,1100369367,(ТО) ДЭ-812 К 001,ПКАЛ ПРВВ ЗАКР МТКУ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  МТРЦ ТКБЕ СГГС,2022-01-13,2022-01-10,1,1
375,Генератор подъёма_4ГПЭМ 600-1/1,100000009369,(ТО) 4ГПЭМ 600-1/1,Техническое обслуживание,APP1,1100358955,(ТО) 4ГПЭМ 600-1/1,ДЕБЛ ПЕЧТ ЧПДТ ПКАЛ ПРВВ ДВМА ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  ПРНТ СРОЧ МТРЦ ТКБЕ СГГС,2022-01-15,2022-01-17,1,1
327,ЭД пост тока 4ГПЭ 300-1/2,100000009367,(ТО) 4ГПЭ 300-1/2,Техническое обслуживание,APP1,1100358911,(ТО) 4ГПЭ 300-1/2,ДЕБЛ ПЕЧТ ЧПДТ ПКАЛ ПРВВ ДВМА ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  ПРНТ СРОЧ МТРЦ ТКБЕ СГГС,2022-01-15,2022-01-17,1,1
351,Генератор напора_4ГПЭМ 170-1/1,100000009368,(ТО) 4ГПЭМ 170-1/1,Техническое обслуживание,APP1,1100358765,(ТО) 4ГПЭМ 170-1/1,ДЕБЛ ПЕЧТ ЧПДТ ПКАЛ ПРВВ ДВМА ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  ПРНТ СРОЧ МТРЦ ТКБЕ СГГС,2022-01-15,2022-01-17,1,1
455,ЭД синх ДСЭ-750-6,100000009373,(ТО) ДСЭ-750-6,Техническое обслуживание,APP1,1100358778,(ТО) ДСЭ-750-6,ДЕБЛ ПЕЧТ ЧПДТ ПКАЛ ПРВВ ДВМА ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  ПРНТ МТРЦ ТКБЕ СГГС,2022-01-15,2022-01-17,1,1
407,ЭД пост тока Д-12,100000009371,(ТО) Д-12,Техническое обслуживание,APP1,1100358996,(ТО) Д-12,ПЕЧТ ЧПДТ ПКАЛ ПРВВ ТЗКР ДВМА ДМНП JBFI,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  ПРНТ МТРЦ ТКБЕ СГГС,2022-01-16,2022-01-17,1,1
658,ЭД асинх  YJ13L3,100000025392,ТО Хода №2;  YJ13L3 К 047,Техническое обслуживание,APP1,1100358700,ТО Хода №2;  YJ13L3 К 047,ПКАЛ ПРВВ ЗАКР МТКУ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ НЕД  УТВН ГИП  СГГС,2022-01-20,2022-01-06,1,1
635,ЭД асинх  YJ13L3,100000025391,ТО YJ13L3 К 047,Техническое обслуживание,APP1,1100358722,ТО Хода №1;  YJ13L3 К 047,ПКАЛ ПРВВ ЗАКР МТКУ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ НЕД  УТВН ГИП  СГГС,2022-01-20,2022-01-06,1,1
798,ЭД асинх YJ56E,100000025402,(ТО)YJ56E,Техническое обслуживание,APP1,1100359538,(ТО)YJ56E,ПКАЛ ПРВВ ЗАКР МТКУ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ НЕД  УТВН ГИП  СГГС,2022-01-24,2022-01-06,1,1
821,ЭД асинх YJ142A,100000025403,(ТО) YJ142A,Техническое обслуживание,APP1,1100359616,(ТО) YJ142A,ПКАЛ ПРВВ ЗАКР МТКУ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ НЕД  УТВН ГИП  СГГС,2022-01-24,2022-01-06,1,1
736,ЭД асинх YX3-121M-4,100000025398,(ТО)YX3-121M-4,Техническое обслуживание,APP1,1100359878,(ТО)YX3-121M-4,ПКАЛ ПРВВ ЗАКР МТКУ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ НЕД  УТВН ГИП  СГГС,2022-01-24,2022-01-06,1,1
681,ЭД асинх YJ13L4,100000025393,(ТО) YJ13L4,Техническое обслуживание,APP1,1100359355,(ТО) YJ13L4,ПКАЛ ПРВВ ЗАКР МТКУ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ НЕД  УТВН ГИП  СГГС,2022-01-24,2022-01-06,1,1
883,ЭД асинх YJ80A1,100000025407,(ТО)YJ80A1,Техническое обслуживание,APP1,1100359459,(ТО)YJ80A1,ПКАЛ ПРВВ ЗАКР МТКУ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ НЕД  УТВН ГИП  СГГС,2022-01-24,2022-01-06,1,1
775,ЭД асинх YJ56E,100000025401,(ТО)YJ56E,Техническое обслуживание,APP1,1100359526,(ТО)YJ56E,ПКАЛ ПРВВ ЗАКР МТКУ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ НЕД  УТВН ГИП  СГГС,2022-01-24,2022-01-06,1,1
