,Название ЕО,ЕО,ТекстПланаПредупрТОРО,Название ВРТ,ВидЗаказа,Заказ,КраткийТекст заказа,СистСтатус,ПользСтатус,ПланДатаНачала,НовДатаНачала,ПланДатаНачала_month,НовДатаНачала_month,статус переноса
236,Самосвал карьерный HD1500-8 №1624,100000021344,Самосвал HD1500-8 №1624 МТЧ,Техническое обслуживание ТО №2,APP1,1100360738,Техническое обслуживание 2,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  ПТОМ СРОЧ МТРЦ ТКБЕ ПЗТГ СГГС,2022-01-01,2022-02-12,1,2,перенос в другой месяц
599,Самосвал карьерный HD1500-8 №1630,100000071921,Самосвал HD1500-8 №1630 МТЧ,Техническое обслуживание ТО №1,APP1,1100364220,Техническое обслуживание 1,НЕВЫ ПКАЛ ЗАКР МТКУ ДМНП,ГОД  УТВГ УТВП МЕС  ГИП  СРОЧ МТРЦ ТКБЕ ССПЛ,2022-01-01,2022-02-01,1,2,перенос в другой месяц
575,Самосвал карьерный HD1500-8 №1629,100000022783,ТР Самосвал HD1500-8 №1629,Текущий ремонт,APP1,1100381289,ТР Самосвал HD1500-8 №1629,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ СГГС,2022-01-04,2022-02-05,1,2,перенос в другой месяц
15,Самосвал карьерный HD1500-8 №1621,100000006408,Самосвал HD1500-8 №1621 МТЧ,Техническое обслуживание ТО №1,APP1,1100360305,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  ПТОМ СРОЧ МТРЦ ТКБЕ ПЗТГ СГГС,2022-01-04,2022-02-11,1,2,перенос в другой месяц
537,Самосвал карьерный HD1500-8 №1629,100000022783,Самосвал HD1500-8 №1629 МТЧ,Техническое обслуживание ТО №1,APP1,1100363036,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-01-04,2022-10-18,1,10,перенос в другой месяц
117,Самосвал карьерный HD1500-8 №1622,100000006409,ТР Самосвал HD1500-8 №1622,Текущий ремонт,APP1,1100381243,ТР Самосвал HD1500-8 №1622,ПЕЧТ ПДТВ ПКАЛ ПРВВ ТЗКР KKMP JBFI,ГОД  УТВГ МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ ПРНТ СГГС,2022-01-06,2022-01-04,1,1,без переноса
83,Самосвал карьерный HD1500-8 №1622,100000006409,Самосвал HD1500-8 №1622 МТЧ,Техническое обслуживание ТО №1,APP1,1100360699,Техническое обслуживание 1,ЧПЕЧ ПДТВ ПКАЛ ПРВВ ТЗКР ДВМА ДМНП JBFI,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  ГИП  ПТОМ ПРНТ МТРЦ ТКБЕ СГГС,2022-01-06,2022-01-17,1,1,без переноса
346,Самосвал карьерный HD1500-8 №1626,100000021466,Самосвал HD1500-8 №1626 МТЧ,Техническое обслуживание ТО №2,APP1,1100361446,Техническое обслуживание 2,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ СРОЧ МТРЦ ТКБЕ ПЗТГ СГГС,2022-01-06,2022-02-06,1,2,перенос в другой месяц
409,Самосвал карьерный HD1500-8 №1627,100000022743,Самосвал HD1500-8 №1627 МТЧ,Техническое обслуживание ТО №2,APP1,1100360254,Техническое обслуживание 2,ПЕЧТ ПДТВ ПКАЛ ПРВВ ТЗКР ДВМА ДМНП JBFI,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ ПРНТ МТРЦ ТКБЕ СГГС,2022-01-10,2022-01-24,1,1,без переноса
600,Самосвал карьерный HD1500-8 №1630,100000071921,Самосвал HD1500-8 №1630 МТЧ,Техническое обслуживание ТО №2,APP1,1100364236,Техническое обслуживание 2,НЕВЫ ПКАЛ ЗАКР МТКУ ДМНП,ГОД  УТВГ УТВП МЕС  ГИП  СРОЧ МТРЦ ТКБЕ ССПЛ,2022-01-12,2022-02-12,1,2,перенос в другой месяц
