,Название ЕО,ЕО,ТекстПланаПредупрТОРО,Название ВРТ,ВидЗаказа,Заказ,КраткийТекст заказа,СистСтатус,ПользСтатус,ПланДатаНачала,НовДатаНачала,ПланДатаНачала_month,НовДатаНачала_month,статус переноса,planned_in_jan_and_remaining_in_jan,planned_in_jan_moved_to_somewhere,planned_in_jan_moved_to_feb,planned_in_jan_moved_to_mar,planned_in_jan_moved_to_apr,planned_in_jan_moved_to_may,planned_in_jan_moved_to_jun,planned_in_jan_moved_to_jul,planned_in_jan_moved_to_aug,planned_in_jan_moved_to_sep,planned_in_jan_moved_to_oct,planned_in_jan_moved_to_nov,planned_in_jan_moved_to_dec,eo_description,teh_mesto,mvz,eo_class_code,eo_class_description,eo_main_code,eo_main_description,eo_main_class_code,eo_main_class_description,teh_mesto_description,level_upper,code,level_1,level_1_code,level_2_code,level_2_path,level_3_code,level_5,level_6,level_7,level_8,level_1_description,Unnamed: 0,Название технического места
0,Экскаватор гидравл. PC220-8 №1214,100000008679,Экскаватор PC220-8 №1214 МТЧ,Текущий ремонт 1,APP1,1100360866,ТР1 рабочего оборудования,ПЕЧТ ПДТВ ПКАЛ ПРВВ ТЗКР ДМНП KKMP JBFI,ГОД  УТВГ МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ ПРНТ СГГС,2022-01-01,2022-01-07,1,1,без переноса в другой месяц,1,0,0,0,0,0,0,0,0,0,0,0,0,Экскаватор гидравл. PC220-8 №1214,03-RUD-EKSK-VOBR-EX06,1214011820.0,E03_01,Экскаваторы гидравлические,100000008679,Экскаватор гидравл. PC220-8 №1214,E03_01,Экскаваторы гидравли,Экскаватор №1214,03-RUD-EKSK-VOBR-EXCV,first03-RUD-EKSK-VOBR-EX06,first03,03,RUD,03-RUD,EKSK,-,EKSK,VOBR,no_data,Полюс Вернинское,5189,Экскаваторы
1,Самосвал карьерный 785C №1620,100000008674,Самосвал 785C №1620,Техническое обслуживание 5,APP1,1100358748,Техническое обслуживание 5,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-01-01,2022-07-06,1,7,перенос в другой месяц,0,1,0,0,0,0,0,1,0,0,0,0,0,Самосвал карьерный 785C №1620,03-CTT-CC02,1213011420.0,E01_01,Самосвалы карьерные,100000008674,Самосвал карьерный 785C №1620,E01_01,Самосвалы карьерные,Самосвал №1620,03-CTT-C785,first03-CTT-CC02,first03,03,CTT,03-CTT,CC02,-,CC02,no_data,no_data,Полюс Вернинское,7640,Самосвалы CAT 785C
2,Экскаватор гидравл. PC220-8 №1214,100000008679,Экскаватор PC220-8 №1214 МТЧ,Техническое обслуживание 1,APP1,1100360932,Техническое обслуживание 1,ПЕЧТ ПДТВ ПКАЛ ПРВВ ТЗКР ДВМА ДМНП MOBI JBFI,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ ПРНТ СРОЧ МТРЦ ТКБЕ ПРЭК СГГС,2022-01-01,2022-01-19,1,1,без переноса в другой месяц,1,0,0,0,0,0,0,0,0,0,0,0,0,Экскаватор гидравл. PC220-8 №1214,03-RUD-EKSK-VOBR-EX06,1214011820.0,E03_01,Экскаваторы гидравлические,100000008679,Экскаватор гидравл. PC220-8 №1214,E03_01,Экскаваторы гидравли,Экскаватор №1214,03-RUD-EKSK-VOBR-EXCV,first03-RUD-EKSK-VOBR-EX06,first03,03,RUD,03-RUD,EKSK,-,EKSK,VOBR,no_data,Полюс Вернинское,5189,Экскаваторы
3,Самосвал карьерный HD1500-8 №1630,100000071921,Самосвал HD1500-8 №1630 МТЧ,Техническое обслуживание 1,APP1,1100364220,Техническое обслуживание 1,НЕВЫ ПКАЛ ЗАКР МТКУ ДМНП,ГОД  УТВГ УТВП МЕС  ГИП  СРОЧ МТРЦ ТКБЕ ССПЛ,2022-01-01,2022-02-01,1,2,перенос в другой месяц,0,1,1,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный HD1500-8 №1630,03-CTT-KM10,1213011320.0,E01_01,Самосвалы карьерные,100000071921,Самосвал карьерный HD1500-8 №1630,E01_01,Самосвалы карьерные,Самосвал №1630,03-CTT-K150,first03-CTT-KM10,first03,03,CTT,03-CTT,KM10,-,KM10,no_data,no_data,Полюс Вернинское,8146,Самосвалы Komatsu HD1500-8
4,Самосвал карьерный HD1500-8 №1624,100000021344,Самосвал HD1500-8 №1624 МТЧ,Техническое обслуживание 2,APP1,1100360738,Техническое обслуживание 2,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  ПТОМ СРОЧ МТРЦ ТКБЕ ПЗТГ СГГС,2022-01-01,2022-02-12,1,2,перенос в другой месяц,0,1,1,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный HD1500-8 №1624,03-CTT-KM04,1213011320.0,E01_01,Самосвалы карьерные,100000021344,Самосвал карьерный HD1500-8 №1624,E01_01,Самосвалы карьерные,Самосвал №1624,03-CTT-K150,first03-CTT-KM04,first03,03,CTT,03-CTT,KM04,-,KM04,no_data,no_data,Полюс Вернинское,8146,Самосвалы Komatsu HD1500-8
5,Экскаватор гидравл. PC400-7 №1202,100000008676,Экскаватор PC400-7 №1202 МТЧ,Техническое обслуживание 1,APP1,1100360771,Техническое обслуживание 1,ПЕЧТ ПДТВ ПКАЛ ПРВВ ТЗКР ДВМА ДМНП MOBI JBFI,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ ПРНТ МТРЦ ТКБЕ СГГС,2022-01-02,2022-01-22,1,1,без переноса в другой месяц,1,0,0,0,0,0,0,0,0,0,0,0,0,Экскаватор гидравл. PC400-7 №1202,03-RUD-EKSK-VOBR-EX02,1214011820.0,E03_01,Экскаваторы гидравлические,100000008676,Экскаватор гидравл. PC400-7 №1202,E03_01,Экскаваторы гидравли,Экскаватор №1202,03-RUD-EKSK-VOBR-EXCV,first03-RUD-EKSK-VOBR-EX02,first03,03,RUD,03-RUD,EKSK,-,EKSK,VOBR,no_data,Полюс Вернинское,5189,Экскаваторы
6,Экскаватор гидравл. PC400LC-7 №1209,100000022894,Экскаватор PC400LC-7 №1209 МТЧ,Текущий ремонт 1,APP1,1100360712,ТР1 рабочего оборудования,ПЕЧТ ПДТВ ПКАЛ ПРВВ ТЗКР ДВМА ДМНП JBFI,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  ПТОМ ПРНТ МТРЦ ТКБЕ СГГС,2022-01-02,2022-01-08,1,1,без переноса в другой месяц,1,0,0,0,0,0,0,0,0,0,0,0,0,Экскаватор гидравл. PC400LC-7 №1209,03-RUD-EKSK-VOBR-EX07,1214011820.0,E03_01,Экскаваторы гидравлические,100000022894,Экскаватор гидравл. PC400LC-7 №1209,E03_01,Экскаваторы гидравли,Экскаватор №1209,03-RUD-EKSK-VOBR-EXCV,first03-RUD-EKSK-VOBR-EX07,first03,03,RUD,03-RUD,EKSK,-,EKSK,VOBR,no_data,Полюс Вернинское,5189,Экскаваторы
7,Экскаватор гидравл. PC400LC-7 №1209,100000022894,Экскаватор PC400LC-7 №1209 МТЧ,Техническое обслуживание 1,APP1,1100360982,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-01-02,2022-10-16,1,10,перенос в другой месяц,0,1,0,0,0,0,0,0,0,0,1,0,0,Экскаватор гидравл. PC400LC-7 №1209,03-RUD-EKSK-VOBR-EX07,1214011820.0,E03_01,Экскаваторы гидравлические,100000022894,Экскаватор гидравл. PC400LC-7 №1209,E03_01,Экскаваторы гидравли,Экскаватор №1209,03-RUD-EKSK-VOBR-EXCV,first03-RUD-EKSK-VOBR-EX07,first03,03,RUD,03-RUD,EKSK,-,EKSK,VOBR,no_data,Полюс Вернинское,5189,Экскаваторы
8,Экскаватор гидравл. PC400-7 №1202,100000008676,Экскаватор PC400-7 №1202 МТЧ,Текущий ремонт 1,APP1,1100361247,ТР1 рабочего оборудования,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  ПТОМ СРОЧ МТРЦ ТКБЕ ПЗТГ СГГС,2022-01-02,2022-02-13,1,2,перенос в другой месяц,0,1,1,0,0,0,0,0,0,0,0,0,0,Экскаватор гидравл. PC400-7 №1202,03-RUD-EKSK-VOBR-EX02,1214011820.0,E03_01,Экскаваторы гидравлические,100000008676,Экскаватор гидравл. PC400-7 №1202,E03_01,Экскаваторы гидравли,Экскаватор №1202,03-RUD-EKSK-VOBR-EXCV,first03-RUD-EKSK-VOBR-EX02,first03,03,RUD,03-RUD,EKSK,-,EKSK,VOBR,no_data,Полюс Вернинское,5189,Экскаваторы
9,Экскаватор гидравл. PC400LC-7 №1210,100000006414,Экскаватор PC400LC-7 №1210 МТЧ,Текущий ремонт 1,APP1,1100360911,ТР1 рабочего оборудования,ПЕЧТ ПДТВ ПКАЛ ПРВВ ТЗКР ДВМА ДМНП JBFI,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ ПРНТ СРОЧ МТРЦ ТКБЕ СГГС,2022-01-04,2022-01-26,1,1,без переноса в другой месяц,1,0,0,0,0,0,0,0,0,0,0,0,0,Экскаватор гидравл. PC400LC-7 №1210,03-RUD-EKSK-VOBR-EX03,1214011820.0,E03_01,Экскаваторы гидравлические,100000006414,Экскаватор гидравл. PC400LC-7 №1210,E03_01,Экскаваторы гидравли,Экскаватор №1210,03-RUD-EKSK-VOBR-EXCV,first03-RUD-EKSK-VOBR-EX03,first03,03,RUD,03-RUD,EKSK,-,EKSK,VOBR,no_data,Полюс Вернинское,5189,Экскаваторы
