Подсчёт,Операция,Позиция ОК,ТехнМесто,Название ТехнМеста,УрИерархЕО,ВышестЕО,НазваниеВышестЕО,КлассВышестЕО,НаимКлассВышестЕО,ЕО,Название ЕО,ПланПредупрТОРО,ТекстПланаПредупрТОРО,ПозПредупрТОРО,ПозицияПредупредительного ТОРО (описание,№ отзыва,ВидРаботТОРО,Название ВРТ,СтратегияОбсл,ТипТК,ГруппаТК,СГрТК,ОписаниеТК,Приоритет,ТипЗаказа,ВидЗаказа,Заказ,КраткийТекст заказа,СистСтатус,ПользСтатус,ПланДатаНачала,ПланДатаНачала (Время),ПланДатаОкончания,ПланДатаОкончания (Время),НовДатаНачала,НовДатаНачала (Время),НовДатаОкончания,НоваяДатаОкончания (Время),ФактНачало,ФактНачало (время),ФактОкончание,ФактОкончание (время),ПредлСистСтат,Создал,ДатаСозд,Изменил,ДатаИзм,ПрогнознНаработка,Трудоёмкость,Продолжительность,Фактическая трудоёмкость,ПлСтоимость,ФктСтоимость,Кол-во пересогласований заказа,Индикатор планирования,СостПрУст,Время ремонтного простоя,Время технологического простоя,Общее время простоя (Зкз) - План,Общее время простоя (Зкз) - Факт,СПП-элемент,СПП-элемент(КрТекст)
1,,Нет,03-CTT-KH04,Самосвал №1606,1,100000008664,,,,100000008664,Самосвал карьерный HD785-5 №1606,,,,,0,ЭПБ,Технич освидетельств и ЭПБ,,E,,,,,30,APB1,1350000206,Мероприятия ЭПБ,ОТКР ПКАЛ ДМНП,МТРЦ ПЛАН,01.03.2022,0:00:00,01.03.2022,1:00:00,,0:00:00,,0:00:00,22.04.2021,14:47:43,22.04.2021,15:50:00,,SKARUPKEYUV,22.04.2021,KULIKOVVV2,12.05.2021,0,0,0,0,"45 000,00",0,0,1,,1,0,1,0,LT-1200-2022-2-032-01,ЭПБ (OPEX)
1,,Нет,03-CTT-KH05,Самосвал №1607,1,100000008665,,,,100000008665,Самосвал карьерный HD785-5 №1607,,,,,0,ЭПБ,Технич освидетельств и ЭПБ,,E,,,,,30,APB1,1350000205,Мероприятия ЭПБ,ОТКР ПКАЛ ДМНП,МТРЦ ПЛАН,01.03.2022,0:00:00,01.03.2022,1:00:00,,0:00:00,,0:00:00,22.04.2021,14:45:22,22.04.2021,15:45:00,,SKARUPKEYUV,22.04.2021,SKARUPKEYUV,13.12.2021,0,0,0,0,"50 000,00",0,0,1,,1,0,1,0,LT-1200-2022-2-032-01,ЭПБ (OPEX)
1,,Нет,03-KON-OBSL-OB02,БелАЗ-7547 №2441,1,100000068227,,,,100000068227,Самосвал карьерный БЕЛАЗ-7547 №2441,100000060161,БелАЗ 7547 №1 СЛ,162330,ТО-4 БелАЗ 7547 №1 СЛ,63,ТО4,Техническое обслуживание ТО №4,2-0175,A,M0003986,О4,,3-средний,30,APP1,1100368838,ТО-4 БелАЗ 7547 №1 СЛ,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  ПТОМ МТРЦ ТКБЕ ПЗТГ СГГС,12.01.2022,9:00:00,13.01.2022,9:00:00,25.02.2022,9:00:00,26.02.2022,9:00:00,20.12.2021,15:33:03,,0:00:00,,AZAROVAV,10.02.2021,TSYDENOVSL,27.01.2022,6 962,48,24,0,"187 629,61",0,1,1,,24,0,24,0,LT-1200-2022-4-024-02,Прочие (Мех OPEX)
1,,Нет,03-KON-OBSL-OB02,БелАЗ-7547 №2441,1,100000068227,,,,100000068227,Самосвал карьерный БЕЛАЗ-7547 №2441,100000060161,БелАЗ 7547 №1 СЛ,161546,ТО-1 БелАЗ 7547 №1 СЛ,64,ТО1,Техническое обслуживание ТО №1,2-0175,A,M0003986,О1,(ТО1) БелАЗ 7451 СЛ,3-средний,30,APP1,1100368785,ТО-1 БелАЗ 7547 №1 СЛ,ПЕЧТ ПДТВ ПКАЛ ПРВВ ТЗКР ДВМА ДМНП JBFI,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  ПРНТ МТРЦ ТКБЕ СГГС,25.01.2022,9:00:00,25.01.2022,15:00:00,09.01.2022,9:00:00,09.01.2022,15:00:00,09.01.2022,17:59:09,10.01.2022,2:33:23,,AZAROVAV,10.02.2021,ZHARKOVMM,11.01.2022,7 229,12,6,12,"53 314,82","51 806,28",1,1,,6,0,6,"8,57",LT-1200-2022-4-024-02,Прочие (Мех OPEX)
1,,Нет,03-KON-OBSL-OB02,БелАЗ-7547 №2441,1,100000068227,,,,100000068227,Самосвал карьерный БЕЛАЗ-7547 №2441,100000060161,БелАЗ 7547 №1 СЛ,161546,ТО-1 БелАЗ 7547 №1 СЛ,64,ТО1,Техническое обслуживание ТО №1,2-0175,A,M0003986,О1,(ТО1) БелАЗ 7451 СЛ,3-средний,30,APP1,1100368785,ТО-1 БелАЗ 7547 №1 СЛ,ПЕЧТ ПДТВ ПКАЛ ПРВВ ТЗКР ДВМА ДМНП JBFI,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  ПРНТ МТРЦ ТКБЕ СГГС,25.01.2022,9:00:00,25.01.2022,15:00:00,09.01.2022,9:00:00,09.01.2022,15:00:00,09.01.2022,9:00:00,,0:00:00,,AZAROVAV,10.02.2021,ZHARKOVMM,11.01.2022,7 229,12,6,12,"53 314,82","51 806,28",1,1,,6,0,6,0,LT-1200-2022-4-024-02,Прочие (Мех OPEX)
1,,Нет,03-KON-OBSL-OB02,БелАЗ-7547 №2441,1,100000068227,,,,100000068227,Самосвал карьерный БЕЛАЗ-7547 №2441,100000060161,БелАЗ 7547 №1 СЛ,161547,ТО-2 БелАЗ 7547 №1 СЛ,65,ТО2,Техническое обслуживание ТО №2,2-0175,A,M0003986,О2,,3-средний,30,APP1,1100368815,ТО-2 БелАЗ 7547 №1 СЛ,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  ПТОМ МТРЦ ТКБЕ ПЗТГ СГГС,06.02.2022,9:00:00,06.02.2022,17:00:00,02.02.2022,9:00:00,02.02.2022,17:00:00,,0:00:00,,0:00:00,,AZAROVAV,10.02.2021,TSYDENOVSL,27.01.2022,7 475,16,8,0,"74 468,07",0,1,1,,8,0,8,0,LT-1200-2022-4-024-02,Прочие (Мех OPEX)
1,,Нет,03-KON-OBSL-OB02,БелАЗ-7547 №2441,1,100000068227,,,,100000068227,Самосвал карьерный БЕЛАЗ-7547 №2441,100000060161,БелАЗ 7547 №1 СЛ,161546,ТО-1 БелАЗ 7547 №1 СЛ,66,ТО1,Техническое обслуживание ТО №1,2-0175,A,M0003986,О1,(ТО1) БелАЗ 7451 СЛ,3-средний,30,APP1,1100368786,ТО-1 БелАЗ 7547 №1 СЛ,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  ПТОМ МТРЦ ТКБЕ ПЗТГ СГГС,18.02.2022,9:00:00,18.02.2022,15:00:00,15.02.2022,9:00:00,15.02.2022,15:00:00,,0:00:00,,0:00:00,,AZAROVAV,10.02.2021,TSYDENOVSL,27.01.2022,7 722,12,6,0,"53 314,82",0,1,1,,6,0,6,0,LT-1200-2022-4-024-02,Прочие (Мех OPEX)
1,,Нет,03-KON-OBSL-OB02,БелАЗ-7547 №2441,1,100000068227,,,,100000068227,Самосвал карьерный БЕЛАЗ-7547 №2441,100000060161,БелАЗ 7547 №1 СЛ,161548,ТО-3 БелАЗ 7547 №1 СЛ,67,ТО3,Техническое обслуживание ТО №3,2-0175,A,M0003986,О3,,3-средний,30,APP1,1100368830,ТО-3 БелАЗ 7547 №1 СЛ,ДЕБЛ ПДТВ ПКАЛ ПРВВ ДВМА ДМНП JBFI,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  ПРНТ МТРЦ ТКБЕ СГГС,02.03.2022,9:00:00,02.03.2022,21:00:00,22.01.2022,7:00:00,22.01.2022,19:00:00,22.01.2022,6:23:15,22.01.2022,20:59:02,,AZAROVAV,10.02.2021,MEKHEDOVNV,25.01.2022,7 968,24,12,24,"136 094,73","119 452,50",1,1,,12,0,12,"14,6",LT-1200-2022-4-024-02,Прочие (Мех OPEX)
1,,Нет,03-KON-OBSL-OB02,БелАЗ-7547 №2441,1,100000068227,,,,100000068227,Самосвал карьерный БЕЛАЗ-7547 №2441,100000060161,БелАЗ 7547 №1 СЛ,161546,ТО-1 БелАЗ 7547 №1 СЛ,68,ТО1,Техническое обслуживание ТО №1,2-0175,A,M0003986,О1,(ТО1) БелАЗ 7451 СЛ,3-средний,30,APP1,1100368789,ТО-1 БелАЗ 7547 №1 СЛ,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,14.03.2022,9:00:00,14.03.2022,15:00:00,14.03.2022,9:00:00,14.03.2022,15:00:00,,0:00:00,,0:00:00,,AZAROVAV,10.02.2021,AZAROVAV,09.12.2021,8 215,12,6,0,"53 314,82",0,1,1,,6,0,6,0,LT-1200-2022-4-024-02,Прочие (Мех OPEX)
1,,Нет,03-KON-OBSL-OB02,БелАЗ-7547 №2441,1,100000068227,,,,100000068227,Самосвал карьерный БЕЛАЗ-7547 №2441,100000060161,БелАЗ 7547 №1 СЛ,161547,ТО-2 БелАЗ 7547 №1 СЛ,69,ТО2,Техническое обслуживание ТО №2,2-0175,A,M0003986,О2,,3-средний,30,APP1,1100368817,ТО-2 БелАЗ 7547 №1 СЛ,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,26.03.2022,9:00:00,26.03.2022,17:00:00,26.03.2022,9:00:00,26.03.2022,17:00:00,,0:00:00,,0:00:00,,AZAROVAV,10.02.2021,AZAROVAV,09.12.2021,8 462,16,8,0,"74 468,07",0,1,1,,8,0,8,0,LT-1200-2022-4-024-02,Прочие (Мех OPEX)
