Подсчёт,Операция,Позиция ОК,ТехнМесто,Название ТехнМеста,УрИерархЕО,ВышестЕО,НазваниеВышестЕО,КлассВышестЕО,НаимКлассВышестЕО,ЕО,Название ЕО,ПланПредупрТОРО,ТекстПланаПредупрТОРО,ПозПредупрТОРО,ПозицияПредупредительного ТОРО (описание,№ отзыва,ВидРаботТОРО,Название ВРТ,СтратегияОбсл,ТипТК,ГруппаТК,СГрТК,ОписаниеТК,Приоритет,ТипЗаказа,ВидЗаказа,Заказ,КраткийТекст заказа,СистСтатус,ПользСтатус,ПланДатаНачала,ПланДатаНачала (Время),ПланДатаОкончания,ПланДатаОкончания (Время),НовДатаНачала,НовДатаНачала (Время),НовДатаОкончания,НоваяДатаОкончания (Время),ФактНачало,ФактНачало (время),ФактОкончание,ФактОкончание (время),ПредлСистСтат,Создал,ДатаСозд,Изменил,ДатаИзм,ПрогнознНаработка,Трудоёмкость,Продолжительность,Фактическая трудоёмкость,ПлСтоимость,ФктСтоимость,Кол-во пересогласований заказа,Индикатор планирования,СостПрУст,Время ремонтного простоя,Время технологического простоя,Общее время простоя (Зкз) - План,Общее время простоя (Зкз) - Факт,СПП-элемент,СПП-элемент(КрТекст),НеСоглТК,НеКорТК,Срок<ВвВЭкспл,Срок>ВывИзЭкспл,Срок=ТПиР,Консервация,Срочная потребность
1,,Нет,03-CTT-KM01,Самосвал №1621,1,100000006408,,,,100000006408,Самосвал карьерный HD1500-8 №1621,,,,,0,ТР,Текущий ремонт,,E,,,,,30,AVS1,1200082297,Замена лампы головного света на оборотн.,ПДТВ ПКАЛ ПРВВ ТЗКР ДМНП KKMP JBFI,ПРНТ СГГС,1/21/2022,8:20:00 PM,1/21/2022,8:20:00 PM,,12:00:00 AM,,12:00:00 AM,1/21/2022,8:19:12 PM,1/21/2022,9:00:32 PM,,MEKHEDOVNV,1/22/2022,MEKHEDOVNV,1/23/2022,0,"0,7","0,7","0,7","2 386,73","2 386,73",0,,,"0,01","0,00","0,00","0,69",LT-1200-2022-2-014-02,ЦЗ Транспортировка (Мех OPEX),,,,,,,
1,,Нет,03-CTT-KM01,Самосвал №1621,1,100000006408,,,,100000006408,Самосвал карьерный HD1500-8 №1621,,,,,0,ТР,Текущий ремонт,,E,,,,,30,AVS1,1200082847,Замена РВД тормозной системы на оборотн.,ПДТВ ПКАЛ ПРВВ ТЗКР ДМНП KKMP JBFI,ПРНТ СГГС,1/23/2022,4:18:00 PM,1/23/2022,4:18:00 PM,,12:00:00 AM,,12:00:00 AM,1/23/2022,4:14:41 PM,1/23/2022,5:04:17 PM,,MEKHEDOVNV,1/23/2022,MEKHEDOVNV,1/26/2022,0,"0,8","0,8","0,8","2 727,70","2 727,70",0,,,"0,01","0,00","0,00","0,83",LT-1200-2022-2-014-02,ЦЗ Транспортировка (Мех OPEX),,,,,,,
1,,Нет,03-CTT-KM01,Самосвал №1621,1,100000006408,,,,100000006408,Самосвал карьерный HD1500-8 №1621,,,,,0,ОЖД,ожидание ремонта,,,,,,,30,AVS1,1200083995,Замена РВД на оборотный,ОТКР ПКАЛ ДМНП KKMP,ССПЛ,1/31/2022,2:09:46 AM,1/31/2022,2:10:00 AM,,12:00:00 AM,,12:00:00 AM,1/31/2022,2:09:46 AM,1/31/2022,4:23:07 AM,,ZHARKOVMM,1/31/2022,ZHARKOVMM,1/31/2022,0,"0,0","0,0","0,000","0,00","0,00",0,,,"0,01","0,00","0,00","2,22",,,,,,,,,
1,,Нет,03-CTT-KM01,Самосвал №1621,1,100000006408,,,,100000006408,Самосвал карьерный HD1500-8 №1621,,,,,0,ТР,Текущий ремонт,,E,,,,,30,AVS1,1200083995,Замена РВД на оборотный,ОТКР ПКАЛ ДМНП KKMP,ССПЛ,1/31/2022,2:10:00 AM,1/31/2022,2:10:36 AM,,12:00:00 AM,,12:00:00 AM,1/31/2022,2:09:46 AM,1/31/2022,4:23:07 AM,,ZHARKOVMM,1/31/2022,ZHARKOVMM,1/31/2022,0,"2,2","2,2","0,0","7 501,16","0,00",0,,,"0,01","0,00","0,01","2,22",LT-1200-2022-2-014-02,ЦЗ Транспортировка (Мех OPEX),,,,,,,
1,,Нет,03-CTT-KM01,Самосвал №1621,1,100000006408,,,,100000006408,Самосвал карьерный HD1500-8 №1621,,,,,0,ТР,Текущий ремонт,,E,,,,,30,ATS1,1100645341,Комплектующие для замены ДВС,ОТКР ПКАЛ ДМНП,МЕС  УТВМ ПТОМ СРОЧ МТРЦ ПЗТГ СГГС,2/18/2022,9:00:00 AM,2/19/2022,9:00:00 AM,,12:00:00 AM,,12:00:00 AM,2/1/2022,11:26:20 AM,,12:00:00 AM,,LITMANDA,1/1/2022,BOKOVIKOVVO,1/23/2022,0,"48,0","24,0","0,0","1 484 186,29","0,00",0,,,"24,00","0,00","24,00","0,00",LT-1200-2022-2-014-02,ЦЗ Транспортировка (Мех OPEX),,,,,,,
1,,Нет,03-CTT-KM01,Самосвал №1621,1,100000006408,,,,100000006408,Самосвал карьерный HD1500-8 №1621,100000005023,Самосвал HD1500-8 №1621 МТЧ,9351,Замена конечной передачи,1,ЗМН,Замена,2-0167,A,M0000002,ЗП,,3-средний,30,APP1,1100360234,Замена конечных передач,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,4/14/2022,9:00:00 AM,4/15/2022,9:00:00 AM,4/28/2022,9:00:00 AM,4/29/2022,9:00:00 AM,2/1/2021,9:01:01 AM,,12:00:00 AM,,AZAROVAV,1/31/2021,LITMANDA,12/24/2021,23 226,"72,0","24,0","0,0","245 492,64","0,00",1,1,,"24,00","0,00","24,00","0,00",LT-1200-2022-2-014-02,ЦЗ Транспортировка (Мех OPEX),,,,,,,
1,,Нет,03-CTT-KM01,Самосвал №1621,1,100000006408,,,,100000006408,Самосвал карьерный HD1500-8 №1621,100000005023,Самосвал HD1500-8 №1621 МТЧ,9351,Замена конечной передачи,1,ЗМН,Замена,2-0167,A,M0000002,ЗП,,3-средний,30,APP1,1100360234,Замена конечных передач,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,4/28/2022,9:00:00 AM,4/29/2022,9:00:00 AM,,12:00:00 AM,,12:00:00 AM,2/1/2021,9:01:01 AM,,12:00:00 AM,,AZAROVAV,1/31/2021,LITMANDA,12/24/2021,23 532,"72,0","24,0","0,0","245 492,64","0,00",1,1,,"24,00","0,00","24,00","0,00",LT-1200-2022-2-014-02,ЦЗ Транспортировка (Мех OPEX),,,,,,,
1,,Нет,03-CTT-KM01,Самосвал №1621,1,100000006408,,,,100000006408,Самосвал карьерный HD1500-8 №1621,100000005026,Самосвал HD1500-8 №1621 МТЧ,9361,Замена1 двигателя,1,ЗМН,Замена,2-0172,A,M0000002,40,,3-средний,30,APP1,1100360235,Замена1 двигателя,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ ГИП  ПТОМ ПЗТГ СГГС,4/14/2022,9:00:00 AM,4/18/2022,9:00:00 AM,2/18/2022,9:00:00 AM,2/22/2022,9:00:00 AM,2/3/2021,11:47:19 AM,,12:00:00 AM,,AZAROVAV,1/31/2021,BOKOVIKOVVO,1/23/2022,23 226,"288,0","96,0","0,0","981 970,56","0,00",1,1,,"96,00","0,00","96,00","0,00",LT-1200-2022-2-014-02,ЦЗ Транспортировка (Мех OPEX),,,,,,,
1,,Нет,03-CTT-KM01,Самосвал №1621,1,100000006408,,,,100000006408,Самосвал карьерный HD1500-8 №1621,100000005026,Самосвал HD1500-8 №1621 МТЧ,9361,Замена1 двигателя,1,ЗМН,Замена,2-0172,A,M0000002,40,,3-средний,30,APP1,1100360235,Замена1 двигателя,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ ГИП  ПТОМ ПЗТГ СГГС,2/18/2022,9:00:00 AM,2/22/2022,9:00:00 AM,,12:00:00 AM,,12:00:00 AM,2/3/2021,11:47:19 AM,,12:00:00 AM,,AZAROVAV,1/31/2021,BOKOVIKOVVO,1/23/2022,22 021,"288,0","96,0","0,0","981 970,56","0,00",1,1,,"96,00","0,00","96,00","0,00",LT-1200-2022-2-014-02,ЦЗ Транспортировка (Мех OPEX),,,,,,,
1,,Нет,03-CTT-KM01,Самосвал №1621,1,100000006408,,,,100000006408,Самосвал карьерный HD1500-8 №1621,100000014356,Самосвал HD1500-8 №1621,24438,ТР гидросистемы,2,ТР,Текущий ремонт,2-0266,A,N0000002,69,,,30,APP1,1100360706,ТР гидросистемы,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,3/23/2022,9:00:00 AM,3/24/2022,11:00:00 AM,3/27/2022,9:00:00 AM,3/28/2022,11:00:00 AM,8/19/2021,2:39:42 PM,,12:00:00 AM,,AZAROVAV,2/1/2021,LITMANDA,12/24/2021,22 744,"67,0","26,0","0,0","187 529,10","0,00",1,1,,"26,00","0,00","26,00","0,00",LT-1200-2022-2-014-02,ЦЗ Транспортировка (Мех OPEX),,,,,,,
