Подсчёт,Операция,Позиция ОК,ТехнМесто,Название ТехнМеста,УрИерархЕО,ВышестЕО,НазваниеВышестЕО,КлассВышестЕО,НаимКлассВышестЕО,ЕО,Название ЕО,ПланПредупрТОРО,ТекстПланаПредупрТОРО,ПозПредупрТОРО,ПозицияПредупредительного ТОРО (описание,№ отзыва,ВидРаботТОРО,Название ВРТ,СтратегияОбсл,ТипТК,ГруппаТК,СГрТК,ОписаниеТК,Приоритет,ТипЗаказа,ВидЗаказа,Заказ,КраткийТекст заказа,СистСтатус,ПользСтатус,ПланДатаНачала,ПланДатаНачала (Время),ПланДатаОкончания,ПланДатаОкончания (Время),НовДатаНачала,НовДатаНачала (Время),НовДатаОкончания,НоваяДатаОкончания (Время),ФактНачало,ФактНачало (время),ФактОкончание,ФактОкончание (время),ПредлСистСтат,Создал,ДатаСозд,Изменил,ДатаИзм,ПрогнознНаработка,Трудоёмкость,Продолжительность,Фактическая трудоёмкость,ПлСтоимость,ФктСтоимость,Кол-во пересогласований заказа,Индикатор планирования,СостПрУст,Время ремонтного простоя,Время технологического простоя,Общее время простоя (Зкз) - План,Общее время простоя (Зкз) - Факт,СПП-элемент,СПП-элемент(КрТекст),НеСоглТК,НеКорТК,Срок<ВвВЭкспл,Срок>ВывИзЭкспл,Срок=ТПиР,Консервация,Срочная потребность
1,,Нет,03-RUD-EKSK-OOBR-EX04,Экскаватор №1220,1,100000007087,,,,100000007087,Экскаватор электрический WK-20 №1220,100000064888,Ремонт электрооборудования WK-20,169684,Ремонт электрооборудования WK-20,1,ТР,Текущий ремонт,2-0289,A,M0002016,ТР,Текущий ремонт гидросистемы,,30,APP1,1100527936,Ремонт электрооборудования WK-20,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ КРМТ СГГС,9/29/2022,9:00:00 AM,10/1/2022,9:00:00 AM,9/29/2022,9:00:00 AM,10/1/2022,9:00:00 AM,9/7/2021,6:44:49 PM,,12:00:00 AM,,USHKOVAA,9/7/2021,BELOUSOVNI,12/23/2021,21 804,"144,0","48,0","0,0","3 930 024,32","0,00",1,1,,"48,00","0,00","48,00","0,00",LT-1200-2022-2-009-01-01,ЦЗ Погрузка (Энерг КР),,,,,,,
1,,Нет,03-RUD-EKSK-OOBR-EX04,Экскаватор №1220,1,100000007087,,,,100000007087,Экскаватор электрический WK-20 №1220,100000064888,Ремонт электрооборудования WK-20,169684,Ремонт электрооборудования WK-20,1,ТР,Текущий ремонт,2-0289,A,M0002016,ТР,Текущий ремонт гидросистемы,,30,APP1,1100527936,Ремонт электрооборудования WK-20,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ КРМТ СГГС,9/29/2022,9:00:00 AM,10/1/2022,9:00:00 AM,,12:00:00 AM,,12:00:00 AM,9/7/2021,6:44:49 PM,,12:00:00 AM,,USHKOVAA,9/7/2021,BELOUSOVNI,12/23/2021,21 804,"144,0","48,0","0,0","3 930 024,32","0,00",1,1,,"48,00","0,00","48,00","0,00",LT-1200-2022-2-009-01-01,ЦЗ Погрузка (Энерг КР),,,,,,,
1,,Нет,03-RUD-EKSK-OOBR-EX02,Экскаватор №1207,1,100000009136,,,,100000009136,Экскаватор электрический ЭКГ-10 №1207,,,,,0,НЛ,Наладка оборудования,,E,,,,,30,AVS1,1200081369,Продувка электр. шкафов,ПДТВ ПКАЛ ПРВВ ТЗКР ДМНП KKMP JBFI,ПРНТ СГГС,1/8/2022,11:00:00 PM,1/8/2022,11:00:00 PM,,12:00:00 AM,,12:00:00 AM,1/8/2022,11:00:00 PM,1/8/2022,11:09:25 PM,,BELOUSOVNI,1/12/2022,BELOUSOVNI,1/13/2022,0,"0,1","0,1","0,1","340,96","340,96",0,,,"0,01","0,00","0,00","0,16",LT-1200-2022-2-009-02,ЦЗ Погрузка (Энерг OPEX),,,,,,,
1,,Нет,03-RUD-EKSK-OOBR-EX02,Экскаватор №1207,1,100000009136,,,,100000009136,Экскаватор электрический ЭКГ-10 №1207,,,,,0,НЛ,Наладка оборудования,,E,,,,,30,AVS1,1200081367,"Чистка контактов, замена катушки",ПДТВ ПКАЛ ПРВВ ТЗКР ДМНП KKMP JBFI,ПРНТ СГГС,1/9/2022,1:58:00 AM,1/9/2022,1:58:00 AM,,12:00:00 AM,,12:00:00 AM,1/9/2022,1:57:03 AM,1/9/2022,2:54:06 AM,,BELOUSOVNI,1/12/2022,BELOUSOVNI,1/13/2022,0,"0,9","0,9","0,9","7 593,64","7 593,64",0,,,"0,01","0,00","0,00","0,95",LT-1200-2022-2-009-02,ЦЗ Погрузка (Энерг OPEX),,,,,,,
1,,Нет,03-RUD-EKSK-OOBR-EX02,Экскаватор №1207,1,100000009136,,,,100000009136,Экскаватор электрический ЭКГ-10 №1207,,,,,0,ТР,Текущий ремонт,,E,,,,,30,AVS1,1200081343,неисправность защиты 220/380,ПДТВ ПКАЛ ПРВВ ТЗКР ДМНП KKMP JBFI,ПРНТ СГГС,1/10/2022,7:10:00 PM,1/10/2022,7:10:00 PM,,12:00:00 AM,,12:00:00 AM,1/10/2022,7:09:31 PM,1/10/2022,9:15:22 PM,,ZHARKOVMM,1/11/2022,BELOUSOVNI,1/13/2022,0,"2,0","2,0","2,0","6 819,24","6 819,24",0,,,"0,01","0,00","0,00","2,10",LT-1200-2022-2-009-02,ЦЗ Погрузка (Энерг OPEX),,,,,,,
1,,Нет,03-RUD-EKSK-OOBR-EX02,Экскаватор №1207,1,100000009136,,,,100000009136,Экскаватор электрический ЭКГ-10 №1207,,,,,0,НЛ,Наладка оборудования,,E,,,,,30,AVS1,1200082100,Замена пускателя напора,ПДТВ ПКАЛ ПРВВ ТЗКР ДМНП KKMP JBFI,ПРНТ СГГС,1/15/2022,10:38:00 AM,1/15/2022,10:38:00 AM,,12:00:00 AM,,12:00:00 AM,1/15/2022,10:37:45 AM,1/15/2022,11:35:30 AM,,BELOUSOVNI,1/17/2022,BELOUSOVNI,1/17/2022,0,"0,9","0,9","0,9","7 593,64","7 593,64",0,,,"0,01","0,00","0,00","0,96",LT-1200-2022-2-009-02,ЦЗ Погрузка (Энерг OPEX),,,,,,,
1,,Нет,03-RUD-EKSK-OOBR-EX02,Экскаватор №1207,1,100000009136,,,,100000009136,Экскаватор электрический ЭКГ-10 №1207,,,,,0,НЛ,Наладка оборудования,,E,,,,,30,AVS1,1200082729,"Замена реле, чистка контактов",ПДТВ ПКАЛ ПРВВ ТЗКР ДМНП KKMP JBFI,СГГС,1/19/2022,2:18:00 PM,1/19/2022,2:18:00 PM,,12:00:00 AM,,12:00:00 AM,1/19/2022,2:17:32 PM,1/19/2022,2:20:36 PM,,USHKOVAA,1/23/2022,BELOUSOVNI,1/25/2022,0,"0,1","0,1","0,1","843,74","843,74",0,,,"0,01","0,00","0,00","0,05",LT-1200-2022-2-009-02,ЦЗ Погрузка (Энерг OPEX),,,,,,,
1,,Нет,03-RUD-EKSK-OOBR-EX02,Экскаватор №1207,1,100000009136,,,,100000009136,Экскаватор электрический ЭКГ-10 №1207,,,,,0,НЛ,Наладка оборудования,,E,,,,,30,AVS1,1200082493,Замена пускателя возбуждения Ген.Пов.,ПДТВ ПКАЛ ПРВВ ТЗКР ДМНП KKMP JBFI,СГГС,1/20/2022,2:18:00 PM,1/20/2022,2:18:00 PM,,12:00:00 AM,,12:00:00 AM,1/20/2022,2:17:04 PM,1/20/2022,2:43:18 PM,,USHKOVAA,1/21/2022,BELOUSOVNI,1/25/2022,0,"0,5","0,5","0,5","4 218,69","4 218,69",0,,,"0,01","0,00","0,00","0,44",LT-1200-2022-2-009-02,ЦЗ Погрузка (Энерг OPEX),,,,,,,
1,,Нет,03-RUD-EKSK-OOBR-EX02,Экскаватор №1207,1,100000009136,,,,100000009136,Экскаватор электрический ЭКГ-10 №1207,,,,,0,ТР,Текущий ремонт,,E,,,,,30,AVS1,1200082727,Замена генератора подъема,ПДТВ ПКАЛ ПРВВ ТЗКР ДМНП KKMP JBFI,СГГС,1/22/2022,1:34:00 AM,1/22/2022,1:34:00 AM,,12:00:00 AM,,12:00:00 AM,1/22/2022,1:33:14 AM,1/25/2022,12:43:28 AM,,USHKOVAA,1/23/2022,BELOUSOVNI,1/28/2022,0,"46,0","46,0","46,0","388 119,48","388 119,48",0,,,"0,01","0,00","0,00","71,17",LT-1200-2022-2-009-02,ЦЗ Погрузка (Энерг OPEX),,,,,,,
1,,Нет,03-RUD-EKSK-OOBR-EX02,Экскаватор №1207,1,100000009136,,,,100000009136,Экскаватор электрический ЭКГ-10 №1207,,,,,0,НЛ,Наладка оборудования,,E,,,,,30,AVS1,1200083105,Центровка генераторной группы,ПДТВ ПКАЛ ПРВВ ТЗКР ДМНП KKMP JBFI,СГГС,1/25/2022,2:50:00 PM,1/25/2022,2:50:00 PM,,12:00:00 AM,,12:00:00 AM,1/25/2022,2:49:07 PM,1/25/2022,3:32:13 PM,,BELOUSOVNI,1/25/2022,BELOUSOVNI,1/28/2022,0,"0,0","0,0","0,0","0,00","0,00",0,,,"0,01","0,00","0,00","0,72",LT-1200-2022-2-009-02,ЦЗ Погрузка (Энерг OPEX),,,,,,,
