Вид заказа,Вид заказа Описание
0100,Внутренний заказ - разработка
0200,Внутренний заказ - конструирование
0300,Внутренний заказ - средства производства
0400,Внутренний заказ - маркетинг
0500,ВнутрЗаказ - услуги/работы третьим лицам
0600,Внутренний заказ - инвестиция
0650,Инвестиционный заказ
0700,Внутренний заказ - производство
0800,ВнутренЗаказ - ремонт/техобслуживание
1000,ВнутрЗаказ - интеграция планирования
1601,TZR
9002,Прочие услуги на сторону
9011,Расходы связан. с предост. имущ в аренду
9019,Расходы по оказанию услуг по проживанию
9021,Сублицензионные договоры ДБП без НДС
9022,Сублицензионные договоры ДБП с НДС
9024,Себестоимость реализации ОПХ
9101,Списание округлений
9102,Расходы от выбытия (списания) ОС
9103,Расходы от реализации основных средств
9104,Расходы от реализации земельного участка
9107,Расходы от реализации оборудования
9108,Расходы от реализ. лома и отходов цветн
9109,Расходы от реализации НМА
9110,Расходы на списание НМА
9111,Расходы связан. с предост. имущ в аренду
9112,"Содерж объект ОПХ,деят-сть не прин.доход"
9113,"Благотвор-ная деят.,пожертв/служб. безоп"
9114,"Благотвор-ная деят.,пожертв/проч службы"
9115,"Амортизация, расходы на содержание ОС, п"
9116,Расходы в связи с чрезвычайными обстоя-т
9117,Командировочные расходы (не явл.расходам
9118,Авиа- и ж/д билеты для работников сторон
9120,Расходы по организации корпорат.совещани
9121,"Расходы, связанные с консервацией и соде"
9122,Расходы по поддержанию объектов инфра-ст
9123,Расходы по гостевому обслуживанию (не пр
9124,Расходы на ликвидации объектов ОС жилого
9125,Расходы на ликвидацию объектов ОС
9126,Расходы на ликвидацию объектов незавер
9127,"Аренда земли и имущества, не используемд"
9128,Расходы на проведение праздничных и куль
9129,Расходы на проведение спортивных меропри
9130,Амортизация законсервированных ОС
9131,"Расходы, связанные с консервацией и соде"
9132,Потери от простоев по внутрипроизводстве
9133,Не компенсируемые виновникам потери
9135,Эксплуатационные расходы по ранее обесце
9136,Предварительные расходы по приобретению
