Системные статусы,Системные статусы Описание
АНРЕ,Анализ результатов проведен
БЛОК,Блокировано
БЛТЗ,Блокировать тех. закрытие
БЮСО,Бюджет составлен
ВЗПИ,Возврат поставщику инициирован
ВОБР,Задача в обработке
ДВЖМ,ДвижМатериала в СетГрЗаказов
ДВМА,Движение материала произошло
ДЕБЛ,Деблокировано
ДЕБО,Деблокирование отклонено
ДМНП,ДоступностьМтрл не проверена
ДО,Препринт (до деблокирования)
ЗАКР,Закрыто
ЗАОЦ,Затраты оценены
ЗЧП,Завершение частично подтвержд.
ИДУД,Индикатор удаления
ККБН,Контировка КРБ неполна
КППР,Контрольная партия присвоена
МАПД,Материал подтверждён
МТКУ,Метка удаления
НЕВЫ,Не выполнено
НМАТ,Нет доступных материалов
НПДМ,ДоступностьМощн не проверена
ОВНК,Обработка внешнего ключа
ОТКР,Открыто
Оц.,Оценено
ОШОЗ,Ошибка при определении затрат
ОШПМ,Ошибка: WM-ПодгМатериалов
ПДТВ,Подтверждено
ПЕЧТ,Напечатано
ПКАЛ,ПредвКалькуляция проведена
ПОСЛ,Перепечатка (после завершения)
ПОСТ,Поставлено
ПРБД,Превышен бюджетный допуск
ПРВВ,Правило расчета введено
ПРПР,Предложение принято
ПРСО,Предложение создано
РАСП,Распределено в MES
РБЗК,Работа закрыта
СВДВ,Свободно для выполнения
СПИС,ОткрытРезервирования введены
СРНА,Сроки не актуальны
СРР,Список релевантных рисков есть
ТЗКР,Технически закрыто
ТРЦМ,ТрансфертнЦены для мероприятий
ФАКТ,Отфактурировано
ЧАПО,Частичная поставка
ЧПДТ,Частично подтверждено
ЧПЕЧ,Частично напечатано
ЧФАК,Отфактурировано частично
COCE,Завершение подтверждено
JBFI,Задача завершена
KKMP,Без компонентов материала
KNOK,Проверка лимита кредит.не o.k.
KPOK,Проверка лимита кредит.успешна
MEBS,С управлением MEB
MOBI,Данные на мобильном устройстве
PAGE,Страничный обмен идет
VORA,Предварит. отгрузка выполнена
