,месяц,Бизнес единица,Основной класс ЕО,Вышест. техместо,Заказ,Запланированные на январь и оставшиеся в январе,Запланированные на январь и перенесенные в другие месяцы,Перенесенные с января
0,январь,Полюс Вернинское,Экскаваторы гидравли,Экскаваторы,1100360866,1,0,0
1,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,1100358748,0,1,0
2,июль,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,1100358748,0,0,1
3,январь,Полюс Вернинское,Экскаваторы гидравли,Экскаваторы,1100360932,1,0,0
4,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-8,1100364220,0,1,0
5,февраль,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-8,1100364220,0,0,1
6,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-8,1100360738,0,1,0
7,февраль,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-8,1100360738,0,0,1
8,январь,Полюс Вернинское,Экскаваторы гидравли,Экскаваторы,1100360771,1,0,0
9,январь,Полюс Вернинское,Экскаваторы гидравли,Экскаваторы,1100360712,1,0,0
10,январь,Полюс Вернинское,Экскаваторы гидравли,Экскаваторы,1100360982,0,1,0
11,октябрь,Полюс Вернинское,Экскаваторы гидравли,Экскаваторы,1100360982,0,0,1
12,январь,Полюс Вернинское,Экскаваторы гидравли,Экскаваторы,1100361247,0,1,0
13,февраль,Полюс Вернинское,Экскаваторы гидравли,Экскаваторы,1100361247,0,0,1
14,январь,Полюс Вернинское,Экскаваторы гидравли,Экскаваторы,1100360911,1,0,0
15,январь,Полюс Вернинское,Экскаваторы гидравли,Экскаваторы,1100360911,1,0,0
16,январь,Полюс Вернинское,Экскаваторы гидравли,Экскаваторы,1100360949,1,0,0
17,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-8,1100381289,0,1,0
18,февраль,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-8,1100381289,0,0,1
19,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-7,1100359173,1,0,0
20,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-8,1100363036,0,1,0
21,октябрь,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-8,1100363036,0,0,1
22,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-8,1100360305,0,1,0
23,февраль,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-8,1100360305,0,0,1
24,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-7,1100381366,1,0,0
25,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-7,1100381366,1,0,0
26,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы БелАЗ-7547,1100368626,1,0,0
