comment_text,comment_category
"без экипажа - перенос на 01.02 и сдвиг по году из-за отсутствия экипажа, поэтому всё равно в февраль включили, но понимания когда наберут экипаж нет ни у кого",без экипажа
"без экипажа - перенос на 04.22 и сдвиг по году из-за отсутствия экипажа, поэтому всё равно в февраль включили, но понимания когда наберут экипаж нет ни у кого",без экипажа
"Двс прибыл на ГОК ранее начальной даты заказа на замену, есть потребность в замене, поэтому и произошёл сдвиг на более ранний период",сроки поставки запчастей (компонентов)
Корректировка ремонтной программы,Корректировка ремонтной программы
нет комментария,нет комментария
"Перенос на более поздний срок, ввиду отсутствия планового пробега для замены КГШ",недостаточна наработка (пробег)
"Перенос на более поздний срок, ввиду полученой информации от МТО по срокам поставки",сроки поставки запчастей (компонентов)
"Перенос на более поздний срок, ввиду удовлетворительного состояния",состояние запчасти (компонента) удовлетворительное
Перепланировали также на более ранний период ТР кузова параллельно ЗМН ДВС ( см. выше),сроки поставки запчастей (компонентов)
"Перепланирование на более ранний срок, ввиду критического износа КГШ (по пробегу)",состояние запчасти (компонента) неудовлетворительное
