,eo_class_code,eo_class_description
0,E04_01,Автомобили пассажирские
1,E18_11,Насосные станции
2,E32_01,Двигатели асинхронные
3,E04_06,Полуприцепы
4,E05_02,Бульдозеры гусеничные
5,E04_05,Прицепы
6,E18_02,Насосы центробежные
7,E12_03,Грохоты колосниковые неподвижные
8,E12_08,Грохоты вибрационные (инерционные)
9,E21_04,Печи реактивации
10,E18_06,Насосы водокольцевые
11,E17_03,Краны мостовые г/п<10т
12,E17_04,Краны мостовые г/п 10т и выше
13,E23_01,Конвейеры ленточные
14,E20_05,Машины проборазделочн. и пробоотбиратели
15,E12_06,Гидроциклоны_002
16,E50_04,"Измерения потока, расхода, объема"
17,E01_01,Самосвалы карьерные
18,E24_01,Трубопроводы систем водоснаб-я(хоз.пит.)
19,E35_07,"Шкафы, щиты, панели распределительные"
20,E17_11,Погрузчики фронтальные
21,E06_01,Автогрейдеры
22,E02_03,Станки буровые ударно-вращательного бур.
23,E03_02,Экскаваторы электрические
24,E05_01,Бульдозеры колесные
25,E03_01,Экскаваторы гидравлические
26,E51_01,Здания административно-бытовые
27,E08_03,Оборудование баковое
28,E32_06,Установки дизель-генераторные
29,E11_07,Дробилки щековые
30,E55,Речной флот_002
31,S00,Узлы
32,S01,Узлы. ДВС
33,E30_01,Котлы паровые
34,E11_10,Мельницы шаровые
35,E32_02,Двигатели синхронные
36,E08_02,Аппараты с внутренними устройствами
37,E08_01,Сосуды
38,E43_02,Выпрямители силовые
39,E35_04,Устройства коммутационные
40,E14_02,Фильтры с фильтр-м эл-том и мех.приводом
41,E50_05,Измерения уровня
42,E19_02,Сгустители
43,E35_05,Щиты освещения
44,E23_06,Питатели ленточные
45,E43_03,Преобразователи
46,E33_02,Выключатели вакуумные
47,E09_02,Вентиляторы радиальные (центробежные)
48,E31_02,Трансформаторы силовые > 1 кВ масляные
49,E31_04,Трансформаторы специального назначения
50,E33_10,Ограничители напряжения
51,E33_03,Выключатели маломасляные
52,E52_04,Подстанции трансформаторные
53,E18_08,Насосы поршневые
54,E17_08,Подъемники
55,E30_05,Машины тягодутьевые
56,E18_03,Насосы центробежные герметичные
57,E26_05,Арматура фазоразделительная
58,E50_20,Устр-ва регулирующие и вычислительные
59,E32_03,Двигатели постоянного тока
60,E50_11,Теплофизич-е и температурные измерения
61,E50_10,Измерения физ.-хим. состава и свойств
62,E50_08,Газовый анализ
63,E24_05,Трубопроводы технологические
64,E21_02,Печи обжига
65,E43_09,Шкафы управления
66,E51_02,Здания производственные
67,E34_09,Сети освещения
68,E34_04,"Линии кабельные 0,4 (0,69) кВ"
69,E24_02,Трубопроводы систем теплоснабжения
70,E24_04,Трубопроводы систем хоз-быт. стоков
71,E50_22,Шкафы КИП
72,E47_04,Средства свето-звуковой сигнализации
73,E50_21,"Запис., регистр. и преобразующие устр-ва"
74,E50_06,"Измерения давления, вакуумные измерения"
75,E50_07,Измерения веса
76,E53,АСПЗ (Противопожарные системы)_002
77,E52_05,Здания и сооружения складские
78,E50_18,Средства автоматизации вспомогательные
79,E52_12,Трубы дымовые
80,E35_01,РУ высокого напряжения
81,E34_05,Линии кабельные 10 (6) кВ
82,E33_15,Установки конденсаторные
83,E34_03,Линии воздушные 110 (35) кВ
84,E34_02,Линии воздушные 10 (6) кВ
85,E01_05,Машины поливооросительные
86,E52_07,Здания и сооружения вспомогательные
87,E54_01,Пути
88,E35_03,РУ низкого напряжения
89,E01_04,Тягачи-буксировщики
90,E04_04,Автомобили специального назначения
91,E13_03,Флотомашины
92,E33_05,Выключатели нагрузки
93,E23_04,Питатели качающиеся
94,E16_03,Станки сверлильные и расточные
95,E35_06,"Шкафы, щиты питания"
96,E17_06,Тали электрические_002
97,E16_04,Станки шлифовальные и заточные
98,E43_12,Системы возбуждения
99,E43_04,Пусковые устройства
100,E10_06,Циклоны_002
101,E23_05,Питатели пластинчатые
102,E12_04,Грохоты барабанные вращающиеся
103,E24_08,Пульповоды
104,E18_04,Насосы струйные
105,E50_17,Приборы и средства управления
106,E46_02,АРМ
107,E50_14,Измерения акустических величин
108,E30_03,Деаэраторы
109,E31_01,Трансформаторы силовые до 1 кВ
110,E15_03,Компрессоры центробежные
111,E11_03,Дробилки валковые
112,E38_01,Агрегаты сварочные
113,E43_01,Системы оперативного тока
114,E52_02,Здания мобильные и контейнерного типа
115,E11_04,Дробилки конусные
116,E17_02,Краны стреловые на колесном ходу
117,E17_10,Погрузчики вилочные
118,E18_07,Насосы мембранные
119,E20_01,Аппаратура лабораторная
120,E04_02,Автомобили грузовые общего назначения
121,E17_07,Лифты грузовые
122,E50_15,Оптико-физические измерения
123,E11_01,Стацион. дробильно-сортиров-е комплексы
124,E22_02,Оборудование диагностическое
125,E52_21,Колонки топливораздаточные
126,E20_07,Измельчители
127,E33_01,Выключатели элегазовые
128,E40_09,Защиты многофункциональные цифровые
129,E02_02,Станки буровые вращ. бур. коронками
130,E51_04,Здания общественные
131,E04_03,Автомобили грузовые специализированные
132,E16_01,Станки токарные
133,E20_06,Прессы
134,E02_05,Станки буровые ударно-канатного бурения
135,E22_03,Оборудование для аккумуляторов
136,E30_07,"Подогреватели сетевые, котлы водогрейные"
137,E52_10,Градирни
138,E30_11,"Экономайзеры, воздухоподогреватели"
139,E30_02,Турбины и турбоустановки
140,E10_05,Системы аспирационные
141,E50_23,Оборудование лабораторное вспом.
142,E50_19,Устр-ва пневматические
143,E34_07,Токопроводы и шинопроводы
144,E25,Короба и желоба_002
145,E11_08,Мельницы полусамоизмельчения
146,E10_01,Завесы тепловые
147,E32_05,Генераторы
148,E50_09,Измерение электрических величин
149,E18_09,Насосы роторные
150,E14_04,Фильтр-прессы
151,E15_01,Компрессоры винтовые
152,E17_05,Краны козловые
153,E06_04,Машины снегоуборочные
154,E50_03,Измерения механических величин
155,E50_16,Средства виброизмерительные
156,E43_06,Контроллеры
157,E47_03,"Щиты, пульты уст-ки КИП,упр-я агрегатами"
158,E31_03,Трансформаторы силовые > 1 кВ сухие
159,E04_07,Вездеходы
160,E17_09,Краны-трубоукладчики
161,E45_03,Компьютеры промышленные бортовые
162,E21_03,Печи плавильные
163,E43_10,Индукционные установки
164,E06_02,Катки дорожные
165,E18_10,Насосы шестеренные
166,E35_02,РУ среднего напряжения
167,E33_13,Реакторы токоограничивающие
168,E15_02,Компрессоры поршневые
169,E10_02,Кондиционеры
170,E04_09,Манипуляторы шинные
171,E47_01,Щиты и пульты пневмоуправления
172,E30_08,Теплообменники
173,E09_01,Вентиляторы осевые
174,E24_07,Нефтепроводы
175,E12_01,Классификаторы
176,E50_13,"Электрические, магнитные, радиоизмерения"
177,E52_16,Скважины
178,E23_03,Питатели вибрационные
179,E34_01,"Линии воздушные 0,4 (0,69) кВ"
180,E52_18,Эстакады
181,E52_13,Мачты осветительные
182,E02_01,Станки буровые вращ. бур. шарошками
183,E01_03,Щебнеразбрасыватели
184,E11_02,Мобильные дробильно-сортиров-е комплексы
185,E10_03,Калориферы
186,E10_04,Конвекторы
187,E52_19,Резервуары подземные
188,E15_04,Компрессоры ротационные
189,E20_08,Железоотделители_002
190,E13_01,Концентраторы
191,E47_02,Щиты и пульты АСУ ТП
