main_class_code,main_class_code_descriptiion
E01,Оборудование горно-транспортное
E02,Оборудование буровое
E03,Экскаваторы
E04,Оборудование автотранспортное
E05,Выемочно-транспортирующие машины
E06,Оборудование дорожно-строительное
E07,Гидромониторы
E08,Оборудование емкостное и аппараты
E09,Оборудование вентиляционное
E10,Оборудование отопления и кондиционир-я
E11,Оборудование дробильно-размольное
E12,Оборуд-е для классификации по крупности
E13,Оборудование обогатительное
E14,Оборудование фильтрующее
E15,Оборудование компрессорное
E16,Оборудование станочное
E17,Оборудование грузоподъемное
E18,Оборудование насосное
E19,Оборудование для обезвоживания и сушки
E20,Оборудование специального назначения
E21,Печи
E22,Оборуд-е ремонтное и диагностическое
E23,Оборудование транспортно-конвейерное
E24,Трубопроводы
E25,Короба и желоба
E26,Арматура трубопроводная
E27,Передаточные механизмы
E30,Оборудование тепломеханическое
E31,Трансформаторы
E32,Машины электрические
E33,Аппараты электрические
E34,Сети электрические
E35,Устройства распределительные
E36,Источники питания
E38,Оборудование сварочное
E40,РЗиА
E41,Системы учета/измерений электронергии
E43,Силовая электроника
E45,Средства АГиТО
E46,Средства АСУТП ЗИФ
E47,Щиты и пульты для АСУ ТП
E48,Микроэлектроника
E49,Устройства видеонаблюдения
E50,КИПиА
E51,Здания
E52,Сооружения
E53,АСПЗ (Противопожарные системы)
E54,ЖД инфраструктура
E55,Речной флот
MD,Модель оборудования (для ТОРО)
S00,Узлы
S01,Узлы. ДВС
S02,Узлы. Коробка передач
S03,Узлы. Бортовой редуктор
S04,Узлы. Мотор колесо
T,Технические места
T01,Оборудование горно-транспортное
T02,Оборудование буровое
T03,Экскаваторы
T04,Оборудование автотранспортное
T05,Выемочно-транспортирующие машины
T06,Оборудование дорожно-строительное
T07,Гидромониторы
T08,Оборудование емкостное и аппараты
T09,Оборудование вентиляционное
T10,Оборудование отопления и кондиционир-я
T11,Оборудование дробильно-размольное
T12,Оборуд-е для классификации по крупности
T13,Оборудование обогатительное
T14,Оборудование фильтрующее
T15,Оборудование компрессорное
T16,Оборудование станочное
T17,Оборудование грузоподъемное
T18,Оборудование насосное
T19,Оборудование для обезвоживания и сушки
T20,Оборудование специального назначения
T21,Печи
T22,Оборуд-е ремонтное и диагностическое
T23,Оборудование транспортно-конвейерное
T24,Трубопроводы
T25,Короба и желоба
T26,Арматура трубопроводная
T27,Передаточные механизмы
T30,Оборудование тепломеханическое
T31,Трансформаторы
T32,Машины электрические
T33,Аппараты электрические
T34,Сети электрические
T35,Устройства распределительные
T36,Источники питания
T38,Оборудование сварочное
T40,РЗиА
T41,Системы учета/измерений электронергии
T43,Силовая электроника
T45,Средства АГиТО
T46,Средства АСУТП ЗИФ
T47,Щиты и пульты для АСУ ТП
T48,Микроэлектроника
T49,Устройства видеонаблюдения
T50,КИПиА
T51,Здания
T52,Сооружения
T53,АСПЗ (Противопожарные системы)
T54,ЖД инфраструктура
T55,Речной флот
TL,Класс технологических карт
WP,Класс рабочего места
