БЕ,Класс ЕО,Тип конструкции,Техместо,МВЗ,Модель ЕО,ЕО,Наименоваание ЕО,Дата начала эксплуатации,Дата завершения эксплуатации,Среднесуточная наработка,Наработка 1.03.2022,level_1
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD55,1113011920,Самосвалы CAT 793D,100000054856,Самосвал карьерный 793D №756,2020-12-11,2030-01-01,"21,5","9345,92",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD44,1113011920,Самосвалы CAT 793D,100000036421,Самосвал карьерный 793D №745,2020-01-03,2030-01-01,21,"15543,18",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD78,1113011920,Самосвалы CAT 793D,100000054995,Самосвал карьерный 793D №779,2021-11-05,2030-01-01,"21,5","2787,4",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD03,1113011920,Самосвалы CAT 793D,100000065516,Самосвал карьерный 793D №703,2017-11-09,2030-01-01,"20,9","32694,6",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD11,1113011920,Самосвалы CAT 793D,100000065526,Самосвал карьерный 793D №711,2018-02-09,2030-01-01,"20,9","30991,24",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD82,1113011920,Самосвалы CAT 793D,100000054999,Самосвал карьерный 793D №783,2023-02-01,2030-01-01,"20,37",,first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD42,1113011920,Самосвалы CAT 793D,100000036418,Самосвал карьерный 793D №743,2019-12-21,2030-01-01,21,"16378,22",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD16,1113011920,Самосвалы CAT 793D,100000065528,Самосвал карьерный 793D №717,2018-04-10,2030-01-01,"20,7","27737,12",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD74,1113011920,Самосвалы CAT 793D,100000054991,Самосвал карьерный 793D №775,2021-09-19,2030-01-01,"21,5","3619,92",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD56,1113011920,Самосвалы CAT 793D,100000054857,Самосвал карьерный 793D №757,2020-12-18,2030-01-01,"21,5","9791,13",first11
