,eo_code,eo_description,teh_mesto,mvz,eo_class_code,eo_class_description,eo_main_code,eo_main_description,eo_main_class_code,eo_main_class_description,teh_mesto_description,level_upper,code,level_1,level_1_code,level_2_code,level_2_path,level_3_code,level_5,level_6,level_7,level_8
17693,100000084492,Самосвал карьерный 730E-10 №37,05-KAR-UTTR-K101,1413011320.0,E01_01,Самосвалы карьерные,100000084492,Самосвал карьерный 730E-10 №37,E01_01,Самосвалы карьерные,Самосвал карьерный №37,05-KAR-UTTR-K731,first05-KAR-UTTR-K101,first05,05,KAR,05-KAR,UTTR,-,UTTR,K101,no_data
17694,100000084493,Самосвал карьерный 730E-10 №38,05-KAR-UTTR-K102,1413011320.0,E01_01,Самосвалы карьерные,100000084493,Самосвал карьерный 730E-10 №38,E01_01,Самосвалы карьерные,Самосвал карьерный №38,05-KAR-UTTR-K731,first05-KAR-UTTR-K102,first05,05,KAR,05-KAR,UTTR,-,UTTR,K102,no_data
17695,100000084494,Самосвал карьерный 730E-10 №39,05-KAR-UTTR-K103,1413011320.0,E01_01,Самосвалы карьерные,100000084494,Самосвал карьерный 730E-10 №39,E01_01,Самосвалы карьерные,Самосвал карьерный №39,05-KAR-UTTR-K731,first05-KAR-UTTR-K103,first05,05,KAR,05-KAR,UTTR,-,UTTR,K103,no_data
17696,100000084495,Самосвал карьерный 730E-10 №40,05-KAR-UTTR-K104,1413011320.0,E01_01,Самосвалы карьерные,100000084495,Самосвал карьерный 730E-10 №40,E01_01,Самосвалы карьерные,Самосвал карьерный №40,05-KAR-UTTR-K731,first05-KAR-UTTR-K104,first05,05,KAR,05-KAR,UTTR,-,UTTR,K104,no_data
17697,100000084496,Самосвал карьерный 730E-10 №41,05-KAR-UTTR-K105,1413011320.0,E01_01,Самосвалы карьерные,100000084496,Самосвал карьерный 730E-10 №41,E01_01,Самосвалы карьерные,Самосвал карьерный №41,05-KAR-UTTR-K731,first05-KAR-UTTR-K105,first05,05,KAR,05-KAR,UTTR,-,UTTR,K105,no_data
17698,100000084497,Самосвал карьерный 730E-10 №42,05-KAR-UTTR-K106,1413011320.0,E01_01,Самосвалы карьерные,100000084497,Самосвал карьерный 730E-10 №42,E01_01,Самосвалы карьерные,Самосвал карьерный №42,05-KAR-UTTR-K731,first05-KAR-UTTR-K106,first05,05,KAR,05-KAR,UTTR,-,UTTR,K106,no_data
17699,100000084498,Самосвал карьерный 730E-10 №43,05-KAR-UTTR-K107,1413011320.0,E01_01,Самосвалы карьерные,100000084498,Самосвал карьерный 730E-10 №43,E01_01,Самосвалы карьерные,Самосвал карьерный №43,05-KAR-UTTR-K731,first05-KAR-UTTR-K107,first05,05,KAR,05-KAR,UTTR,-,UTTR,K107,no_data
17700,100000084499,Самосвал карьерный 730E-10 №44,05-KAR-UTTR-K108,1413011320.0,E01_01,Самосвалы карьерные,100000084499,Самосвал карьерный 730E-10 №44,E01_01,Самосвалы карьерные,Самосвал карьерный 44,05-KAR-UTTR-K731,first05-KAR-UTTR-K108,first05,05,KAR,05-KAR,UTTR,-,UTTR,K108,no_data
17701,100000084500,Самосвал карьерный 730E-10 №45,05-KAR-UTTR-K109,1413011320.0,E01_01,Самосвалы карьерные,100000084500,Самосвал карьерный 730E-10 №45,E01_01,Самосвалы карьерные,Самосвал карьерный №45,05-KAR-UTTR-K731,first05-KAR-UTTR-K109,first05,05,KAR,05-KAR,UTTR,-,UTTR,K109,no_data
17702,100000084501,Самосвал карьерный 730E-10 №46,05-KAR-UTTR-K110,1413011320.0,E01_01,Самосвалы карьерные,100000084501,Самосвал карьерный 730E-10 №46,E01_01,Самосвалы карьерные,Самосвал карьерный №46,05-KAR-UTTR-K731,first05-KAR-UTTR-K110,first05,05,KAR,05-KAR,UTTR,-,UTTR,K110,no_data
17703,100000084502,Самосвал карьерный 730E-10 №47,05-KAR-UTTR-K111,1413011320.0,E01_01,Самосвалы карьерные,100000084502,Самосвал карьерный 730E-10 №47,E01_01,Самосвалы карьерные,Самосвал карьерный №47,05-KAR-UTTR-K731,first05-KAR-UTTR-K111,first05,05,KAR,05-KAR,UTTR,-,UTTR,K111,no_data
17704,100000084503,Самосвал карьерный 730E-10 №48,05-KAR-UTTR-K112,1413011320.0,E01_01,Самосвалы карьерные,100000084503,Самосвал карьерный 730E-10 №48,E01_01,Самосвалы карьерные,Самосвал карьерный №48,05-KAR-UTTR-K731,first05-KAR-UTTR-K112,first05,05,KAR,05-KAR,UTTR,-,UTTR,K112,no_data
17705,100000084504,Самосвал карьерный 730E-10 №49,05-KAR-UTTR-K113,1413011320.0,E01_01,Самосвалы карьерные,100000084504,Самосвал карьерный 730E-10 №49,E01_01,Самосвалы карьерные,Самосвал карьерный №49,05-KAR-UTTR-K731,first05-KAR-UTTR-K113,first05,05,KAR,05-KAR,UTTR,-,UTTR,K113,no_data
17706,100000084505,Самосвал карьерный 730E-10 №50,05-KAR-UTTR-K114,1413011320.0,E01_01,Самосвалы карьерные,100000084505,Самосвал карьерный 730E-10 №50,E01_01,Самосвалы карьерные,Самосвал карьерный №50,05-KAR-UTTR-K731,first05-KAR-UTTR-K114,first05,05,KAR,05-KAR,UTTR,-,UTTR,K114,no_data
17707,100000084506,Самосвал карьерный 730E-10 №51,05-KAR-UTTR-K115,1413011320.0,E01_01,Самосвалы карьерные,100000084506,Самосвал карьерный 730E-10 №51,E01_01,Самосвалы карьерные,Самосвал карьерный №51,05-KAR-UTTR-K731,first05-KAR-UTTR-K115,first05,05,KAR,05-KAR,UTTR,-,UTTR,K115,no_data
22053,100000065577,Самосвал карьерный БЕЛАЗ-7540А №52,11-RUD-CGTR-SEBT-BE07,1113011520.0,E01_01,Самосвалы карьерные,100000065577,Самосвал карьерный БЕЛАЗ-7540А №52,E01_01,Самосвалы карьерные,Самосвал карьерный №52,11-RUD-CGTR-SEBT-BELZ,first11-RUD-CGTR-SEBT-BE07,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data
22233,100000065579,Самосвал карьерный БЕЛАЗ-7540А №54,11-RUD-CGTR-SEBT-BE09,1113011520.0,E01_01,Самосвалы карьерные,100000065579,Самосвал карьерный БЕЛАЗ-7540А №54,E01_01,Самосвалы карьерные,Самосвал карьерный №54,11-RUD-CGTR-SEBT-BELZ,first11-RUD-CGTR-SEBT-BE09,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data
22410,100000065551,Самосвал карьерный HD785-5 №229,11-RUD-CGTR-SEBT-KH08,1113011220.0,E01_01,Самосвалы карьерные,100000065551,Самосвал карьерный HD785-5 №229,E01_01,Самосвалы карьерные,Самосвал карьерный №229,11-RUD-CGTR-SEBT-K785,first11-RUD-CGTR-SEBT-KH08,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data
22487,100000065552,Самосвал карьерный HD785-5 №232,11-RUD-CGTR-SEBT-KH11,1113011220.0,E01_01,Самосвалы карьерные,100000065552,Самосвал карьерный HD785-5 №232,E01_01,Самосвалы карьерные,Самосвал карьерный №232,11-RUD-CGTR-SEBT-K785,first11-RUD-CGTR-SEBT-KH11,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data
22505,100000065554,Самосвал карьерный HD785-5 №230,11-RUD-CGTR-SEBT-KH09,1113011220.0,E01_01,Самосвалы карьерные,100000065554,Самосвал карьерный HD785-5 №230,E01_01,Самосвалы карьерные,Самосвал карьерный №230,11-RUD-CGTR-SEBT-K785,first11-RUD-CGTR-SEBT-KH09,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data
22510,100000065555,Самосвал карьерный HD785-5 №233,11-RUD-CGTR-SEBT-KH12,1113011220.0,E01_01,Самосвалы карьерные,100000065555,Самосвал карьерный HD785-5 №233,E01_01,Самосвалы карьерные,Самосвал карьерный №233,11-RUD-CGTR-SEBT-K785,first11-RUD-CGTR-SEBT-KH12,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data
