,Завод,ЕО код,ЕО описание,Основной Класс ЕО код,Основной Класс ЕО описание,Класс ЕО код,Техместо код,Техместо описание,Вышестоящее техместо код,Вышестоящее техместо наименование,Дата начала эксплуатации
0,Полюс Вернинское,100000073790,Бульдозер D9R №1408,E05_02,Бульдозеры гусеничны,Бульдозеры гусеничные,03-RUD-UVSP-BZ11,Бульдозер №1408,03-RUD-UVSP,Выемочно-транспортный участок,01.01.2022
1,Полюс Вернинское,100000071921,Самосвал карьерный HD1500-8 №1630,E01_01,Самосвалы карьерные,Самосвалы карьерные,03-CTT-KM10,Самосвал №1630,03-CTT-K150,Самосвалы Komatsu HD1500-8,01.01.2022
2,Полюс Вернинское,100000081625,Бульдозер D9R №1409,E05_02,Бульдозеры гусеничны,Бульдозеры гусеничные,03-RUD-UVSP-BZ12,Бульдозер №1409,03-RUD-UVSP,Выемочно-транспортный участок,01.01.2022
3,Полюс Вернинское,100000081627,Бульдозер D155A-5 №1411,E05_02,Бульдозеры гусеничны,Бульдозеры гусеничные,03-RUD-UVSP-BZ13,Бульдозер №1411,03-RUD-UVSP,Выемочно-транспортный участок,01.01.2022
4,Полюс Магадан,100000084440,Погрузчик фронтальный WA500-3A,E17_11,Погрузчики фронтальн,Погрузчики фронтальные,05-KAR-UOGR-PF05,Погрузчик фронтальный №4,05-KAR-UOGR-PGFR,Погрузчики фронтальные,31.12.1899
5,Полюс Магадан,100000084488,Автогрейдер 16M №3,E06_01,Автогрейдеры,Автогрейдеры,05-ATC-AG04,Автогрейдер №3,05-ATC-AVGR,Автогрейдеры,01.07.2022
6,Полюс Магадан,100000084489,Бульдозер гусеничный D375A-6 №16,E05_02,Бульдозеры гусеничны,Бульдозеры гусеничные,05-KAR-UOGR-BZ07,Бульдозер гусеничный №16,05-KAR-UOGR-BLDZ,Выемочно-транспортирующие машины,10.07.2022
7,Полюс Магадан,100000084490,Станок буровой DML HP 1450 №14,E02_03,Станки буровые ударн,Станки буровые ударно-вращательного бур.,05-KAR-UBVR-HP04,Станок буровой №14,05-KAR-UBVR-DMHP,Станки буровые DML HP,01.09.2022
8,Полюс Магадан,100000084491,Станок буровой DML HP 1450 №15,E02_03,Станки буровые ударн,Станки буровые ударно-вращательного бур.,05-KAR-UBVR-HP05,Станок буровой №15,05-KAR-UBVR-DMHP,Станки буровые DML HP,01.10.2022
9,Полюс Магадан,100000084492,Самосвал карьерный 730E-10 №37,E01_01,Самосвалы карьерные,Самосвалы карьерные,05-KAR-UTTR-K101,Самосвал карьерный №37,05-KAR-UTTR-K731,Самосвалы Komatsu 730E-10,01.03.2022
10,Полюс Магадан,100000084493,Самосвал карьерный 730E-10 №38,E01_01,Самосвалы карьерные,Самосвалы карьерные,05-KAR-UTTR-K102,Самосвал карьерный №38,05-KAR-UTTR-K731,Самосвалы Komatsu 730E-10,01.03.2022
11,Полюс Магадан,100000084494,Самосвал карьерный 730E-10 №39,E01_01,Самосвалы карьерные,Самосвалы карьерные,05-KAR-UTTR-K103,Самосвал карьерный №39,05-KAR-UTTR-K731,Самосвалы Komatsu 730E-10,01.03.2022
12,Полюс Магадан,100000084495,Самосвал карьерный 730E-10 №40,E01_01,Самосвалы карьерные,Самосвалы карьерные,05-KAR-UTTR-K104,Самосвал карьерный №40,05-KAR-UTTR-K731,Самосвалы Komatsu 730E-10,01.03.2022
13,Полюс Магадан,100000084496,Самосвал карьерный 730E-10 №41,E01_01,Самосвалы карьерные,Самосвалы карьерные,05-KAR-UTTR-K105,Самосвал карьерный №41,05-KAR-UTTR-K731,Самосвалы Komatsu 730E-10,01.04.2022
14,Полюс Магадан,100000084497,Самосвал карьерный 730E-10 №42,E01_01,Самосвалы карьерные,Самосвалы карьерные,05-KAR-UTTR-K106,Самосвал карьерный №42,05-KAR-UTTR-K731,Самосвалы Komatsu 730E-10,01.04.2022
15,Полюс Магадан,100000084498,Самосвал карьерный 730E-10 №43,E01_01,Самосвалы карьерные,Самосвалы карьерные,05-KAR-UTTR-K107,Самосвал карьерный №43,05-KAR-UTTR-K731,Самосвалы Komatsu 730E-10,01.05.2022
