Unnamed: 0,eo_code,eo_model_name,eo_model_id,strategy_id,eo_description,teh_mesto,mvz,eo_class_code,eo_class_description,eo_main_code,eo_main_description,eo_main_class_code,eo_main_class_description,teh_mesto_description,level_upper,code,level_1,level_1_code,level_2_code,level_2_path,level_3_code,level_5,level_6,level_7,level_8,operation_start_date,avearage_day_operation_hours,operation_finish_date,level_1_description,constr_type,avearage_day_operation_hours_updated,avearage_day_operation_hours 2,operation_status 01.03.2022,Дата ввода в экспл.(полностью включая день),Плановая дата вывода из эксплуат.(полностью включая день),Наработка 1.03.2022,ТипЕдОборуд,constr_type_description,Дата списания,Дата последнего капитального ремонта,Вышестоящая ЕО,Unnamed: 42,Unnamed: 43
46479,100000062379,Самосвалы CAT 785C,65,4,Самосвал карьерный 785C №411,11-RUD-CGTR-SEBT-CC11,1113011620,E01_01,Самосвалы карьерные,100000062379,Самосвал карьерный 785C №411,E01_01,Самосвалы карьерные,Самосвал карьерный №411,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC11,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data,2009-10-02,19.18,2023-02-01,Олимпиадинский ГОК,960000001,"19,17808219","19,17808219",Эксплуатация,02.10.2009,01.02.2023,"96638,5",,,,,,,
51420,100000062380,Самосвалы CAT 785C,65,4,Самосвал карьерный 785C №424,11-RUD-CGTR-SEBT-CC23,1113011620,E01_01,Самосвалы карьерные,100000062380,Самосвал карьерный 785C №424,E01_01,Самосвалы карьерные,Самосвал карьерный №424,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC23,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data,2011-05-20,19.55,2023-07-01,Олимпиадинский ГОК,960000001,"19,55342466","19,55342466",Эксплуатация,20.05.2011,01.07.2023,"81100,89",,,,,,,
51539,100000065606,Самосвалы CAT 785C,65,4,Самосвал карьерный 785C №501,11-RUD-CGTR-SEBT-CC50,1113011620,E01_01,Самосвалы карьерные,100000065606,Самосвал карьерный 785C №501,E01_01,Самосвалы карьерные,Самосвал карьерный №501,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC50,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data,2010-12-16,20.0,2023-07-01,Олимпиадинский ГОК,960000001,20,20,Эксплуатация,16.12.2010,01.07.2023,"90365,25",,,,,,,
51581,100000065607,Самосвалы CAT 785C,65,4,Самосвал карьерный 785C №502,11-RUD-CGTR-SEBT-CC51,1113011620,E01_01,Самосвалы карьерные,100000065607,Самосвал карьерный 785C №502,E01_01,Самосвалы карьерные,Самосвал карьерный №502,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC51,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data,2010-12-16,20.0,2023-07-01,Олимпиадинский ГОК,960000001,20,20,Эксплуатация,16.12.2010,01.07.2023,"85083,09",,,,,,,
51595,100000065608,Самосвалы CAT 785C,65,4,Самосвал карьерный 785C №503,11-RUD-CGTR-SEBT-CC52,1113011620,E01_01,Самосвалы карьерные,100000065608,Самосвал карьерный 785C №503,E01_01,Самосвалы карьерные,Самосвал карьерный №503,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC52,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data,2010-12-16,20.0,2023-07-01,Олимпиадинский ГОК,960000001,20,20,Эксплуатация,16.12.2010,01.07.2023,"85470,31",,,,,,,
51598,100000065609,Самосвалы CAT 785C,65,4,Самосвал карьерный 785C №504,11-RUD-CGTR-SEBT-CC53,1113011620,E01_01,Самосвалы карьерные,100000065609,Самосвал карьерный 785C №504,E01_01,Самосвалы карьерные,Самосвал карьерный №504,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC53,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data,2010-12-31,20.0,2023-07-01,Олимпиадинский ГОК,960000001,20,20,Эксплуатация,31.12.2010,01.07.2023,"83342,11",,,,,,,
51605,100000065611,Самосвалы CAT 785C,65,4,Самосвал карьерный 785C №505,11-RUD-CGTR-SEBT-CC54,1113011620,E01_01,Самосвалы карьерные,100000065611,Самосвал карьерный 785C №505,E01_01,Самосвалы карьерные,Самосвал карьерный №505,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC54,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data,2010-12-31,20.0,2023-07-01,Олимпиадинский ГОК,960000001,20,20,Эксплуатация,31.12.2010,01.07.2023,"86496,86",,,,,,,
51615,100000065967,Самосвалы CAT 785C,65,4,Самосвал карьерный 785C №423,11-RUD-CGTR-SEBT-CC22,1113011620,E01_01,Самосвалы карьерные,100000065967,Самосвал карьерный 785C №423,E01_01,Самосвалы карьерные,Самосвал карьерный №423,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC22,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data,2011-05-20,20.27,2023-07-01,Олимпиадинский ГОК,960000001,"20,2739726","20,2739726",Эксплуатация,20.05.2011,01.07.2023,"80949,17",,,,,,,
51624,100000065612,Самосвалы CAT 785C,65,4,Самосвал карьерный 785C №506,11-RUD-CGTR-SEBT-CC55,1113011620,E01_01,Самосвалы карьерные,100000065612,Самосвал карьерный 785C №506,E01_01,Самосвалы карьерные,Самосвал карьерный №506,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC55,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data,2011-01-31,20.0,2023-07-01,Олимпиадинский ГОК,960000001,20,20,Эксплуатация,31.01.2011,01.07.2023,"88317,94",,,,,,,
51633,100000065613,Самосвалы CAT 785C,65,4,Самосвал карьерный 785C №507,11-RUD-CGTR-SEBT-CC56,1113011620,E01_01,Самосвалы карьерные,100000065613,Самосвал карьерный 785C №507,E01_01,Самосвалы карьерные,Самосвал карьерный №507,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC56,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data,2011-01-31,20.0,2023-07-01,Олимпиадинский ГОК,960000001,20,20,Эксплуатация,31.01.2011,01.07.2023,"87416,61",,,,,,,
