,Заказ,Наименование класса ЕО,Краткий текст,Единица оборудования,Название технического места,basis_start_monthname_year,basis_start_month,Вид_заказа,count
0,1100153093,Компьютеры промышленные бортовые,ТО1 КомпьютерTrax10LP 1624,100000024392,Самосвал №1624,январь_2022,1,APP1; ТОРО по ППР,1
1,1100153094,Компьютеры промышленные бортовые,ТО1 КомпьютерTrax10LP 1624,100000024392,Самосвал №1624,февраль_2022,2,APP1; ТОРО по ППР,1
2,1100153095,Компьютеры промышленные бортовые,ТО1 КомпьютерTrax10LP 1624,100000024392,Самосвал №1624,март_2022,3,APP1; ТОРО по ППР,1
3,1100153096,Компьютеры промышленные бортовые,ТО1 КомпьютерTrax10LP 1624,100000024392,Самосвал №1624,апрель_2022,4,APP1; ТОРО по ППР,1
4,1100153097,Компьютеры промышленные бортовые,ТО1 КомпьютерTrax10LP 1624,100000024392,Самосвал №1624,май_2022,5,APP1; ТОРО по ППР,1
5,1100153098,Компьютеры промышленные бортовые,ТО1 КомпьютерTrax10LP 1624,100000024392,Самосвал №1624,июнь_2022,6,APP1; ТОРО по ППР,1
6,1100153099,Компьютеры промышленные бортовые,ТО1 КомпьютерTrax10LP 1624,100000024392,Самосвал №1624,июль_2022,7,APP1; ТОРО по ППР,1
7,1100153100,Компьютеры промышленные бортовые,ТО1 КомпьютерTrax10LP 1624,100000024392,Самосвал №1624,август_2022,8,APP1; ТОРО по ППР,1
8,1100153101,Компьютеры промышленные бортовые,ТО1 КомпьютерTrax10LP 1624,100000024392,Самосвал №1624,сентябрь_2022,9,APP1; ТОРО по ППР,1
9,1100153102,Компьютеры промышленные бортовые,ТО1 КомпьютерTrax10LP 1624,100000024392,Самосвал №1624,октябрь_2022,10,APP1; ТОРО по ППР,1
10,1100153103,Компьютеры промышленные бортовые,ТО1 КомпьютерTrax10LP 1624,100000024392,Самосвал №1624,ноябрь_2022,11,APP1; ТОРО по ППР,1
11,1100153104,Компьютеры промышленные бортовые,ТО1 КомпьютерTrax10LP 1624,100000024392,Самосвал №1624,декабрь_2022,12,APP1; ТОРО по ППР,1
12,1100353217,Экскаваторы гидравлические,ТР электрооборудования,100000009138,Экскаватор №1203,сентябрь_2022,9,APP1; ТОРО по ППР,1
