maintanance_category_id,maintanance_name,maintanance_category_sort_index
eto,ЕТО,500
lining_full,СВп (полная футеровка),1470
lining_partitial,СВч (частичная футеровка),1460
overhaul_total,КР,1600
to1000,ТО-1000,700
to1000,ТО3-1000,700
to12000,ТО-12000,1100
to1500,ТО4-1500,730
to2000,ТО-2000,800
to2000,ТО5-2000,800
to250,ТО1-250,530
to2500,ТО6-2500,850
to4000,ТО-4000,900
to4000,ТО7-4000,900
to500,ТО-500,600
to500,ТО2-500,600
to5000,ТО8-5000,950
to6000,ТО-6000,1000
to8000,ТО9-8000,1050
to_suppl_systems,ТО доп систем,1400
tr,ТР,1200
tr1,ТР,1200
tr2,ТР,1200
tr3,ТР,1200
tr4,ТР,1200
tr_middle,Трсред,1300
tr_suppl_systems,Трдоп.сист.,1400
tyre_repl,Замена колес (6 шт),1500
