level_2_teh_mesto,level_2_description
03-999,Удаленное оборудование
03-ATP,Служба автоматизации техпроцессов
03-BOD,г. Бодайбо
03-CTT,Цех тяжелой техники
03-ENS,Энергослужба ГОК
03-IKT,г. Иркутск
03-KON,Колонна автотранспорта общего назначения
03-OBF,Оборотный фонд
03-PAL,Пробирно-аналитическая лаборатория
03-POS,Вахтовый поселок Вернинский
03-POZ,Пожарная часть
03-PSL,МДСК Полюс СЛ
03-RMM,Вернинский РММ
03-RUD,Рудоуправление (Карьер Вернинский)
03-TAK,п. Таксимо
03-UTS,Участок тепловодоснабжения и канализации
03-ZAP,Участок Западный
03-ZIF,ЗИФ Вернинская
05-AHB,Блок административно-хозяйственный
05-ASF,Формирование аварийно-спасательное
05-ATC,Цех автотранспортный
05-DUA,Дирекция по упр. активами
05-KAR,Карьер Наталкинский
05-PAL,Лаборатория приборно-аналитическая ПАЛ
05-RMM,Мастерские ремонтно-механические РММ
05-RSU,Цех ремонтно-строительный РСУ
05-SGE,Служба главного энергетика
05-SKL,Хозяйство складское
05-ZIF,ЗИФ Наталкинская
11-999,Удаленное оборудование
11-AGT,Участок АГиТО
11-CSP,ЦСП
11-ENC,Энергоцех
11-GRS,ГРС
11-ICC,Исследовательский центр
11-MGO,Служба главного механика по ГО
11-MOO,Служба главного механика по ОО
11-OZH,Общепроизводственное хозяйство ОГОК
11-PAL,ПАЛ ОГОК
11-POZ,Пожарная охрана ОГОК
11-RSC,Ремонтно-строительный цех
11-RUD,Рудоуправление
11-RUP,Ремонтное управление
11-SPL,Лаборатория санитарно-промышленная
11-ZIF,ЗИФ
12-999,Удаленное оборудование
12-OZH,Общепроизводственное хоз-во б.Северная
12-TIR,Автошины(склад б/у шин База Северная)
12-TRC,Участок транспортный б.Северная
13-GOR,Участок горный Попутинское
13-TIR,Автошины(склад б/у шин Попутинское)
14-DCT,Участок ДЭС КУР
14-GOR,Участок горный КУР
14-OZH,Общепроизводственное хозяйство КУР
14-REG,Ремгруппа КУР
14-TIR,Автошины(склад б/у шин КУР)
14-TRC,Участок транспортный КУР
14-UCS,Участок осушения КУР
15-PVB,Парк самосвалов Volvo БЦМ-53
15-PVI,Парк самосвалов Volvo ИПВ 6832 G6
70-999,Удаленное оборудование
70-TRA,Отдел эксплуатации транспорта
71-999,Удаленное оборудование
71-LES,ПП Лесосибирск
71-NAZ,ПП Назимово
71-OBF,Оборотный фонд
71-OOT,КФ. ООТ ПБ и Э
71-PPE,ПП Еруда
71-PPK,ПП Красноярск
71-TRA,КФ. Эксплуатация транспорта
72-999,Удаленное оборудование
72-OBF,Оборотный фонд
72-OMK,ПП Омчак
72-UPR,ПП Уптар
73-999,Удаленное оборудование
73-BOD,ПБ Бодайбо
73-FLT,ИФ. Отдел эксплуатации речного флота
73-OBF,Оборотный фонд
73-TAK,ПБ Таксимо
73-VER,Вернинское (аренда)
74-999,Удаленное оборудование
74-CPS,Цех производственных сервисов
74-LIF,Грузоподъемное оборудование
74-TRA,Автотранспорт
