,level_upper,Название технического места
0,11-ZIF-ZIF4-GMO4-PU54-KIPA,Оборудование КИПиА
1,71-TRA-AVTR-AVT2-TR29,Самосвал №В633УК24
2,05-KAR-UOGR-BZ16,Бульдозер гусеничный №8
3,11-ZIF-Z123-GMO3-USRB-TA33-KIPA,Оборудование КИПиА
4,11-ZIF-Z123-UOSO-TA09,Чан с коническим днищем №180-2
5,05-SGE-CSPS-ELAB,Электролаборатория
6,11-ZIF-Z123-GMO3-USRB-PU28,Насос центробежный №200-2
7,11-ZIF-Z123-UOSO-TA05-KIPA,Оборудование КИПиА
8,11-ZIF-ZIF4-ORP4-UFLT-PU48,Насос центробежный №9а-2
9,11-OZH-OZVP-BL20-HEAT,Оборудование отопления и кондиционир-я
10,11-ZIF-Z123-OBOK-BIO3-TA01-KIPA,Оборудование КИПиА
11,03-ZIF-0GMO-OTRG-PU01,Насос дренажный поз.150-5
12,11-ZIF-Z123-GMO1-USRB-TA29-KIPA,Оборудование КИПиА
13,11-ZIF-Z123-GMO1-UREG-TA15,Колонна регенерации №116
14,71-TRA,КФ. Эксплуатация транспорта
15,11-ZIF-Z123-GMO3-TANK,Оборудование емкостное
16,11-ZIF-ZIF4-ORP4-UIZK-TA13-VA02,Клапан донный отсечной (O6-18)
17,11-ZIF-Z123-OBOK-OFZF-TA02,Бак фильтрата №1-43-3
18,11-ZIF-Z123-GMO2-USR1-TA08-KIPA,Оборудование КИПиА
19,11-ZIF-Z123-GMO3-UDEL-TA19-EAPP,Аппараты электрические
20,05-SGE-CSPS-UPST-CARR-BB01-DISD,Устройства распределительные
21,11-ZIF-Z123-GMO3-PW01-TRNS,Трансформаторы
22,11-ZIF-Z123-HVHZ-PW03,Комплектная трансформаторная подстанция
23,71-TRA-AVTR-AVT3-TR1K,Полуприцеп №МС2964
24,11-ZIF-Z123-GMO2-UREG-TA50-KIPA,Оборудование КИПиА
25,11-ZIF-Z123-ORP3-UIKR-PU04-KIPA,Оборудование КИПиА
26,05-SGE-CSPS-UPST-PW77-DISD,Устройства распределительные
27,11-ZIF-Z123-GMO2-USR1-TA05,Чан контактный №144-2
28,11-ZIF-ZIF4-GMO4-UFLT-FI02,Фильтр керамический вакуумный №145-2
29,11-ZIF-ZIF4-GMO4-UDKU-OV01,Печь реактивации №292-1
30,72-UPR-SKLA-STMC,ПП Уптар. Склад ТМЦ
31,11-RUD-CGTR-SEBT-CC01,Самосвал карьерный №401
32,11-ZIF-Z123-GMO3-PW05-DISD,Устройства распределительные
33,05-SGE-CSPS-UPST-TCHP-RLZA,РЗиА
34,05-KAR-UBVR-SP03,Станок буровой №3
35,03-UTS-SCHV,Станция чистой воды Океан
36,11-RUD-CBVZ-P302,Станок буровой №52
37,11-ZIF-Z123-OBOK-BIO3-KIPA,Оборудование КИПиА
38,03-KON-0PDT,Парк дорожной техники
39,11-ZIF-Z123-OBOK-OFZF-LIFT,Оборудование грузоподъемное
40,11-RUD-CGTR-SETT-UCTT-BZ24,Бульдозер гусеничный №3217
41,11-ZIF-Z123-UPPR-KPRK-PU30-KIPA,Оборудование КИПиА
42,11-SPL-SPEC,Оборудование специального назначения
43,11-ZIF-ZIF4-ORP4-UFLT-MQ12,Флотомашина №63-2-5
44,11-RUD-VOST-CNST,Сооружения
45,05-SGE-CSPS-UPST-1RP3-SOP1,СОПТ №1
46,11-ZIF-Z123-HVHZ-UNFU-TANK,Оборудование емкостное
47,05-SGE-CTVS-UKTL-K446-TECH,Оборудование тепломеханическое
48,11-ENC-TEC1-CTOW,Градирни
49,11-RUD-CGTR-SETT-UDOT-OS12,Автогрейдер №3709
50,05-ZIF-2ORP-2OGR-SI04,Грохот вибр. I.751.2
51,11-ZIF-Z123-GMO3-USRB-PU03,Насос центробежный №171-6
52,05-SGE-CSPS-UPST-PW19,КТП-14 Калориф.
53,11-ZIF-Z123-STKM-UKM1-KO07-KIPA,Оборудование КИПиА
54,05-SGE-CSPS-UPST-PW18-DISD,Устройства распределительные
55,05-SGE-CSPS-UPST-PW27-DISD,Устройства распределительные
56,05-ZIF-2ORP-1OIZ-PUMP,Насосы
57,11-RUD-CGTR-SETT-UDST-WELD,Оборудование сварочное
58,11-ZIF-Z123-UOIZ-OV06-KIPA,Оборудование КИПиА
59,12-TRC-TR07,Автомобиль легковой №К585НМ124
60,11-ZIF-Z123-UPVC-UCEN-DY01-KIPA,Оборудование КИПиА
61,05-ZIF-2ORP-2OGR-MQ35-KIPA,Оборудование КИПиА
62,11-ZIF-Z123-GMO3-UFLT-CNST,Сооружения
63,71-LES-TRUC-LF10,Погрузчик вилочный №МВ0147
64,11-ZIF-ZIF4-GMO4-UOPL-OV05-KIPA,Оборудование КИПиА
65,05-SGE-CTVS-UKTL-UKOP-TH01-KIPA,Оборудование КИПиА
66,11-ZIF-Z123-OBOK-BIO2-TA29,Реактор биоокисления №167-6-3
67,12-TRC-TR26,Автомобиль легковой №Т090ТТ24
68,05-AHB-BL06,Помещение бытовое (раздевалка) Автобаза
69,05-SGE-CTVS-KZIF-KTL1-CS03-HT06-KIPA,Оборудование КИПиА
70,11-ZIF-Z123-ORP2-UFLT-TANK,Оборудование емкостное
71,13-GOR-KOMP,Оборудование компрессорное
72,11-RUD-BLAG-ENSL,Энергослужба к.Благодатный
73,11-ZIF-Z123-ORP3-UFLT-PU13,Насос центробежный №51-2
74,03-ZIF-ORPO-UFLT-MQ05,Флотомашина поз.28-5
75,11-ZIF-Z123-ORP1-UFLT-PU16,Насос центробежный №95-2
76,11-ZIF-Z123-OBOK-OFZF,Отделение фильтр. и затарив. флотоконц.
77,11-ZIF-Z123-GMO3-UINB-HCCL,Гидроциклоны
78,71-TRA-AVTR-AVTP-TR53,Автомобиль легковой №Н860ММ
79,05-SGE-CSPS-UPST-PW91-DISD,Устройства распределительные
80,11-ZIF-ZIF4-GMO4-SHSU,Щиты станции управления(ЩСУ)
81,03-RUD-EKSK-OOBR-EX02,Экскаватор №1207
82,11-ZIF-Z123-STKM-UKM2-KO21-KIPA,Оборудование КИПиА
83,05-SGE-CSPS-UPST-PW85-BB02-DISD,Устройства распределительные
84,11-ZIF-Z123-ORP3-UFLT-SPEC,Оборудование специального назначения
85,71-LES-TRUC-TR02,Автобус №А896НН124
86,73-VER-TRUC-LF09,Автопогрузчик поз.2602
87,11-CSP-UPSG-PZF3-PW01,Сооружение №ПС 110кВт
88,11-ZIF-ZIF4-ORP4-UDSF-DY02-KIPA,Оборудование КИПиА поз.68-2
89,05-ZIF-2ORP-2OGR-PU23,Насос ц/б I.207.2
90,05-ZIF-4GTS-PPNS-PU05,Насос ц/б I.150
91,11-ZIF-ZIF4-ORP4-UIZK-PU42-KIPA,Оборудование КИПиА поз.69-11
92,03-ENS-0USP-LINE,Линии воздушные и кабельные
93,03-ZAP-BL04,Общежитие ИТР №2 Участок Западный (СЛ)
94,11-ZIF-Z123-ORP2-USGN-BL02-KIPA,Оборудование КИПиА
95,11-ZIF-Z123-HVHZ-UNFU-PI01,Пульподелитель 3-х струйный №85а-4
96,11-ZIF-ZIF4-ORP4-UFLT-MQ10-KIPA,Оборудование КИПиА поз.63-2-3
97,11-RUD-CGTR-SETT-UDST-BZ04,Бульдозер колесный №16
98,11-ZIF-Z123-ORP3-UFLT-PIPE,Трубопроводы
99,11-ZIF-Z123-ORP2-UFLT-TA10-KIPA,Оборудование КИПиА
100,11-ZIF-Z123-ORP2-UKDR-CN07-ASUT,АСУТП
101,11-ZIF-ZIF4-GMO4-STKL-CW01,Градирня сухая №1
102,11-ZIF-Z123-GMO1-OPKV-LIFT,Оборудование грузоподъемное
103,11-RUD-CGTR-SEBT-CC39,Самосвал карьерный №440
104,71-TRA-AVTR-AVT3-TR9X,Тягач седельный №С103РН124
105,11-ZIF-ZIF4-UPRG-PU18-KIPA,Оборудование КИПиА
106,11-ZIF-Z123-ORP2-UFLT-KIPA,Оборудование КИПиА
107,11-OZH-OZVP-BL16-VENT,Вентиляторы
108,11-ZIF-ZIF4-ORP4-UIZK-TA14-VA01,Клапан донный отсечной (O3-41)
109,03-UTS-KTL2-HEEX,Теплообменники
110,11-ZIF-Z123-OBOK-BIO1-TA01-KIPA,Оборудование КИПиА
111,11-ZIF-Z123-OBOK-BIO3-TA05-KIPA,Оборудование КИПиА
112,73-VER-TRUC-TR91,Toyota Fortuner А340СН124
113,11-ZIF-Z123-GMO2-USR2-TA03-KIPA,Оборудование КИПиА
114,11-ZIF-Z123-GMO1-USRB-TA29,Чан контактный №193-3
115,11-ZIF-Z123-OBOK-BIO4-PU04-KIPA,Оборудование КИПиА
116,71-TRA-AVTR-AVT1-LF05,Автокран №А806НН124
117,11-ZIF-Z123-ORP2-UFLT-TA06-KIPA,Оборудование КИПиА
118,11-ENC-TEC1-KTKV-BLDN,Здания производственные и бытовые
119,11-ZIF-Z123-GMO3-UFLT-KO05,Компрессор ц/б №185г-2
120,05-ZIF-3GMU-4OGP-FILT,Фильтры
121,11-ZIF-Z123-ORP3-VE44,Вентилятор центробежный №П-7
122,05-SGE-CTVS-UTVS-UEXP-KNSE-KNZF,Сети канализационные площадки ЗИФ
123,11-ZIF-ZIF4-ORP4-UPRR-PU08,Насос центробежный №113
124,03-ZIF-0GMO-USRB-TA06,Агитатор V=150 м3 поз.79-2а
125,71-LES-TRUC-TR24,Тягач седельный №Н962СО24
126,11-ZIF-Z123-OBOK-BIO3-SC01-KIPA,Оборудование КИПиА
127,11-ZIF-Z123-ORP2-UFLT-MQ02-KIPA,Оборудование КИПиА
128,11-ZIF-Z123-OBOK-BIO3-TA20-KIPA,Оборудование КИПиА
129,11-ZIF-Z123-OBOK-BIO2-PW01-TRNS,Трансформаторы
130,11-ZIF-Z123-OBOK-BIO4-TA05,Реактор биокисления №167-2/6
131,11-ZIF-ZIF4-ORP4-UFLT-TA12-KIPA,Оборудование КИПиА
132,11-ZIF-Z123-ORP1-UIKR-SHLD,"Шкафы, щиты, панели"
133,11-ZIF-Z123-ORP2-UFLT-TA04,Зумпф №29
134,11-ZIF-Z123-UPPR-PUMP,Насосы
135,11-ZIF-ZIF4-ORP4-UPRR-TA07-VALV,Запорно-регулирующая арматура поз.115-1
136,11-ZIF-Z123-STKM-UKM2-KMP2-RP08-BUSB,Токопроводы и шинопроводы
137,11-ZIF-ZIF4-ORP4-UIZK-PU18,Насос центробежный №34-1
138,11-ZIF-Z123-OBOK-BIO3-TA16-KIPA,Оборудование КИПиА
139,11-ZIF-Z123-OBOK-BIO4-PU15,Насос центробежный №169б-3
140,11-ZIF-ZIF4-GMO4-UOSH-TA08-VALV,Запорно-регулирующая арматура
141,71-TRA-AVTR-AVTP-TR0C,Автобус вахтовый №Р234КН
142,03-ZIF-0GMO-INTC-MQ07,Концентратор поз. 42В
143,05-ZIF-2ORP-2OGR-MQ10,Концентратор гравитац. I.046.18
144,11-ZIF-ZIF4-ORP4-UGRT-MQ06,Концентратор №43-2
145,05-ATC-PGVL,Погрузчики вилочные
146,05-ZIF-2ORP-2OGR-MQ25-KIPA,Оборудование КИПиА
147,71-TRA-AVTR-AVT2-TR6F,Автотопливозаправщик АТЗ-17-3-3Б УСТ5453
148,71-TRA-AVTR-AVTP-TR2L,Автобус вахтовый №Х137ВТ124
149,11-RUD-CGTR-SEBT-CD64,Самосвал карьерный №765
150,03-RUD-EKSK-OOBR,Основное оборудование
151,03-ZIF-0GMO-UGHD-TA04,Ресивер (ловушка) поз.510-4
152,12-TRC-TR16,Автомобиль легковой №Р979МУ124
153,11-ZIF-Z123-ORP2-UFLT-TA16-KIPA,Оборудование КИПиА
154,11-ZIF-Z123-GMO2-UREG-TA09,Колонна регенерации №205-1
155,11-ZIF-Z123-GMO2-USR2-TA02-KIPA,Оборудование КИПиА
156,03-ZIF-0GMO-UGHD,Участок ГХД
157,11-ZIF-Z123-STKM-UKM2-BL01-ASUT,АСУТП
158,11-ZIF-Z123-ORP3-UIKR-PU27,Насос центробежный №61-8
159,73-BOD-SKLA-SGSM-PIPE,Трубопроводы
160,11-RUD-CGTR-SEBT-SPCT-TN06,Машина поливооросительная №104
161,11-RUP-OBFU-OUSO,УСО
162,11-ZIF-Z123-ORP1-UIKR-CN01-KIPA,Оборудование КИПиА
163,72-OMK-TRUC-TR8D,УАЗ-220695 № а441ве49
164,11-MGO-CRGT-ENSL-OVEN,Печи
165,73-BOD-TRUC-TR6A,Автомобиль груз. пассаж.В198СА124
166,11-ZIF-Z123-STKM-UKM2-KO06-KIPA,Оборудование КИПиА
167,11-ZIF-ZIF4-GMO4-USOC-TA19,"Емкость разделительная №142-в, г-1"
168,11-RUD-CGTR-SETT-UCTT-BZ54,Бульдозер гусеничный №47
169,71-TRA-AVTR-AVTP-TR82,Автомобиль пассажирский №О973ЕТ124
170,73-TAK-SKLA-STMC,ПБ Таксимо. Склад ТМЦ
171,11-ZIF-ZIF4-ORP4-UFLT-KOMP,Оборудование компрессорное
172,11-ZIF-Z123-GMO2-USR2-TA04-KIPA,Оборудование КИПиА
173,71-TRA-AVTR-AVT3-TR7P,Тягач седельный №К183ОМ
174,05-ZIF-4GTS-PPNS,Станция насосная противопожарная
175,11-ZIF-ZIF4-GMO4-UOSH-PU45,Насос центробежный №НС-3
176,11-ZIF-Z123-GMO2-UREG-EAPP,Аппараты электрические
177,11-RUD-CGTR-SEBT-CD24,Самосвал карьерный №725
178,11-ZIF-Z123-ORP2-UFLT-PU35,Насос центробежный №68-1
179,72-OMK-SKLA-STMC-HEAT,Оборудование отопления и кондиционир-я
