,main_eo_class_code,main_eo_class_description
0,E04_01,Автомобили пассажирс
1,E18_11,Насосные станции
2,E32_01,Двигатели асинхронны
3,E04_06,Полуприцепы
4,E05_02,Бульдозеры гусеничны
5,E04_05,Прицепы
6,E18_02,Насосы центробежные
7,E12_03,Грохоты колосниковые
8,E12_08,Грохоты вибрационные
9,E21_04,Печи реактивации
10,E18_06,Насосы водокольцевые
11,E17_03,Краны мостовые г/п<1
12,E17_04,Краны мостовые г/п 1
13,E23_01,Конвейеры ленточные
14,E20_05,Машины проборазделоч
15,E12_06,Гидроциклоны_002
16,E50_04,"Измерения потока, ра"
17,E01_01,Самосвалы карьерные
18,E24_01,Трубопроводы систем
19,E35_07,"Шкафы, щиты, панели"
20,E17_11,Погрузчики фронтальн
21,E06_01,Автогрейдеры
22,E02_03,Станки буровые ударн
23,E03_02,Экскаваторы электрич
24,E05_01,Бульдозеры колесные
25,E03_01,Экскаваторы гидравли
26,E51_01,Здания административ
27,E08_03,Оборудование баковое
28,E32_06,Установки дизель-ген
29,E11_07,Дробилки щековые
30,E55,Речной флот_002
31,E30_01,Котлы паровые
32,E11_10,Мельницы шаровые
33,E08_02,Аппараты с внутренни
34,E08_01,Сосуды
35,E43_02,Выпрямители силовые
36,E35_04,Устройства коммутаци
37,E09_02,Вентиляторы радиальн
38,E14_02,Фильтры с фильтр-м э
39,E50_05,Измерения уровня
40,E19_02,Сгустители
41,E35_05,Щиты освещения
42,E23_06,Питатели ленточные
43,E33_02,Выключатели вакуумны
44,E09_01,Вентиляторы осевые
45,E30_05,Машины тягодутьевые
46,E31_02,Трансформаторы силов
47,E31_04,Трансформаторы специ
48,E33_10,Ограничители напряже
49,E33_03,Выключатели маломасл
50,E52_04,Подстанции трансформ
51,E18_08,Насосы поршневые
52,E17_08,Подъемники
53,E18_03,Насосы центробежные
54,E26_05,Арматура фазораздели
55,E50_20,Устр-ва регулирующие
56,E10_03,Калориферы
57,E32_03,Двигатели постоянног
58,E50_11,Теплофизич-е и темпе
59,E50_10,Измерения физ.-хим.
60,E50_08,Газовый анализ
61,E24_05,Трубопроводы техноло
62,E21_02,Печи обжига
63,E18_04,Насосы струйные
64,E51_02,Здания производствен
65,E34_09,Сети освещения
66,E34_04,"Линии кабельные 0,4"
67,E24_02,Трубопроводы систем
68,E24_04,Трубопроводы систем
69,E50_22,Шкафы КИП
70,E47_04,Средства свето-звуко
71,E50_21,"Запис., регистр. и п"
72,E50_06,"Измерения давления,"
73,E50_07,Измерения веса
74,E53,АСПЗ (Противопожарны
75,E52_05,Здания и сооружения
76,E50_18,Средства автоматизац
77,E52_12,Трубы дымовые
78,E35_01,РУ высокого напряжен
79,E34_05,Линии кабельные 10 (
80,E33_15,Установки конденсато
81,E34_03,Линии воздушные 110
82,E34_02,Линии воздушные 10 (
83,E01_05,Машины поливооросите
84,E52_07,Здания и сооружения
85,E54_01,Пути
86,E35_03,РУ низкого напряжени
87,E01_04,Тягачи-буксировщики
88,E04_04,Автомобили специальн
89,E13_03,Флотомашины
90,E11_03,Дробилки валковые
91,E23_04,Питатели качающиеся
92,E16_03,Станки сверлильные и
93,E35_06,"Шкафы, щиты питания"
94,E17_06,Тали электрические_0
95,E16_04,Станки шлифовальные
96,E43_12,Системы возбуждения
97,E11_08,Мельницы полусамоизм
98,E43_04,Пусковые устройства
99,E10_06,Циклоны_002
100,E23_05,Питатели пластинчаты
101,E12_04,Грохоты барабанные в
102,E24_08,Пульповоды
103,E50_17,Приборы и средства у
104,E13_02,Столы концентрационн
105,E46_02,АРМ
106,E50_14,Измерения акустическ
107,E43_09,Шкафы управления
108,E30_03,Деаэраторы
109,E31_01,Трансформаторы силов
110,E15_03,Компрессоры центробе
111,E38_01,Агрегаты сварочные
112,E43_01,Системы оперативного
113,E52_02,Здания мобильные и к
114,E11_04,Дробилки конусные
115,E17_02,Краны стреловые на к
116,E17_10,Погрузчики вилочные
117,E18_07,Насосы мембранные
118,E20_01,Аппаратура лаборатор
119,E04_02,Автомобили грузовые
120,E17_07,Лифты грузовые
121,E50_15,Оптико-физические из
122,E11_01,Стацион. дробильно-с
123,E22_02,Оборудование диагнос
124,E52_21,Колонки топливоразда
125,S00,Узлы
126,S01,Узлы. ДВС
127,E20_07,Измельчители
128,E33_01,Выключатели элегазов
129,E40_09,Защиты многофункцион
130,E02_02,Станки буровые вращ.
131,E51_04,Здания общественные
132,E04_03,Автомобили грузовые
133,E16_01,Станки токарные
134,E20_06,Прессы
135,E02_05,Станки буровые ударн
136,E13_01,Концентраторы
137,E22_03,Оборудование для акк
138,E30_07,Подогреватели сетевы
139,E52_10,Градирни
140,E30_11,"Экономайзеры, воздух"
141,E30_02,Турбины и турбоустан
142,E10_05,Системы аспирационны
143,E50_23,Оборудование лаборат
144,E50_19,Устр-ва пневматическ
145,E10_02,Кондиционеры
146,E18_10,Насосы шестеренные
147,E34_07,Токопроводы и шинопр
148,E10_01,Завесы тепловые
149,E25,Короба и желоба_002
150,E43_03,Преобразователи
151,E32_05,Генераторы
152,E50_09,Измерение электричес
153,E18_09,Насосы роторные
154,E14_04,Фильтр-прессы
155,E15_01,Компрессоры винтовые
156,E14_05,Фильтры вакуумные
157,E17_05,Краны козловые
158,E06_04,Машины снегоуборочны
159,E50_03,Измерения механическ
160,E50_16,Средства виброизмери
161,E47_03,"Щиты, пульты уст-ки"
162,E31_03,Трансформаторы силов
163,E04_07,Вездеходы
164,E17_09,Краны-трубоукладчики
165,E45_03,Компьютеры промышлен
166,E21_03,Печи плавильные
167,E43_10,Индукционные установ
168,E06_02,Катки дорожные
169,E35_02,РУ среднего напряжен
170,E33_13,Реакторы токоогранич
171,E15_02,Компрессоры поршневы
172,E04_09,Манипуляторы шинные
173,E47_01,Щиты и пульты пневмо
174,E30_08,Теплообменники
175,E24_07,Нефтепроводы
