,month_year,Период,period_sort_index,"Трудозатраты, чел-час"
110,9_2024,сен 2024,21,68.1
0,10_2024,окт 2024,22,70.3
10,11_2024,ноя 2024,23,87.9
20,12_2024,дек 2024,24,91.3
30,1_2025,янв 2025,25,133.3
40,2_2025,фев 2025,26,66.8
50,3_2025,мар 2025,27,101.3
60,4_2025,апр 2025,28,86.1
70,5_2025,май 2025,29,98.8
80,6_2025,июн 2025,30,110.1
90,7_2025,июл 2025,31,85.6
100,8_2025,авг 2025,32,70.3
111,9_2025,сен 2025,33,167.1
1,10_2025,окт 2025,34,68.8
11,11_2025,ноя 2025,35,105.9
21,12_2025,дек 2025,36,68.8
31,1_2026,янв 2026,37,142.3
41,2_2026,фев 2026,38,102.8
51,3_2026,мар 2026,39,91.6
61,4_2026,апр 2026,40,160.3
71,5_2026,май 2026,41,158.8
81,6_2026,июн 2026,42,131.1
91,7_2026,июл 2026,43,133.3
101,8_2026,авг 2026,44,148.6
112,9_2026,сен 2026,45,143.1
2,10_2026,окт 2026,46,163.3
12,11_2026,ноя 2026,47,113.1
22,12_2026,дек 2026,48,150.1
32,1_2027,янв 2027,49,122.8
42,2_2027,фев 2027,50,167.3
52,3_2027,мар 2027,51,148.3
62,4_2027,апр 2027,52,114.9
72,5_2027,май 2027,53,213.5
82,6_2027,июн 2027,54,164.1
92,7_2027,июл 2027,55,130.3
102,8_2027,авг 2027,56,135.1
113,9_2027,сен 2027,57,1116.6
3,10_2027,окт 2027,58,182.8
13,11_2027,ноя 2027,59,201.6
23,12_2027,дек 2027,60,148.6
33,1_2028,янв 2028,61,160.3
43,2_2028,фев 2028,62,223.4
53,3_2028,мар 2028,63,164.8
63,4_2028,апр 2028,64,168.9
73,5_2028,май 2028,65,158.8
83,6_2028,июн 2028,66,176.8
93,7_2028,июл 2028,67,221.8
103,8_2028,авг 2028,68,148.6
114,9_2028,сен 2028,69,239.1
4,10_2028,окт 2028,70,146.8
14,11_2028,ноя 2028,71,201.6
24,12_2028,дек 2028,72,202.3
34,1_2029,янв 2029,73,160.6
44,2_2029,фев 2029,74,165.8
54,3_2029,мар 2029,75,167.8
64,4_2029,апр 2029,76,201.6
74,5_2029,май 2029,77,181.6
84,6_2029,июн 2029,78,146.1
94,7_2029,июл 2029,79,213.5
104,8_2029,авг 2029,80,202.3
115,9_2029,сен 2029,81,179.4
5,10_2029,окт 2029,82,169.3
15,11_2029,ноя 2029,83,164.1
25,12_2029,дек 2029,84,166.3
35,1_2030,янв 2030,85,310.6
45,2_2030,фев 2030,86,147.8
55,3_2030,мар 2030,87,164.8
65,4_2030,апр 2030,88,150.6
75,5_2030,май 2030,89,198.1
85,6_2030,июн 2030,90,201.6
95,7_2030,июл 2030,91,149.8
105,8_2030,авг 2030,92,194.0
116,9_2030,сен 2030,93,1134.6
6,10_2030,окт 2030,94,222.1
16,11_2030,ноя 2030,95,168.6
26,12_2030,дек 2030,96,167.8
36,1_2031,янв 2031,97,158.8
46,2_2031,фев 2031,98,220.1
56,3_2031,мар 2031,99,182.8
66,4_2031,апр 2031,100,255.6
76,5_2031,май 2031,101,257.8
86,6_2031,июн 2031,102,201.9
96,7_2031,июл 2031,103,203.8
106,8_2031,авг 2031,104,212.0
117,9_2031,сен 2031,105,212.1
7,10_2031,окт 2031,106,205.6
17,11_2031,ноя 2031,107,254.1
27,12_2031,дек 2031,108,241.3
37,1_2032,янв 2032,109,196.3
47,2_2032,фев 2032,110,166.7
57,3_2032,мар 2032,111,238.3
67,4_2032,апр 2032,112,200.1
77,5_2032,май 2032,113,214.3
87,6_2032,июн 2032,114,260.4
97,7_2032,июл 2032,115,203.8
107,8_2032,авг 2032,116,200.8
118,9_2032,сен 2032,117,194.8
8,10_2032,окт 2032,118,294.1
18,11_2032,ноя 2032,119,183.6
28,12_2032,дек 2032,120,185.8
38,1_2033,янв 2033,121,305.8
48,2_2033,фев 2033,122,182.3
58,3_2033,мар 2033,123,204.1
68,4_2033,апр 2033,124,218.1
78,5_2033,май 2033,125,215.8
88,6_2033,июн 2033,126,182.1
98,7_2033,июл 2033,127,207.1
108,8_2033,авг 2033,128,274.3
119,9_2033,сен 2033,129,212.1
9,10_2033,окт 2033,130,1190.0
19,11_2033,ноя 2033,131,201.9
29,12_2033,дек 2033,132,203.8
39,1_2034,янв 2034,133,182.8
49,2_2034,фев 2034,134,254.3
59,3_2034,мар 2034,135,205.6
69,4_2034,апр 2034,136,254.1
79,5_2034,май 2034,137,266.8
89,6_2034,июн 2034,138,183.6
99,7_2034,июл 2034,139,168.1
109,8_2034,авг 2034,140,224.8
