level_1,eo_code,month_year,eo_model_id,man_hours
first03,100000008673,10_2023,65,123.66
first03,100000008673,10_2024,65,117.21000000000001
first03,100000008673,10_2025,65,1025.46
first03,100000008673,10_2026,65,166.56
first03,100000008673,10_2027,65,117.21000000000001
first03,100000008673,10_2028,65,118.71000000000001
first03,100000008673,10_2029,65,540.21
first03,100000008673,11_2023,65,86.55
first03,100000008673,11_2024,65,91.35000000000001
first03,100000008673,11_2025,65,86.55
first03,100000008673,11_2026,65,88.05
first03,100000008673,11_2027,65,137.4
first03,100000008673,11_2028,65,120.9
first03,100000008673,11_2029,65,88.05
first03,100000008673,12_2023,65,118.71000000000001
first03,100000008673,12_2024,65,117.21000000000001
first03,100000008673,12_2025,65,92.01
first03,100000008673,12_2026,65,87.21
first03,100000008673,12_2027,65,88.71000000000001
first03,100000008673,12_2028,65,102.21000000000001
first03,100000008673,12_2029,65,135.9
first03,100000008673,1_2023,65,87.21
first03,100000008673,1_2024,65,136.56
first03,100000008673,1_2025,65,95.46000000000001
first03,100000008673,1_2026,65,117.21000000000001
first03,100000008673,1_2027,65,546.66
first03,100000008673,1_2028,65,117.21
first03,100000008673,1_2029,65,118.71000000000001
first03,100000008673,2_2023,65,86.73
first03,100000008673,2_2024,65,85.89
first03,100000008673,2_2025,65,127.83
first03,100000008673,2_2026,65,93.48
first03,100000008673,2_2027,65,85.23
first03,100000008673,2_2028,65,90.69
first03,100000008673,2_2029,65,85.23
first03,100000008673,3_2023,65,87.21000000000001
first03,100000008673,3_2024,65,88.71
first03,100000008673,3_2025,65,87.21000000000001
first03,100000008673,3_2026,65,131.31
first03,100000008673,3_2027,65,95.46000000000001
first03,100000008673,3_2028,65,95.46000000000001
first03,100000008673,3_2029,65,98.76
first03,100000008673,4_2023,65,121.35000000000001
first03,100000008673,4_2024,65,116.55
first03,100000008673,4_2025,65,118.05
first03,100000008673,4_2026,65,116.55
first03,100000008673,4_2027,65,159.15
first03,100000008673,4_2028,65,116.55
first03,100000008673,4_2029,65,118.05000000000001
first03,100000008673,5_2023,65,95.46000000000001
first03,100000008673,5_2024,65,510.21
first03,100000008673,5_2025,65,87.21000000000001
first03,100000008673,5_2026,65,88.71000000000001
first03,100000008673,5_2027,65,87.21000000000001
first03,100000008673,5_2028,65,114.81
first03,100000008673,5_2029,65,87.21
first03,100000008673,6_2023,65,86.55
first03,100000008673,6_2024,65,88.05
first03,100000008673,6_2025,65,99.75
first03,100000008673,6_2026,65,98.10000000000001
first03,100000008673,6_2027,65,88.05
first03,100000008673,6_2028,65,86.55
first03,100000008673,6_2029,65,130.65
first03,100000008673,7_2023,65,159.81
first03,100000008673,7_2024,65,117.21000000000001
first03,100000008673,7_2025,65,118.71000000000001
first03,100000008673,7_2026,65,117.21000000000001
first03,100000008673,7_2027,65,128.76
first03,100000008673,7_2028,65,1025.46
first03,100000008673,7_2029,65,117.21000000000001
first03,100000008673,8_2023,65,87.21
first03,100000008673,8_2024,65,131.31
first03,100000008673,8_2025,65,87.21000000000001
first03,100000008673,8_2026,65,88.71000000000001
first03,100000008673,8_2027,65,87.21000000000001
first03,100000008673,8_2028,65,93.66
first03,100000008673,8_2029,65,95.46000000000001
first03,100000008673,9_2023,65,94.8
first03,100000008673,9_2024,65,94.8
first03,100000008673,9_2025,65,114.15
first03,100000008673,9_2026,65,86.55
first03,100000008673,9_2027,65,88.05
first03,100000008673,9_2028,65,86.55
first03,100000008673,9_2029,65,79.8
first03,100000008674,10_2023,65,123.66
first03,100000008674,10_2024,65,117.21000000000001
first03,100000008674,10_2025,65,1025.46
first03,100000008674,10_2026,65,166.56
first03,100000008674,10_2027,65,117.21000000000001
first03,100000008674,10_2028,65,118.71000000000001
first03,100000008674,10_2029,65,540.21
first03,100000008674,11_2023,65,86.55
first03,100000008674,11_2024,65,91.35000000000001
first03,100000008674,11_2025,65,86.55
first03,100000008674,11_2026,65,88.05
first03,100000008674,11_2027,65,137.4
first03,100000008674,11_2028,65,120.9
first03,100000008674,11_2029,65,88.05
first03,100000008674,12_2023,65,118.71000000000001
first03,100000008674,12_2024,65,117.21000000000001
first03,100000008674,12_2025,65,92.01
first03,100000008674,12_2026,65,87.21
first03,100000008674,12_2027,65,88.71000000000001
first03,100000008674,12_2028,65,102.21000000000001
first03,100000008674,12_2029,65,135.9
first03,100000008674,1_2023,65,87.21
first03,100000008674,1_2024,65,136.56
first03,100000008674,1_2025,65,95.46000000000001
first03,100000008674,1_2026,65,117.21000000000001
first03,100000008674,1_2027,65,546.66
first03,100000008674,1_2028,65,117.21
first03,100000008674,1_2029,65,118.71000000000001
first03,100000008674,2_2023,65,86.73
first03,100000008674,2_2024,65,85.89
first03,100000008674,2_2025,65,127.83
first03,100000008674,2_2026,65,93.48
first03,100000008674,2_2027,65,85.23
first03,100000008674,2_2028,65,90.69
first03,100000008674,2_2029,65,85.23
first03,100000008674,3_2023,65,87.21000000000001
first03,100000008674,3_2024,65,88.71
first03,100000008674,3_2025,65,87.21000000000001
first03,100000008674,3_2026,65,131.31
first03,100000008674,3_2027,65,95.46000000000001
first03,100000008674,3_2028,65,95.46000000000001
first03,100000008674,3_2029,65,98.76
first03,100000008674,4_2023,65,121.35000000000001
first03,100000008674,4_2024,65,116.55
first03,100000008674,4_2025,65,118.05
first03,100000008674,4_2026,65,116.55
first03,100000008674,4_2027,65,159.15
first03,100000008674,4_2028,65,116.55
first03,100000008674,4_2029,65,118.05000000000001
first03,100000008674,5_2023,65,95.46000000000001
first03,100000008674,5_2024,65,510.21
first03,100000008674,5_2025,65,87.21000000000001
first03,100000008674,5_2026,65,88.71000000000001
first03,100000008674,5_2027,65,87.21000000000001
first03,100000008674,5_2028,65,114.81
first03,100000008674,5_2029,65,87.21
first03,100000008674,6_2023,65,86.55
first03,100000008674,6_2024,65,88.05
first03,100000008674,6_2025,65,99.75
first03,100000008674,6_2026,65,98.10000000000001
first03,100000008674,6_2027,65,88.05
first03,100000008674,6_2028,65,86.55
first03,100000008674,6_2029,65,130.65
first03,100000008674,7_2023,65,159.81
first03,100000008674,7_2024,65,117.21000000000001
first03,100000008674,7_2025,65,118.71000000000001
first03,100000008674,7_2026,65,117.21000000000001
first03,100000008674,7_2027,65,128.76
first03,100000008674,7_2028,65,1025.46
first03,100000008674,7_2029,65,117.21000000000001
first03,100000008674,8_2023,65,87.21
first03,100000008674,8_2024,65,131.31
first03,100000008674,8_2025,65,87.21000000000001
first03,100000008674,8_2026,65,88.71000000000001
first03,100000008674,8_2027,65,87.21000000000001
first03,100000008674,8_2028,65,93.66
first03,100000008674,8_2029,65,95.46000000000001
first03,100000008674,9_2023,65,94.8
first03,100000008674,9_2024,65,94.8
first03,100000008674,9_2025,65,114.15
first03,100000008674,9_2026,65,86.55
first03,100000008674,9_2027,65,88.05
first03,100000008674,9_2028,65,86.55
first03,100000008674,9_2029,65,79.8
first11,100000062379,1_2023,65,86.55
first11,100000062380,1_2023,65,87.21
first11,100000062380,2_2023,65,86.73
first11,100000062380,3_2023,65,87.21000000000001
first11,100000062380,4_2023,65,91.35
first11,100000062380,5_2023,65,117.21000000000001
first11,100000062380,6_2023,65,94.14
first11,100000062381,1_2023,65,87.21
first11,100000062381,2_2023,65,86.73
first11,100000062381,3_2023,65,87.21000000000001
first11,100000062381,4_2023,65,121.35000000000001
first11,100000062381,5_2023,65,95.46000000000001
first11,100000062381,6_2023,65,85.89
first11,100000062382,1_2023,65,87.21
first11,100000062382,2_2023,65,86.73
