Планир. завод,ГрупПлановик,Сообщение,Вид заказа,Вид работы ТОРО,ВремяРемПростояЗкз,БазисСрокНачала,БазисСрокКонца,Заказ,Ссылочная дата,Ссылочное время,Дата изменения,Рабочее место,Резерв./заявка,Тип заказа,ПроизвУчасток,БЕ,Дата ввода,ПоказанСчетчика,Факт. деблокир.,ФактичСрокКонца,Факт.окончание,Общий расчет,ОбщЗатраты/факт,ОбщЗатраты/план,ЗапланКонец,БазисВремяКонца,Конец: время,Бизнес-сфера,ФактСрокНачала,ЗапланНачало,ФактНчл/Врем,Время начала,Время начала,История с,СхемаКальк,ТоргДокумент,Позиция,КЕ,Ответств. МВЗ,Ведущий заказ,Метка удаления,ДатаЗаверш,ЕстьПодробТекст,ВышестоящЗаказ,Базисная ЕИ,Количество,Помещение,Имя списка,Плановая дата,Номер объекта,СписОбъект,ГрПлан/Техкарта,ИндПланирЗаказа,СчтГрупТехкарт,Группа,Почтовый индекс,МВП,Приоритет,СПП-элемент,Регион,Ревизия,Серийный номер,Материал,НазвСервПродукт,СервиснПродукт,Сектор,Сектор - Сбыт,Местоположение,Улица,ЗаводРасплТехОб,ПредварЗатраты,ПользовСтатус,Группа сбыта,СбытовОрганизац,СбытовОрганизац - Сб,ВышестОперация,Канал сбыта,Канал сбыта - Сбыт,Валюта,ПозПредупрТОРО,ПланПредупрТОРО,Завод,Код надбавки,Ид. причины,Причина корр-ки,ИндНаличПрикрДокум,ИмеютсяНеСоглЗапросы,ПериодРемCAPEX(мес),Класс ЕО,ПрочиеФакт,ПрочиеПлан,БюджетФактИтог,БюджетПланИтог,МТР ФактИтог,МТР ПланИтог,Стоимость новой ЕО,ТЗРФакт,ТЗРПлан,ОбщееВремяПростояЗкз,ОборудованиеНаГарант,Инд. статуса «ФИКС»,Отв. сотрудн. таб. №,НаименованиеКлассаЕО,МТРподр,НеобходимНарядДопуск,СтатВыдачиРазрешений,СистСтатСообщТОРО,КапитализирРемонт,Исходная стоимость,Дефицит,Требуемая стоимость,СППДефицит,%СтоимРемФСтоимНовЕО,%СтоимРемПСтоимНовЕО,СистСтатус,ВремяРемПростояТК,ОбщееВремяПростояТК,ВремяТехнПростояТК,Заказано УСО,Описание,Краткий текст,СистемнСтатус,Отв. сотрудник ФИО,ПользСтатус,ОбщСумма (План),ОбщаяСумма(Фкт),ФОТПлан,ФОТФакт,МатериалыПлан,МатериалыФакт,ЗапчастиПлан,ЗапчастиФакт,УСОПоРемонтуПлан,УСОПоРемонтуФакт,Ед. оборудов.,Техместо,Описание,СПП-ЗаголЗаказа,Отв. раб.место,МВЗ,ВремяТехнПростояЗкз,Фактический простой,Принято УСО,ПредвЗарегистрирУСО
1200,100,7100381366,APP1,ТР,"20,00",1/22/2022,1/23/2022,1100380358,1/22/2022,15:00:00,1/25/2022,11411621,3,30,,1200,3/31/2021,,1/22/2022,1/23/2022,11:00:00,"0,00","0,00","0,00",1/23/2022,11:00:00,11:00:00,1200,1/22/2022,1/22/2022,15:00:00,15:00:00,15:00:00,,PP-PC1,,000000,1000,,,,,,,,"0,000",,,1/30/2022,OR001100380358,498 797,100,1,ТР,O0000143,,,3,,,,,,,,,,,,1202,"0,00",СГГС ГИП  ГОД  МЕС  НЕД  ПРНТ ПТОМ УТВГ*,,,,,,,RUB,163663,100000061152,1200,,,,,,0,E01_01,"0,00","0,00","0,00","0,00","0,00","0,00","44 082 874,46","0,00","0,00","20,00",X,,12000925,Самосвалы карьерные,,,0. Разрешений нет,СОРА ЗКПР ВСМИ,,"0,00","0,00","0,00",,0,0,ДЕБЛ ПЕЧТ ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,"24,00","24,00","0,00","0,00",Самосвал карьерный HD1500-8 №1621,ТР Самосвал HD1500-8 №1621,ДЕБЛ ПДТВ ПЕЧТ JBFI KKMP ДМНП ПКАЛ ПРВВ,Тимофеев Евгений Сергеевич,СГГС ГОД УТВГ МЕС УТВМ НЕД УТВН ГИП ПТОМ ПРНТ,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",100000006408,03-CTT-KM01,Самосвал №1621,LT-1200-2022-2-014-02,C-VEROGM,1213011320,"0,00","0,00","0,00","0,00"
1200,100,7940393713,AETG,ЕТО,"0,33",1/27/2022,1/27/2022,1600129377,1/27/2022,18:30:00,1/26/2022,11411621,3,30,,1200,1/22/2022,,1/26/2022,,00:00:00,"0,00","0,00","0,00",1/27/2022,18:49:48,18:49:48,,,1/27/2022,00:00:00,18:30:00,18:30:00,,PP-PC1,,000000,1000,,,,1/27/2022,,,,"0,000",,,1/27/2022,OR001600129377,907 256,100,1,ЕО,2169,,,,,,,,,,,,,,,1202,"0,00",ЗАПЛ УТВН,,,,,,,RUB,23354,300000001795,1200,,,,,,0,E01_01,"0,00","0,00","0,00","0,00","0,00","0,00","44 082 874,46","0,00","0,00","0,33",X,,12000489,Самосвалы карьерные,,,0. Разрешений нет,СОРА ЗКПР,,"0,00","0,00","0,00",,0,0,ДЕБЛ ПКАЛ ПРВВ СРНА ДМНП KKMP,"0,33","0,33","0,00","0,00",Самосвал карьерный HD1500-8 №1621,ЕТО 2 смена Самосвал HD1500-8 №1621,ДЕБЛ KKMP ДМНП ПКАЛ ПРВВ СРНА,Паршуков Владимир Викторович,УТВН ЗАПЛ,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",100000006408,03-CTT-KM01,Самосвал №1621,LT-1200-2022-2-014-02,C-VEROGM,1213011320,"0,00","0,32","0,00","0,00"
1200,100,7940393714,AETG,ЕТО,"0,33",1/28/2022,1/28/2022,1600129378,1/28/2022,18:30:00,1/27/2022,11411621,3,30,,1200,1/22/2022,,1/27/2022,,00:00:00,"0,00","0,00","0,00",1/28/2022,18:49:48,18:49:48,,,1/28/2022,00:00:00,18:30:00,18:30:00,,PP-PC1,,000000,1000,,,,,,,,"0,000",,,1/28/2022,OR001600129378,907 257,100,1,ЕО,2169,,,,,,,,,,,,,,,1202,"0,00",ЗАПЛ УТВН,,,,,,,RUB,23354,300000001795,1200,,,,,,0,E01_01,"0,00","0,00","0,00","0,00","0,00","0,00","44 082 874,46","0,00","0,00","0,33",X,,12000489,Самосвалы карьерные,,,0. Разрешений нет,СОРА ЗКПР,,"0,00","0,00","0,00",,0,0,ДЕБЛ ПКАЛ ПРВВ СРНА ДМНП KKMP,"0,33","0,33","0,00","0,00",Самосвал карьерный HD1500-8 №1621,ЕТО 2 смена Самосвал HD1500-8 №1621,ДЕБЛ KKMP ДМНП ПКАЛ ПРВВ СРНА,Паршуков Владимир Викторович,УТВН ЗАПЛ,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",100000006408,03-CTT-KM01,Самосвал №1621,LT-1200-2022-2-014-02,C-VEROGM,1213011320,"0,00","0,00","0,00","0,00"
1200,100,7940393687,AETG,ЕТО,"0,33",1/28/2022,1/28/2022,1600129371,1/28/2022,06:30:00,1/27/2022,11411621,3,30,,1200,1/22/2022,,1/27/2022,,00:00:00,"0,00","0,00","0,00",1/28/2022,06:49:48,06:49:48,,,1/28/2022,00:00:00,06:30:00,06:30:00,,PP-PC1,,000000,1000,,,,,,,,"0,000",,,1/28/2022,OR001600129371,907 250,100,1,ЕО,2169,,,,,,,,,,,,,,,1202,"0,00",ЗАПЛ УТВН,,,,,,,RUB,23353,300000001795,1200,,,,,,0,E01_01,"0,00","0,00","0,00","0,00","0,00","0,00","44 082 874,46","0,00","0,00","0,33",X,,12000831,Самосвалы карьерные,,,0. Разрешений нет,СОРА ЗКПР,,"0,00","0,00","0,00",,0,0,ДЕБЛ ПКАЛ ПРВВ СРНА ДМНП KKMP,"0,33","0,33","0,00","0,00",Самосвал карьерный HD1500-8 №1621,ЕТО 1 смена Самосвал HD1500-8 №1621,ДЕБЛ KKMP ДМНП ПКАЛ ПРВВ СРНА,Дженджера Валерий Станиславович,УТВН ЗАПЛ,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",100000006408,03-CTT-KM01,Самосвал №1621,LT-1200-2022-2-014-02,C-VEROGM,1213011320,"0,00","0,00","0,00","0,00"
1200,100,7940393715,AETG,ЕТО,"0,33",1/29/2022,1/29/2022,1600129379,1/29/2022,18:30:00,1/22/2022,11411621,2,30,,1200,1/22/2022,,,,00:00:00,"0,00","0,00","0,00",1/29/2022,18:49:48,18:49:48,,,1/29/2022,00:00:00,18:30:00,18:30:00,,PP-PC1,,000000,1000,,,,,,,,"0,000",,,1/29/2022,OR001600129379,907 258,100,1,ЕО,2169,,,,,,,,,,,,,,,1202,"0,00",ЗАПЛ УТВН,,,,,,,RUB,23354,300000001795,1200,,,,,,0,E01_01,"0,00","0,00","0,00","0,00","0,00","0,00","44 082 874,46","0,00","0,00","0,33",X,,12000489,Самосвалы карьерные,,,0. Разрешений нет,СОРА ЗКПР,,"0,00","0,00","0,00",,0,0,ОТКР ПКАЛ ДМНП KKMP,"0,33","0,33","0,00","0,00",Самосвал карьерный HD1500-8 №1621,ЕТО 2 смена Самосвал HD1500-8 №1621,ОТКР KKMP ДМНП ПКАЛ,Паршуков Владимир Викторович,УТВН ЗАПЛ,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",100000006408,03-CTT-KM01,Самосвал №1621,LT-1200-2022-2-014-02,C-VEROGM,1213011320,"0,00","0,00","0,00","0,00"
1200,100,7940393688,AETG,ЕТО,"0,33",1/29/2022,1/29/2022,1600129372,1/29/2022,06:30:00,1/22/2022,11411621,2,30,,1200,1/22/2022,,,,00:00:00,"0,00","0,00","0,00",1/29/2022,06:49:48,06:49:48,,,1/29/2022,00:00:00,06:30:00,06:30:00,,PP-PC1,,000000,1000,,,,,,,,"0,000",,,1/29/2022,OR001600129372,907 251,100,1,ЕО,2169,,,,,,,,,,,,,,,1202,"0,00",ЗАПЛ УТВН,,,,,,,RUB,23353,300000001795,1200,,,,,,0,E01_01,"0,00","0,00","0,00","0,00","0,00","0,00","44 082 874,46","0,00","0,00","0,33",X,,12000831,Самосвалы карьерные,,,0. Разрешений нет,СОРА ЗКПР,,"0,00","0,00","0,00",,0,0,ОТКР ПКАЛ ДМНП KKMP,"0,33","0,33","0,00","0,00",Самосвал карьерный HD1500-8 №1621,ЕТО 1 смена Самосвал HD1500-8 №1621,ОТКР KKMP ДМНП ПКАЛ,Дженджера Валерий Станиславович,УТВН ЗАПЛ,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",100000006408,03-CTT-KM01,Самосвал №1621,LT-1200-2022-2-014-02,C-VEROGM,1213011320,"0,00","0,00","0,00","0,00"
1200,100,7940393716,AETG,ЕТО,"0,33",1/30/2022,1/30/2022,1600129420,1/30/2022,18:30:00,1/22/2022,11411621,2,30,,1200,1/22/2022,,,,00:00:00,"0,00","0,00","0,00",1/30/2022,18:49:48,18:49:48,,,1/30/2022,00:00:00,18:30:00,18:30:00,,PP-PC1,,000000,1000,,,,,,,,"0,000",,,1/30/2022,OR001600129420,907 259,100,1,ЕО,2169,,,,,,,,,,,,,,,1202,"0,00",ЗАПЛ УТВН,,,,,,,RUB,23354,300000001795,1200,,,,,,0,E01_01,"0,00","0,00","0,00","0,00","0,00","0,00","44 082 874,46","0,00","0,00","0,33",X,,12000489,Самосвалы карьерные,,,0. Разрешений нет,СОРА ЗКПР,,"0,00","0,00","0,00",,0,0,ОТКР ПКАЛ ДМНП KKMP,"0,33","0,33","0,00","0,00",Самосвал карьерный HD1500-8 №1621,ЕТО 2 смена Самосвал HD1500-8 №1621,ОТКР KKMP ДМНП ПКАЛ,Паршуков Владимир Викторович,УТВН ЗАПЛ,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",100000006408,03-CTT-KM01,Самосвал №1621,LT-1200-2022-2-014-02,C-VEROGM,1213011320,"0,00","0,00","0,00","0,00"
1200,100,7940393689,AETG,ЕТО,"0,33",1/30/2022,1/30/2022,1600129373,1/30/2022,06:30:00,1/22/2022,11411621,2,30,,1200,1/22/2022,,,,00:00:00,"0,00","0,00","0,00",1/30/2022,06:49:48,06:49:48,,,1/30/2022,00:00:00,06:30:00,06:30:00,,PP-PC1,,000000,1000,,,,,,,,"0,000",,,1/30/2022,OR001600129373,907 252,100,1,ЕО,2169,,,,,,,,,,,,,,,1202,"0,00",ЗАПЛ УТВН,,,,,,,RUB,23353,300000001795,1200,,,,,,0,E01_01,"0,00","0,00","0,00","0,00","0,00","0,00","44 082 874,46","0,00","0,00","0,33",X,,12000831,Самосвалы карьерные,,,0. Разрешений нет,СОРА ЗКПР,,"0,00","0,00","0,00",,0,0,ОТКР ПКАЛ ДМНП KKMP,"0,33","0,33","0,00","0,00",Самосвал карьерный HD1500-8 №1621,ЕТО 1 смена Самосвал HD1500-8 №1621,ОТКР KKMP ДМНП ПКАЛ,Дженджера Валерий Станиславович,УТВН ЗАПЛ,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",100000006408,03-CTT-KM01,Самосвал №1621,LT-1200-2022-2-014-02,C-VEROGM,1213011320,"0,00","0,00","0,00","0,00"
1200,100,7100381367,APP1,ТР,"20,00",2/11/2022,2/12/2022,1100380359,2/11/2022,15:00:00,1/23/2022,11411621,2,30,,1200,3/31/2021,,,,00:00:00,"0,00","0,00","0,00",2/12/2022,11:00:00,11:00:00,1200,,2/11/2022,00:00:00,15:00:00,15:00:00,,PP-PC1,,000000,1000,,,,,,,,"0,000",,,3/1/2022,OR001100380359,498 798,100,1,ТР,O0000143,,,3,,,,,,,,,,,,1202,"0,00",СГГС ГИП  ГОД  МЕС  ПЗТГ ПТОМ УТВГ УТВМ,,,,,,,RUB,163663,100000061152,1200,,,,,,0,E01_01,"0,00","0,00","0,00","0,00","0,00","0,00","44 082 874,46","0,00","0,00","20,00",X,,,Самосвалы карьерные,,,0. Разрешений нет,СОРА ЗКПР,,"0,00","0,00","0,00",,0,0,ОТКР ПКАЛ ДМНП KKMP,"24,00","24,00","0,00","0,00",Самосвал карьерный HD1500-8 №1621,ТР Самосвал HD1500-8 №1621,ОТКР KKMP ДМНП ПКАЛ,,СГГС ГОД УТВГ МЕС УТВМ ГИП ПТОМ ПЗТГ,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",100000006408,03-CTT-KM01,Самосвал №1621,LT-1200-2022-2-014-02,C-VEROGM,1213011320,"0,00","0,00","0,00","0,00"
1200,100,7100362451,APP1,ТО1,"6,00",2/11/2022,2/11/2022,1100360305,2/11/2022,09:00:00,1/23/2022,11411621,2,30,,1200,1/31/2021,,,,00:00:00,"0,00","0,00","202 029,19",2/11/2022,15:00:00,15:00:00,,,2/11/2022,00:00:00,09:00:00,09:00:00,,PP-PC1,,000000,1000,,,,,,,,"0,000",,,1/8/2022,OR001100360305,457 914,100,1,О1,O0000002,,,3,,,,,,,,,,,,1202,"0,00",СГГС ГИП  ГОД  МЕС  МТРЦ ПЗТГ ПТОМ СРОЧ*,,,,,,,RUB,34975,100000019735,1200,,,,,,0,E01_01,"0,00","0,00","0,00","165 205,31","0,00","165 205,31","44 082 874,46","0,00","0,00","6,00",X,,,Самосвалы карьерные,,,0. Разрешений нет,СОРА ЗКПР,,"0,00","0,00","0,00",,0,0,ОТКР ПКАЛ ДМНП,"6,00","6,00","0,00","0,00",Самосвал карьерный HD1500-8 №1621,Техническое обслуживание 1,ОТКР ДМНП ПКАЛ,,СГГС ГОД УТВГ УТВП МЕС УТВМ ГИП ПТОМ СРОЧ МТРЦ ТКБЕ ПЗТГ,"202 029,19","0,00","36 823,88","0,00","78 108,78","0,00","87 096,53","0,00","0,00","0,00",100000006408,03-CTT-KM01,Самосвал №1621,LT-1200-2022-2-014-02,C-VEROGM,1213011320,"0,00","0,00","0,00","0,00"
