,id,subject_class,subject_id,object_class,object_id,context_class,context_id,created_at,description,action_template_id,value,is_hidden,ext_data,action
10,668001,Deal,5906,User,1.0,Deal,5906.0,1632217708,"A. Admin создал новую сделку №5906 - <rb-link object=""Deal"" text=""5906.Сделка с клиентом Шилово: ООО Константиново"" params=""{&quot;id&quot;:5906,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>. Клиент: <rb-link object=""Company"" text=""Шилово: ООО Константиново"" params=""{&quot;id&quot;:3762}""></rb-link>.",9,,False,,создал новую сделку
11,668000,Deal,5906,User,1.0,Company,3762.0,1632217708,"A. Admin создал новую сделку №5906 - <rb-link object=""Deal"" text=""5906.Сделка с клиентом Шилово: ООО Константиново"" params=""{&quot;id&quot;:5906,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>. Клиент: <rb-link object=""Company"" text=""Шилово: ООО Константиново"" params=""{&quot;id&quot;:3762}""></rb-link>.",8,,False,,создал новую сделку
12,667999,Deal,5905,User,1.0,Deal,5905.0,1632217201,"A. Admin создал новую сделку №5905 - <rb-link object=""Deal"" text=""5905.Сделка с клиентом Шилово: ООО Константиново"" params=""{&quot;id&quot;:5905,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>. Клиент: <rb-link object=""Company"" text=""Шилово: ООО Константиново"" params=""{&quot;id&quot;:3762}""></rb-link>.",9,,False,,создал новую сделку
13,667998,Deal,5905,User,1.0,Company,3762.0,1632217201,"A. Admin создал новую сделку №5905 - <rb-link object=""Deal"" text=""5905.Сделка с клиентом Шилово: ООО Константиново"" params=""{&quot;id&quot;:5905,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>. Клиент: <rb-link object=""Company"" text=""Шилово: ООО Константиново"" params=""{&quot;id&quot;:3762}""></rb-link>.",8,,False,,создал новую сделку
14,667997,Deal,5904,User,1.0,Deal,5904.0,1632217096,"A. Admin создал новую сделку №5904 - <rb-link object=""Deal"" text=""5904.Сделка с клиентом Шилово: ООО Константиново"" params=""{&quot;id&quot;:5904,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>. Клиент: <rb-link object=""Company"" text=""Шилово: ООО Константиново"" params=""{&quot;id&quot;:3762}""></rb-link>.",9,,False,,создал новую сделку
15,667996,Deal,5904,User,1.0,Company,3762.0,1632217096,"A. Admin создал новую сделку №5904 - <rb-link object=""Deal"" text=""5904.Сделка с клиентом Шилово: ООО Константиново"" params=""{&quot;id&quot;:5904,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>. Клиент: <rb-link object=""Company"" text=""Шилово: ООО Константиново"" params=""{&quot;id&quot;:3762}""></rb-link>.",8,,False,,создал новую сделку
17,667994,Company,4107,User,170.0,Event,48475.0,1632202040,"Khabatilin, Denis установил компанию <rb-link object=""Company"" text=""КФХ Калинин А.В. (Петропавловский район)"" params=""{&quot;id&quot;:4107}""></rb-link> на задачу - Встреча КФХ Калинин А.В. (Петропавловский район).",54,,False,,установил компанию
18,667993,Event,48475,User,170.0,Company,4107.0,1632202040,"Khabatilin, Denis создал событие календаря задача: Встреча КФХ Калинин А.В. (Петропавловский район).",26,,False,,создал событие календаря
19,667992,Event,48475,User,170.0,Event,48475.0,1632202040,"Создана новая задача - Встреча КФХ Калинин А.В. (Петропавловский район). Ответственный: Khabatilin, Denis. Автор: Khabatilin, Denis. Клиент: <rb-link object=""Company"" text=""КФХ Калинин А.В. (Петропавловский район)"" params=""{&quot;id&quot;:4107}""></rb-link>. Завершить не позднее: 21.09.2021.",24,,False,,Создана новая задача
20,667991,Company,4538,User,170.0,Event,48474.0,1632201958,"Khabatilin, Denis установил компанию <rb-link object=""Company"" text=""КФХ Криулина С.А. (Петропавловский район)"" params=""{&quot;id&quot;:4538}""></rb-link> на задачу - Встреча КФХ Криулина С.А. (Петропавловский район) переговоры по сделке.",54,,False,,установил компанию
21,667990,Event,48474,User,170.0,Company,4538.0,1632201958,"Khabatilin, Denis создал событие календаря задача: Встреча КФХ Криулина С.А. (Петропавловский район) переговоры по сделке.",26,,False,,создал событие календаря
22,667989,Event,48474,User,170.0,Event,48474.0,1632201958,"Создана новая задача - Встреча КФХ Криулина С.А. (Петропавловский район) переговоры по сделке. Ответственный: Khabatilin, Denis. Автор: Khabatilin, Denis. Клиент: <rb-link object=""Company"" text=""КФХ Криулина С.А. (Петропавловский район)"" params=""{&quot;id&quot;:4538}""></rb-link>. Завершить не позднее: 21.09.2021.",24,,False,,Создана новая задача
24,667987,Company,3755,User,157.0,Event,48473.0,1632201378,"Kolgan, Mikhail установил компанию <rb-link object=""Company"" text=""КФХ Пивоваров В.Г. (Петропавловский район)"" params=""{&quot;id&quot;:3755}""></rb-link> на задачу - Встреча КФХ Пивоваров В.Г. (Петропавловский район) презентация самоходной техники.",54,,False,,установил компанию
25,667986,Event,48473,User,157.0,Company,3755.0,1632201378,"Kolgan, Mikhail создал событие календаря задача: Встреча КФХ Пивоваров В.Г. (Петропавловский район) презентация самоходной техники.",26,,False,,создал событие календаря
