,Название ЕО,ЕО,Название ВРТ,ВидЗаказа,Заказ,КраткийТекст заказа,СистСтатус,ПользСтатус,ПланДатаНачала,НовДатаНачала,eo_main_class_description,level_1_description,Вышестоящее техместо,Комментарий,comment_category,calc
1,Самосвал карьерный 785C №1620,100000008674,Техническое обслуживание 5,APP1,1100358748,Техническое обслуживание 5,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-01-01,2022-07-06,Самосвалы карьерные,Полюс Вернинское,Самосвалы CAT 785C,нет комментария,нет комментария,1
3,Самосвал карьерный HD1500-8 №1630,100000071921,Техническое обслуживание 1,APP1,1100364220,Техническое обслуживание 1,НЕВЫ ПКАЛ ЗАКР МТКУ ДМНП,ГОД  УТВГ УТВП МЕС  ГИП  СРОЧ МТРЦ ТКБЕ ССПЛ,2022-01-01,2022-02-01,Самосвалы карьерные,Полюс Вернинское,Самосвалы Komatsu HD1500-8,Корректировка ремонтной программы,Корректировка ремонтной программы,1
4,Самосвал карьерный HD1500-8 №1624,100000021344,Техническое обслуживание 2,APP1,1100360738,Техническое обслуживание 2,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  ПТОМ СРОЧ МТРЦ ТКБЕ ПЗТГ СГГС,2022-01-01,2022-02-12,Самосвалы карьерные,Полюс Вернинское,Самосвалы Komatsu HD1500-8,Корректировка ремонтной программы,Корректировка ремонтной программы,1
7,Экскаватор гидравл. PC400LC-7 №1209,100000022894,Техническое обслуживание 1,APP1,1100360982,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-01-02,2022-10-16,Экскаваторы гидравли,Полюс Вернинское,Экскаваторы,нет комментария,нет комментария,1
8,Экскаватор гидравл. PC400-7 №1202,100000008676,Текущий ремонт 1,APP1,1100361247,ТР1 рабочего оборудования,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  ПТОМ СРОЧ МТРЦ ТКБЕ ПЗТГ СГГС,2022-01-02,2022-02-13,Экскаваторы гидравли,Полюс Вернинское,Экскаваторы,"Перенос на более поздний срок, ввиду полученой информации от МТО по срокам поставки",сроки поставки запчастей (компонентов),1
12,Самосвал карьерный HD1500-8 №1629,100000022783,Текущий ремонт,APP1,1100381289,ТР Самосвал HD1500-8 №1629,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ СГГС,2022-01-04,2022-02-05,Самосвалы карьерные,Полюс Вернинское,Самосвалы Komatsu HD1500-8,нет комментария,нет комментария,1
14,Самосвал карьерный HD1500-8 №1629,100000022783,Техническое обслуживание 1,APP1,1100363036,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-01-04,2022-10-18,Самосвалы карьерные,Полюс Вернинское,Самосвалы Komatsu HD1500-8,нет комментария,нет комментария,1
15,Самосвал карьерный HD1500-8 №1621,100000006408,Техническое обслуживание 1,APP1,1100360305,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  ПТОМ СРОЧ МТРЦ ТКБЕ ПЗТГ СГГС,2022-01-04,2022-02-11,Самосвалы карьерные,Полюс Вернинское,Самосвалы Komatsu HD1500-8,Корректировка ремонтной программы,Корректировка ремонтной программы,1
19,Ковш,100000009853,Капитальный ремонт,APP1,1100354625,КР ковша,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ КРМТ СГГС,2022-01-05,2022-06-30,Экскаваторы электрич,Полюс Вернинское,Экскаваторы,нет комментария,нет комментария,1
22,Самосвал карьерный HD1500-8 №1626,100000021466,Техническое обслуживание 2,APP1,1100361446,Техническое обслуживание 2,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ СРОЧ МТРЦ ТКБЕ ПЗТГ СГГС,2022-01-06,2022-02-06,Самосвалы карьерные,Полюс Вернинское,Самосвалы Komatsu HD1500-8,Корректировка ремонтной программы,Корректировка ремонтной программы,1
