eo_code,eo_model_id,eo_model_name,eo_description,БЕ,teh_mesto,Название технического места,mvz,constr_type,constr_type_descr,level_1
100000098120,no_data,no_data,6СТ-,1500,71-TRA-AVTR-AVTP-KP09-AKB,Группирующее ТМ АКБ,1511102020,960011392.0,"Батарея аккумуляторная 6CT-66, 66 А/ч, п",first71
100000097549,no_data,no_data,6СТ-190,1500,71-TRA-AVTR-AVTP-TRP7-AKB,Группирующее ТМ АКБ,1511102320,960011457.0,"Батарея аккумуляторная 6СТ-190, 190 А/ч,",first71
100000097550,no_data,no_data,6СТ-190,1500,71-TRA-AVTR-AVTP-TRP7-AKB,Группирующее ТМ АКБ,1511102320,960011457.0,"Батарея аккумуляторная 6СТ-190, 190 А/ч,",first71
100000097729,no_data,no_data,6СТ-190,1500,71-TRA-AVTR-AVTP-TRP8-AKB,Группирующее ТМ АКБ,1511102320,960011457.0,"Батарея аккумуляторная 6СТ-190, 190 А/ч,",first71
100000097730,no_data,no_data,6СТ-190,1500,71-TRA-AVTR-AVTP-TRP8-AKB,Группирующее ТМ АКБ,1511102320,960011457.0,"Батарея аккумуляторная 6СТ-190, 190 А/ч,",first71
100000097866,no_data,no_data,6СТ-190,1500,71-TRA-AVTR-AVTP-TRP9-AKB,Группирующее ТМ АКБ,1511102320,960011457.0,"Батарея аккумуляторная 6СТ-190, 190 А/ч,",first71
100000097867,no_data,no_data,6СТ-190,1500,71-TRA-AVTR-AVTP-TRP9-AKB,Группирующее ТМ АКБ,1511102320,960011457.0,"Батарея аккумуляторная 6СТ-190, 190 А/ч,",first71
100000097951,no_data,no_data,6СТ-190,1500,71-TRA-AVTR-AVTP-TRR0-AKB,Группирующее ТМ АКБ,1511102320,960011457.0,"Батарея аккумуляторная 6СТ-190, 190 А/ч,",first71
100000097952,no_data,no_data,6СТ-190,1500,71-TRA-AVTR-AVTP-TRR0-AKB,Группирующее ТМ АКБ,1511102320,960011457.0,"Батарея аккумуляторная 6СТ-190, 190 А/ч,",first71
100000097705,no_data,no_data,Авто легк УАЗ-3163 Patriot № Н938СО124,1500,74-TRA-TR87,Автомобиль легковой №Н938СО124,1541102720,960000088.0,УАЗ-3163 Patriot_E04_01,first71
100000097571,no_data,no_data,Автобус специальный УЗСТ 5861-28 №Р101РО,1500,71-TRA-AVTR-AVTP-TRR0,Автобус специальный №P101PO124,1511102320,960011408.0,УЗСТ 5861-28_E04_01,first71
100000097470,no_data,no_data,Автобус специальный УЗСТ 5861-28 №Р156РО,1500,71-TRA-AVTR-AVTP-TRP7,Автобус специальный №P156PO124,1511102320,960011408.0,УЗСТ 5861-28_E04_01,first71
100000097564,no_data,no_data,Автобус специальный УЗСТ 5861-28 №Р162РО,1500,71-TRA-AVTR-AVTP-TRP8,Автобус специальный №P162PO124,1511102320,960011408.0,УЗСТ 5861-28_E04_01,first71
100000097567,no_data,no_data,Автобус специальный УЗСТ 5861-28 №Р170РО,1500,71-TRA-AVTR-AVTP-TRP9,Автобус специальный №P170PO124,1511102320,960011408.0,УЗСТ 5861-28_E04_01,first71
100000097569,no_data,no_data,Автобус специальный УЗСТ 5861-28 №Р172РО,1500,71-TRA-AVTR-AVTP-TRP0,Автобус специальный №P172PO124,1511102320,960011408.0,УЗСТ 5861-28_E04_01,first71
100000099119,no_data,no_data,Автобус ZK6122H9 Yutong №М267СО 124,1500,74-TRA-TR92,Автобус,1541103120,960011500.0,YUTONG_E04_01,first71
100000099120,no_data,no_data,Автобус ZK6122H9 Yutong №М270CO 124,1500,74-TRA-TR93,Автобус,1541103120,960011500.0,YUTONG_E04_01,first71
100000099013,67,Самосвалы CAT 793D,Автосамосвал карьер.Caterpillar 793D,1100,,,1113011920,,,first11
100000099014,67,Самосвалы CAT 793D,Автосамосвал карьер.Caterpillar 793D,1100,,,1113011920,,,first11
100000099015,67,Самосвалы CAT 793D,Автосамосвал карьер.Caterpillar 793D,1100,,,1113011920,,,first11
100000099016,67,Самосвалы CAT 793D,Автосамосвал карьер.Caterpillar 793D,1100,,,1113011920,,,first11
100000099017,67,Самосвалы CAT 793D,Автосамосвал карьер.Caterpillar 793D,1100,,,1113011920,,,first11
100000099018,67,Самосвалы CAT 793D,Автосамосвал карьер.Caterpillar 793D,1100,,,1113011920,,,first11
100000099019,67,Самосвалы CAT 793D,Автосамосвал карьер.Caterpillar 793D,1100,,,1113011920,,,first11
100000099020,67,Самосвалы CAT 793D,Автосамосвал карьер.Caterpillar 793D,1100,,,1113011920,,,first11
100000099021,67,Самосвалы CAT 793D,Автосамосвал карьер.Caterpillar 793D,1100,,,1113011920,,,first11
100000099022,67,Самосвалы CAT 793D,Автосамосвал карьер.Caterpillar 793D,1100,,,1113011920,,,first11
100000099023,67,Самосвалы CAT 793D,Автосамосвал карьер.Caterpillar 793D,1100,,,1113011920,,,first11
100000099024,67,Самосвалы CAT 793D,Автосамосвал карьер.Caterpillar 793D,1100,,,1113011920,,,first11
100000099025,67,Самосвалы CAT 793D,Автосамосвал карьер.Caterpillar 793D,1100,,,1113011920,,,first11
100000099026,67,Самосвалы CAT 793D,Автосамосвал карьер.Caterpillar 793D,1100,,,1113011920,,,first11
100000099027,67,Самосвалы CAT 793D,Автосамосвал карьер.Caterpillar 793D,1100,,,1113011920,,,first11
100000099028,67,Самосвалы CAT 793D,Автосамосвал карьер.Caterpillar 793D,1100,,,1113011920,,,first11
100000099029,67,Самосвалы CAT 793D,Автосамосвал карьер.Caterpillar 793D,1100,,,1113011920,,,first11
100000099030,67,Самосвалы CAT 793D,Автосамосвал карьер.Caterpillar 793D,1100,,,1113011920,,,first11
100000099031,67,Самосвалы CAT 793D,Автосамосвал карьер.Caterpillar 793D,1100,,,1113011920,,,first11
100000099032,67,Самосвалы CAT 793D,Автосамосвал карьер.Caterpillar 793D,1100,,,1113011920,,,first11
100000099033,67,Самосвалы CAT 793D,Автосамосвал карьер.Caterpillar 793D,1100,,,1113011920,,,first11
100000099034,67,Самосвалы CAT 793D,Автосамосвал карьер.Caterpillar 793D,1100,,,1113011920,,,first11
100000099035,67,Самосвалы CAT 793D,Автосамосвал карьер.Caterpillar 793D,1100,,,1113011920,,,first11
100000099036,67,Самосвалы CAT 793D,Автосамосвал карьер.Caterpillar 793D,1100,,,1113011920,,,first11
100000099037,67,Самосвалы CAT 793D,Автосамосвал карьер.Caterpillar 793D,1100,,,1113011920,,,first11
100000099038,67,Самосвалы CAT 793D,Автосамосвал карьер.Caterpillar 793D,1100,,,1113011920,,,first11
100000099039,67,Самосвалы CAT 793D,Автосамосвал карьер.Caterpillar 793D,1100,,,1113011920,,,first11
100000099040,67,Самосвалы CAT 793D,Автосамосвал карьер.Caterpillar 793D,1100,,,1113011920,,,first11
100000099041,67,Самосвалы CAT 793D,Автосамосвал карьер.Caterpillar 793D,1100,,,1113011920,,,first11
100000099042,67,Самосвалы CAT 793D,Автосамосвал карьер.Caterpillar 793D,1100,,,1113011920,,,first11
100000099043,67,Самосвалы CAT 793D,Автосамосвал карьер.Caterpillar 793D,1100,,,1113011920,,,first11
100000099044,67,Самосвалы CAT 793D,Автосамосвал карьер.Caterpillar 793D,1100,,,1113011920,,,first11
100000099045,67,Самосвалы CAT 793D,Автосамосвал карьер.Caterpillar 793D,1100,,,1113011920,,,first11
100000099046,67,Самосвалы CAT 793D,Автосамосвал карьер.Caterpillar 793D,1100,,,1113011920,,,first11
100000099047,67,Самосвалы CAT 793D,Автосамосвал карьер.Caterpillar 793D,1100,,,1113011920,,,first11
