ЕО,eo_model_id,Дата начала эксплуатации,Дата завершения эксплуатации,БЕ,Класс ЕО,Модель ЕО,Наименование ЕО,count
100000084488,3,2022-07-01,2028-07-01,Полюс Магадан,Автогрейдеры,Автогрейдер 16M,Автогрейдер 16M №3,1
100000084823,3,2022-07-01,2028-07-01,Полюс Магадан,Автогрейдеры,Автогрейдер 16M,Автогрейдер 16M №4,1
100000068268,8,2021-01-01,2030-01-01,Полюс Вернинское,Автогрейдеры,Автогрейдер САТ 140М,Автогрейдер САТ 140М №1503,1
100000065944,консервация,2010-12-08,2030-01-01,Олимпиадинский ГОК,Автогрейдеры,Автогрейдер ГС-25,Автогрейдер ГС-25.09 №19,1
100000065907,6,2011-10-19,2030-01-01,Олимпиадинский ГОК,Автогрейдеры,Автогрейдер ГС-25,Автогрейдер ГС-25.11 №21,1
100000065946,5,2015-03-31,2030-01-01,Олимпиадинский ГОК,Автогрейдеры,Автогрейдер 24M,Автогрейдер 24M №24,1
100000067265,7,2015-10-31,2030-01-01,Олимпиадинский ГОК,Автогрейдеры,Автогрейдер ДЗ-98,Автогрейдер ДЗ-98В.00110 №3714,1
100000065947,9,2014-10-31,2030-01-01,Олимпиадинский ГОК,Автогрейдеры,Автогрейдер GD825A-2,Автогрейдер GD825A-2 №26,1
100000065948,9,2014-10-31,2030-01-01,Олимпиадинский ГОК,Автогрейдеры,Автогрейдер GD825A-2,Автогрейдер GD825A-2 №25,1
100000065950,2,2017-12-05,2030-01-01,Олимпиадинский ГОК,Автогрейдеры,Автогрейдер 160M,Автогрейдер 160M №702,1
100000065951,2,2017-12-13,2030-01-01,Олимпиадинский ГОК,Автогрейдеры,Автогрейдер 160M,Автогрейдер 160M №703,1
100000065952,5,2017-12-30,2030-01-01,Олимпиадинский ГОК,Автогрейдеры,Автогрейдер 24M,Автогрейдер 24M №704,1
100000026790,7,2019-07-31,2030-01-01,Олимпиадинский ГОК,Автогрейдеры,Автогрейдер ДЗ-98,Автогрейдер ДЗ-98В.61100-010 №3705,1
100000026798,7,2019-07-31,2030-01-01,Олимпиадинский ГОК,Автогрейдеры,Автогрейдер ДЗ-98,Автогрейдер ДЗ-98В.61100-010 №3707,1
100000055028,1,2021-02-10,2030-01-01,Олимпиадинский ГОК,Автогрейдеры,Автогрейдер 160AWD,Автогрейдер 160AWD №3706,1
100000055029,1,2021-02-17,2030-01-01,Олимпиадинский ГОК,Автогрейдеры,Автогрейдер 160AWD,Автогрейдер 160AWD №3708,1
100000055030,1,2021-02-13,2030-01-01,Олимпиадинский ГОК,Автогрейдеры,Автогрейдер 160AWD,Автогрейдер 160AWD №3709,1
100000055031,5,2020-12-25,2030-01-01,Олимпиадинский ГОК,Автогрейдеры,Автогрейдер 24M,Автогрейдер 24M №3710,1
100000009181,7,2013-12-31,2030-01-01,Полюс Вернинское,Автогрейдеры,Автогрейдер ДЗ-98,Автогрейдер ДЗ-98В.00100-110 №1504,1
100000009182,7,2013-12-31,2030-01-01,Полюс Вернинское,Автогрейдеры,Автогрейдер ДЗ-98,Автогрейдер ДЗ-98В.00100-110 №1505,1
100000009180,10,2014-09-20,2030-01-01,Полюс Вернинское,Автогрейдеры,Автогрейдер TG230A,Автогрейдер TG230A №1507,1
100000009179,10,2014-09-20,2030-01-01,Полюс Вернинское,Автогрейдеры,Автогрейдер TG230A,Автогрейдер TG230A №1506,1
100000007090,4,2019-09-01,2030-01-01,Полюс Вернинское,Автогрейдеры,Автогрейдер 18M3,Автогрейдер 18M3 1501,1
100000084430,5,2018-06-30,2024-06-30,Полюс Магадан,Автогрейдеры,Автогрейдер 24M,Автогрейдер 24M №1,1
100000084431,5,2018-10-31,2024-10-31,Полюс Магадан,Автогрейдеры,Автогрейдер 24M,Автогрейдер 24M №2,1
100000084432,9,2020-12-28,2026-12-28,Полюс Магадан,Автогрейдеры,Автогрейдер GD825A-2,Автогрейдер GD825A-2 №1,1
100000073790,31,2022-01-01,2030-01-01,Полюс Вернинское,Бульдозеры гусеничные,Бульдозер D9R,Бульдозер D9R №1408,1
100000081625,31,2022-01-01,2030-01-01,Полюс Вернинское,Бульдозеры гусеничные,Бульдозер D9R,Бульдозер D9R №1409,1
