ЕО,Дата начала эксплуатации,first_day_of_month_datetime,Год,Месяц,day,age_in_sec,Дата завершения эксплуатации,БЕ,Класс ЕО,Модель ЕО,Наименование ЕО,prev_year,count
100000062379,2009-10-02,2010-01-01,2010,1,1,7862400.0,2023-02-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №411,2009,1
100000062379,2009-10-02,2011-01-01,2011,1,1,39398400.0,2023-02-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №411,2010,1
100000062379,2009-10-02,2012-01-01,2012,1,1,70934400.0,2023-02-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №411,2011,1
100000062379,2009-10-02,2013-01-01,2013,1,1,102556800.0,2023-02-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №411,2012,1
100000062379,2009-10-02,2014-01-01,2014,1,1,134092800.0,2023-02-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №411,2013,1
100000062379,2009-10-02,2015-01-01,2015,1,1,165628800.0,2023-02-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №411,2014,1
100000062379,2009-10-02,2016-01-01,2016,1,1,197164800.0,2023-02-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №411,2015,1
100000062379,2009-10-02,2017-01-01,2017,1,1,228787200.0,2023-02-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №411,2016,1
100000062379,2009-10-02,2018-01-01,2018,1,1,260323200.0,2023-02-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №411,2017,1
100000062379,2009-10-02,2019-01-01,2019,1,1,291859200.0,2023-02-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №411,2018,1
100000062379,2009-10-02,2020-01-01,2020,1,1,323395200.0,2023-02-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №411,2019,1
100000062379,2009-10-02,2021-01-01,2021,1,1,355017600.0,2023-02-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №411,2020,1
100000062379,2009-10-02,2022-01-01,2022,1,1,386553600.0,2023-02-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №411,2021,1
100000062379,2009-10-02,2023-01-01,2023,1,1,418089600.0,2023-02-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №411,2022,1
100000062380,2011-05-20,2012-01-01,2012,1,1,19526400.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №424,2011,1
100000062380,2011-05-20,2013-01-01,2013,1,1,51148800.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №424,2012,1
100000062380,2011-05-20,2014-01-01,2014,1,1,82684800.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №424,2013,1
100000062380,2011-05-20,2015-01-01,2015,1,1,114220800.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №424,2014,1
100000062380,2011-05-20,2016-01-01,2016,1,1,145756800.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №424,2015,1
100000062380,2011-05-20,2017-01-01,2017,1,1,177379200.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №424,2016,1
100000062380,2011-05-20,2018-01-01,2018,1,1,208915200.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №424,2017,1
100000062380,2011-05-20,2019-01-01,2019,1,1,240451200.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №424,2018,1
