ЕО,Дата начала эксплуатации,Дата завершения эксплуатации,БЕ,Класс ЕО,Модель ЕО,Наименование ЕО,count
100000062379,2009-10-02,2023-02-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №411,1
100000062380,2011-05-20,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №424,1
100000065606,2010-12-16,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №501,1
100000065607,2010-12-16,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №502,1
100000065608,2010-12-16,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №503,1
100000065609,2010-12-31,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №504,1
100000065611,2010-12-31,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №505,1
100000065967,2011-05-20,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №423,1
100000065612,2011-01-31,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №506,1
100000065613,2011-01-31,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №507,1
100000065614,2011-02-28,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №508,1
100000065615,2011-02-18,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №509,1
