year,month,level_1_description,eo_class_description,eo_model_name,count
2024,9,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,14
2024,10,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,14
2024,11,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,14
2024,12,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,14
2025,1,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,29
2025,2,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,29
2025,3,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,29
2025,4,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,29
2025,5,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,29
2025,6,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,29
2025,7,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,44
2025,8,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,44
2025,9,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,44
2025,10,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,44
2025,11,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,44
2025,12,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,44
2026,1,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,53
2026,2,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,53
2026,3,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,53
2026,4,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,53
2026,5,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,53
2026,6,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,53
2026,7,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,53
2026,8,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,53
2026,9,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,53
2026,10,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,53
