Год,БЕ,Класс ЕО,Модель ЕО,count
2009,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,1
2010,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,1
2011,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,1
2012,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,1
2013,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,1
2014,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,1
2015,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,1
2016,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,1
2017,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,1
2017,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,1
2017,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,1
2018,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,1
2018,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,1
2018,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,1
2018,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,1
2019,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,1
2019,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,1
2019,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,1
2019,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,1
2020,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,1
2020,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,1
2020,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,1
2020,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,1
2021,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,1
2021,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,1
2021,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,1
2021,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,1
2022,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,1
2022,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,1
2022,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,1
2022,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,1
2023,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,1
2023,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,1
2023,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,1
2024,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,1
2024,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,1
2024,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,1
2024,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,1
2025,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,1
2025,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,1
2025,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,1
2025,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,1
2026,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,1
2026,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,1
2026,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,1
2026,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,1
2027,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,1
2027,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,1
2027,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,1
2027,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,1
2028,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,1
2028,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,1
2028,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,1
2028,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,1
2029,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,1
2029,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,1
2029,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,1
2029,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,1
2030,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,1
2031,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,1
2032,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,1
2033,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,1
