код стратегии,Название стратерии,Текст цикла ПредупрТОРО,КраткНазвЦикла,Сцепка,Цикл,Единица,код стратегии_счетчик
1-0000,Периодические ТО,Ежедневное ТО,ЕТ,1-0000ЕТ,"24,00",ЧАС,1-0000ЕТ
1-0000,Периодические ТО,Квартальное ТО,КТ,1-0000КТ,"2160,00",ЧАС,1-0000КТ
1-0000,Периодические ТО,Сезонное ТО,СО,1-0000СО,"4320,00",ЧАС,1-0000СО
1-0000,Периодические ТО,Годовое ТО,ГТ,1-0000ГТ,"8640,00",ЧАС,1-0000ГТ
1-0000,Периодические ТО,ТО раз в два года,Г2,1-0000Г2,"17280,00",ЧАС,1-0000Г2
1-0001,АСПЗ ТО,Техническое обслуживание 1,О1,1-0001О1,"720,00",ЧАС,1-0001О1
1-0001,АСПЗ ТО,Техническое обслуживание 2,О2,1-0001О2,"8640,00",ЧАС,1-0001О2
1-0001,АСПЗ ТО,Техническое обслуживание 3,О3,1-0001О3,"43200,00",ЧАС,1-0001О3
1-0002,ЧАС О148-О2240-О31008-КР6000,Техническое обслуживание 1,О1,1-0002О1,"48,00",ЧАС,1-0002О1
1-0002,ЧАС О148-О2240-О31008-КР6000,Техническое обслуживание 2,О2,1-0002О2,"240,00",ЧАС,1-0002О2
1-0002,ЧАС О148-О2240-О31008-КР6000,Техническое обслуживание 3,О3,1-0002О3,"1008,00",ЧАС,1-0002О3
1-0002,ЧАС О148-О2240-О31008-КР6000,Капитальный ремонт,КР,1-0002КР,"6000,00",ЧАС,1-0002КР
1-0003,ЧАС ТР1008,Текущий ремонт,ТР,1-0003ТР,"1008,00",ЧАС,1-0003ТР
1-0004,ЧАС ТР8640-КР69120,Текущий ремонт,ТР,1-0004ТР,"8640,00",ЧАС,1-0004ТР
1-0004,ЧАС ТР8640-КР69120,Капитальный ремонт,КР,1-0004КР,"69120,00",ЧАС,1-0004КР
1-0005,ЧАС О1192-О2600-ТР1200-КР12000,Техническое обслуживание 1,О1,1-0005О1,"192,00",ЧАС,1-0005О1
1-0005,ЧАС О1192-О2600-ТР1200-КР12000,Техническое обслуживание 2,О2,1-0005О2,"600,00",ЧАС,1-0005О2
1-0005,ЧАС О1192-О2600-ТР1200-КР12000,Текущий ремонт,ТР,1-0005ТР,"1200,00",ЧАС,1-0005ТР
1-0005,ЧАС О1192-О2600-ТР1200-КР12000,Капитальный ремонт,КР,1-0005КР,"12000,00",ЧАС,1-0005КР
