class_eo_id,class_eo_name,subclass_eo_id,subclass_eo_name
E01,Оборудование горно-транспортное,E01,Оборудование горно-транспортное
E01,Оборудование горно-транспортное,E01_01,Самосвалы карьерные
E01,Оборудование горно-транспортное,E01_02,Самосвалы с шарнирно-сочленённой рамой
E01,Оборудование горно-транспортное,E01_03,Щебнеразбрасыватели
E01,Оборудование горно-транспортное,E01_04,Тягачи-буксировщики
E01,Оборудование горно-транспортное,E01_05,Машины поливооросительные
E02,Оборудование буровое,E02,Оборудование буровое
E02,Оборудование буровое,E02_01,Станки буровые вращ. бур. шарошками
E02,Оборудование буровое,E02_02,Станки буровые вращ. бур. коронками
E02,Оборудование буровое,E02_03,Станки буровые ударно-вращательного бур.
E02,Оборудование буровое,E02_04,Станки буровые комбинированного бурения
E02,Оборудование буровое,E02_05,Станки буровые ударно-канатного бурения
E03,Экскаваторы,E03,Экскаваторы
E03,Экскаваторы,E03_01,Экскаваторы гидравлические
E03,Экскаваторы,E03_02,Экскаваторы электрические
E05,Выемочно-транспортирующие машины,E05,Выемочно-транспортирующие машины
E05,Выемочно-транспортирующие машины,E05_01,Бульдозеры колесные
E05,Выемочно-транспортирующие машины,E05_02,Бульдозеры гусеничные
E06,Оборудование дорожно-строительное,E06,Оборудование дорожно-строительное
E06,Оборудование дорожно-строительное,E06_01,Автогрейдеры
E06,Оборудование дорожно-строительное,E06_02,Катки дорожные
E06,Оборудование дорожно-строительное,E06_03,Многофункциональные машины
E06,Оборудование дорожно-строительное,E06_04,Машины снегоуборочные
E06,Оборудование дорожно-строительное,E06_05,Тракторы колесные
E06,Оборудование дорожно-строительное,E06_06,Тракторы гусеничные
