eo_code,Заказ,Сообщение,Вид заказа,Вид работы ТОРО,Время ремонтного простоя (Зкз),Базисный срок начала,Базисный срок конца,БЕ,СчетГруппТехкарт,Группа,Системный статус сообщения ТОРО,СистСтатус,Время ремонтного простоя (ТК),Метка удаления,Фактический простой,Класс ЕО
100000006408,1100790446,7100779918,APP1,ТО2,"10,00",1/13/2023,1/13/2023,1200,О2,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"10,00",,"0,00",E01_01
100000006408,1100773308,7100762855,APP1,ЗМН,"10,00",1/13/2023,1/13/2023,1200,ЗС,N0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"10,00",,"0,00",E01_01
100000006408,1100790447,7100779919,APP1,ТО1,"6,00",1/24/2023,1/24/2023,1200,О1,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"6,00",,"0,00",E01_01
100000006408,1100773199,7100762823,APP1,ТР,"24,00",1/24/2023,1/25/2023,1200,ТР,O0000143,СОРА ЗКПР,ОТКР ПКАЛ ДМНП KKMP,"24,00",,"0,00",E01_01
100000006408,1100767416,7100756926,APP1,ТО1,"6,00",2/16/2023,2/16/2023,1200,О1,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"6,00",,"0,00",E01_01
100000006408,1100773389,7100762916,APP1,ТР,"12,00",2/16/2023,2/16/2023,1200,ТЭ,M0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"5,00",,"0,00",E01_01
100000006408,1100773360,7100762824,APP1,ТР,"24,00",2/27/2023,2/28/2023,1200,ТР,O0000143,СОРА ЗКПР,ОТКР ПКАЛ ДМНП KKMP,"24,00",,"0,00",E01_01
100000006408,1100767430,7100756940,APP1,ТО2,"10,00",2/28/2023,2/28/2023,1200,О2,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"10,00",,"0,00",E01_01
100000006408,1100767417,7100756927,APP1,ТО1,"6,00",3/11/2023,3/11/2023,1200,О1,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"6,00",,"0,00",E01_01
100000006408,1100767442,7100756952,APP1,ТО5,"36,00",3/23/2023,3/24/2023,1200,О5,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"36,00",,"0,00",E01_01
100000006408,1100773361,7100762825,APP1,ТР,"24,00",3/23/2023,3/24/2023,1200,ТР,O0000143,СОРА ЗКПР,ОТКР ПКАЛ ДМНП KKMP,"24,00",,"0,00",E01_01
100000006408,1100767418,7100756928,APP1,ТО1,"6,00",4/3/2023,4/3/2023,1200,О1,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"6,00",,"0,00",E01_01
100000006408,1100767431,7100756941,APP1,ТО2,"10,00",4/14/2023,4/14/2023,1200,О2,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"10,00",,"0,00",E01_01
100000006408,1100773362,7100762826,APP1,ТР,"24,00",4/14/2023,4/15/2023,1200,ТР,O0000143,СОРА ЗКПР,ОТКР ПКАЛ ДМНП KKMP,"24,00",,"0,00",E01_01
100000006408,1100767419,7100756929,APP1,ТО1,"6,00",4/26/2023,4/26/2023,1200,О1,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"6,00",,"0,00",E01_01
100000006408,1100767437,7100756947,APP1,ТО3,"14,00",5/7/2023,5/7/2023,1200,О3,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"14,00",,"0,00",E01_01
100000006408,1100773363,7100762827,APP1,ТР,"24,00",5/7/2023,5/8/2023,1200,ТР,O0000143,СОРА ЗКПР,ОТКР ПКАЛ ДМНП KKMP,"24,00",,"0,00",E01_01
100000006408,1100767420,7100756930,APP1,ТО1,"6,00",5/19/2023,5/19/2023,1200,О1,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"6,00",,"0,00",E01_01
100000006408,1100773388,7100762915,APP1,ТР,"55,00",5/19/2023,5/21/2023,1200,ТУ,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"55,00",,"0,00",E01_01
100000006408,1100767432,7100756942,APP1,ТО2,"10,00",5/30/2023,5/30/2023,1200,О2,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"10,00",,"0,00",E01_01
100000006408,1100767421,7100756931,APP1,ТО1,"6,00",6/11/2023,6/11/2023,1200,О1,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"6,00",,"0,00",E01_01
100000006408,1100773390,7100762917,APP1,ТР,"26,00",6/11/2023,6/12/2023,1200,69,N0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"26,00",,"0,00",E01_01
100000006408,1100767440,7100756950,APP1,ТО4,"24,00",6/22/2023,6/23/2023,1200,О4,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"24,00",,"0,00",E01_01
100000006408,1100773364,7100762828,APP1,ТР,"24,00",6/22/2023,6/23/2023,1200,ТР,O0000143,СОРА ЗКПР,ОТКР ПКАЛ ДМНП KKMP,"24,00",,"0,00",E01_01
100000006408,1100767422,7100756932,APP1,ТО1,"6,00",7/3/2023,7/3/2023,1200,О1,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"6,00",,"0,00",E01_01
100000006408,1100773386,7100762913,APP1,ТР,"26,00",7/3/2023,7/4/2023,1200,69,N0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"26,00",,"0,00",E01_01
100000006408,1100767433,7100756943,APP1,ТО2,"10,00",7/15/2023,7/15/2023,1200,О2,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"10,00",,"0,00",E01_01
100000006408,1100773365,7100762829,APP1,ТР,"24,00",7/15/2023,7/16/2023,1200,ТР,O0000143,СОРА ЗКПР,ОТКР ПКАЛ ДМНП KKMP,"24,00",,"0,00",E01_01
100000006408,1100767423,7100756933,APP1,ТО1,"6,00",7/26/2023,7/26/2023,1200,О1,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"6,00",,"0,00",E01_01
100000006408,1100767438,7100756948,APP1,ТО3,"14,00",8/7/2023,8/7/2023,1200,О3,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"14,00",,"0,00",E01_01
100000006408,1100767424,7100756934,APP1,ТО1,"6,00",8/18/2023,8/18/2023,1200,О1,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"6,00",,"0,00",E01_01
100000006408,1100773366,7100762880,APP1,ТР,"24,00",8/18/2023,8/19/2023,1200,ТР,O0000143,СОРА ЗКПР,ОТКР ПКАЛ ДМНП KKMP,"24,00",,"0,00",E01_01
100000006408,1100767434,7100756944,APP1,ТО2,"10,00",8/29/2023,8/29/2023,1200,О2,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"10,00",,"0,00",E01_01
100000006408,1100767425,7100756935,APP1,ТО1,"6,00",9/10/2023,9/10/2023,1200,О1,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"6,00",,"0,00",E01_01
100000006408,1100773385,7100762912,APP1,ЗМН,"10,00",9/10/2023,9/10/2023,1200,ЗС,N0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"10,00",,"0,00",E01_01
100000006408,1100767443,7100756953,APP1,ТО5,"36,00",9/21/2023,9/22/2023,1200,О5,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"36,00",,"0,00",E01_01
100000006408,1100773367,7100762881,APP1,ТР,"24,00",9/21/2023,9/22/2023,1200,ТР,O0000143,СОРА ЗКПР,ОТКР ПКАЛ ДМНП KKMP,"24,00",,"0,00",E01_01
100000006408,1100773387,7100762914,APP1,МД,"27,00",9/21/2023,9/22/2023,1200,ЗЗ,N0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"27,00",,"0,00",E01_01
100000006408,1100767426,7100756936,APP1,ТО1,"6,00",10/3/2023,10/3/2023,1200,О1,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"6,00",,"0,00",E01_01
100000006408,1100767435,7100756945,APP1,ТО2,"10,00",10/14/2023,10/14/2023,1200,О2,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"10,00",,"0,00",E01_01
100000006408,1100773368,7100762882,APP1,ТР,"24,00",10/14/2023,10/15/2023,1200,ТР,O0000143,СОРА ЗКПР,ОТКР ПКАЛ ДМНП KKMP,"24,00",,"0,00",E01_01
100000006408,1100767427,7100756937,APP1,ТО1,"6,00",10/26/2023,10/26/2023,1200,О1,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"6,00",,"0,00",E01_01
100000006408,1100767439,7100756949,APP1,ТО3,"14,00",11/6/2023,11/6/2023,1200,О3,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"14,00",,"0,00",E01_01
100000006408,1100767428,7100756938,APP1,ТО1,"6,00",11/17/2023,11/17/2023,1200,О1,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"6,00",,"0,00",E01_01
100000006408,1100773369,7100762883,APP1,ТР,"24,00",11/17/2023,11/18/2023,1200,ТР,O0000143,СОРА ЗКПР,ОТКР ПКАЛ ДМНП KKMP,"24,00",,"0,00",E01_01
100000006408,1100767436,7100756946,APP1,ТО2,"10,00",11/29/2023,11/29/2023,1200,О2,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"10,00",,"0,00",E01_01
100000006408,1100767429,7100756939,APP1,ТО1,"6,00",12/10/2023,12/10/2023,1200,О1,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"6,00",,"0,00",E01_01
100000006408,1100773370,7100762884,APP1,ТР,"24,00",12/10/2023,12/11/2023,1200,ТР,O0000143,СОРА ЗКПР,ОТКР ПКАЛ ДМНП KKMP,"24,00",,"0,00",E01_01
100000006408,1100767441,7100756951,APP1,ТО4,"24,00",12/22/2023,12/23/2023,1200,О4,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"24,00",,"0,00",E01_01
100000006408 (49),,,,,,,,,,,,,,,,
100000006409,1100767527,7100757037,APP1,ТО3,"14,00",1/12/2023,1/12/2023,1200,О3,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"14,00",,"0,00",E01_01
100000006409,1100773371,7100762885,APP1,ТР,"24,00",1/23/2023,1/24/2023,1200,ТР,O0000143,СОРА ЗКПР,ОТКР ПКАЛ ДМНП KKMP,"24,00",,"0,00",E01_01
100000006409,1100767444,7100756954,APP1,ТО1,"6,00",1/23/2023,1/23/2023,1200,О1,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"6,00",,"0,00",E01_01
100000006409,1100767459,7100757029,APP1,ТО2,"10,00",2/3/2023,2/3/2023,1200,О2,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"10,00",,"0,00",E01_01
100000006409,1100773372,7100762886,APP1,ТР,"24,00",2/15/2023,2/16/2023,1200,ТР,O0000143,СОРА ЗКПР,ОТКР ПКАЛ ДМНП KKMP,"24,00",,"0,00",E01_01
100000006409,1100767445,7100756955,APP1,ТО1,"6,00",2/15/2023,2/15/2023,1200,О1,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"6,00",,"0,00",E01_01
100000006409,1100767533,7100757043,APP1,ТО5,"36,00",2/26/2023,2/27/2023,1200,О5,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"36,00",,"0,00",E01_01
100000006409,1100773392,7100762919,APP1,ТР,"12,00",3/10/2023,3/10/2023,1200,ТЭ,M0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"5,00",,"0,00",E01_01
100000006409,1100767446,7100756956,APP1,ТО1,"6,00",3/10/2023,3/10/2023,1200,О1,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"6,00",,"0,00",E01_01
100000006409,1100767520,7100757030,APP1,ТО2,"10,00",3/21/2023,3/21/2023,1200,О2,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"10,00",,"0,00",E01_01
100000006409,1100773373,7100762887,APP1,ТР,"24,00",3/21/2023,3/22/2023,1200,ТР,O0000143,СОРА ЗКПР,ОТКР ПКАЛ ДМНП KKMP,"24,00",,"0,00",E01_01
100000006409,1100767447,7100756957,APP1,ТО1,"6,00",4/2/2023,4/2/2023,1200,О1,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"6,00",,"0,00",E01_01
100000006409,1100767528,7100757038,APP1,ТО3,"14,00",4/13/2023,4/13/2023,1200,О3,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"14,00",,"0,00",E01_01
100000006409,1100773374,7100762888,APP1,ТР,"24,00",4/13/2023,4/14/2023,1200,ТР,O0000143,СОРА ЗКПР,ОТКР ПКАЛ ДМНП KKMP,"24,00",,"0,00",E01_01
100000006409,1100767448,7100756958,APP1,ТО1,"6,00",4/24/2023,4/24/2023,1200,О1,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"6,00",,"0,00",E01_01
100000006409,1100767521,7100757031,APP1,ТО2,"10,00",5/6/2023,5/6/2023,1200,О2,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"10,00",,"0,00",E01_01
100000006409,1100767449,7100756959,APP1,ТО1,"6,00",5/17/2023,5/17/2023,1200,О1,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"6,00",,"0,00",E01_01
100000006409,1100773375,7100762889,APP1,ТР,"24,00",5/17/2023,5/18/2023,1200,ТР,O0000143,СОРА ЗКПР,ОТКР ПКАЛ ДМНП KKMP,"24,00",,"0,00",E01_01
100000006409,1100767531,7100757041,APP1,ТО4,"24,00",5/29/2023,5/30/2023,1200,О4,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"24,00",,"0,00",E01_01
100000006409,1100767450,7100757020,APP1,ТО1,"6,00",6/9/2023,6/9/2023,1200,О1,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"6,00",,"0,00",E01_01
100000006409,1100773400,7100762924,APP1,ТР,"24,00",6/9/2023,6/10/2023,1200,ТР,O0000143,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"24,00",,"0,00",E01_01
100000006409,1100773393,7100762930,APP1,ТР,"55,00",6/9/2023,6/11/2023,1200,ТУ,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"55,00",,"0,00",E01_01
100000006409,1100767522,7100757032,APP1,ТО2,"10,00",6/20/2023,6/20/2023,1200,О2,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"10,00",,"0,00",E01_01
100000006409,1100773376,7100762920,APP1,ТР,"24,00",6/20/2023,6/21/2023,1200,ТР,O0000143,СОРА ЗКПР,ОТКР ПКАЛ ДМНП KKMP,"24,00",,"0,00",E01_01
100000006409,1100767451,7100757021,APP1,ТО1,"6,00",7/2/2023,7/2/2023,1200,О1,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"6,00",,"0,00",E01_01
100000006409,1100767529,7100757039,APP1,ТО3,"14,00",7/13/2023,7/13/2023,1200,О3,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"14,00",,"0,00",E01_01
100000006409,1100773377,7100762921,APP1,ТР,"24,00",7/13/2023,7/14/2023,1200,ТР,O0000143,СОРА ЗКПР,ОТКР ПКАЛ ДМНП KKMP,"24,00",,"0,00",E01_01
100000006409,1100767452,7100757022,APP1,ТО1,"6,00",7/25/2023,7/25/2023,1200,О1,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"6,00",,"0,00",E01_01
100000006409,1100767523,7100757033,APP1,ТО2,"10,00",8/5/2023,8/5/2023,1200,О2,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"10,00",,"0,00",E01_01
100000006409,1100767453,7100757023,APP1,ТО1,"6,00",8/17/2023,8/17/2023,1200,О1,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"6,00",,"0,00",E01_01
100000006409,1100773397,7100762934,APP1,ТР,"26,00",8/17/2023,8/18/2023,1200,69,N0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"26,00",,"0,00",E01_01
100000006409,1100767534,7100757044,APP1,ТО5,"36,00",8/28/2023,8/29/2023,1200,О5,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"36,00",,"0,00",E01_01
100000006409,1100773378,7100762922,APP1,ТР,"24,00",8/28/2023,8/29/2023,1200,ТР,O0000143,СОРА ЗКПР,ОТКР ПКАЛ ДМНП KKMP,"24,00",,"0,00",E01_01
100000006409,1100767454,7100757024,APP1,ТО1,"6,00",9/8/2023,9/8/2023,1200,О1,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"6,00",,"0,00",E01_01
100000006409,1100767524,7100757034,APP1,ТО2,"10,00",9/20/2023,9/20/2023,1200,О2,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"10,00",,"0,00",E01_01
100000006409,1100773379,7100762923,APP1,ТР,"24,00",9/20/2023,9/21/2023,1200,ТР,O0000143,СОРА ЗКПР,ОТКР ПКАЛ ДМНП KKMP,"24,00",,"0,00",E01_01
