,month_year,sort_index,period,index_period
0,1_2023,1,янв 2023,1_янв 2023
1,2_2023,2,фев 2023,2_фев 2023
2,3_2023,3,мар 2023,3_мар 2023
3,4_2023,4,апр 2023,4_апр 2023
4,5_2023,5,май 2023,5_май 2023
5,6_2023,6,июн 2023,6_июн 2023
6,7_2023,7,июл 2023,7_июл 2023
7,8_2023,8,авг 2023,8_авг 2023
8,9_2023,9,сен 2023,9_сен 2023
9,10_2023,10,окт 2023,10_окт 2023
10,11_2023,11,ноя 2023,11_ноя 2023
11,12_2023,12,дек 2023,12_дек 2023
12,1_2024,13,янв 2024,13_янв 2024
13,2_2024,14,фев 2024,14_фев 2024
14,3_2024,15,мар 2024,15_мар 2024
15,4_2024,16,апр 2024,16_апр 2024
16,5_2024,17,май 2024,17_май 2024
17,6_2024,18,июн 2024,18_июн 2024
18,7_2024,19,июл 2024,19_июл 2024
19,8_2024,20,авг 2024,20_авг 2024
20,9_2024,21,сен 2024,21_сен 2024
21,10_2024,22,окт 2024,22_окт 2024
22,11_2024,23,ноя 2024,23_ноя 2024
23,12_2024,24,дек 2024,24_дек 2024
24,1_2025,25,янв 2025,25_янв 2025
25,2_2025,26,фев 2025,26_фев 2025
26,3_2025,27,мар 2025,27_мар 2025
27,4_2025,28,апр 2025,28_апр 2025
28,5_2025,29,май 2025,29_май 2025
29,6_2025,30,июн 2025,30_июн 2025
30,7_2025,31,июл 2025,31_июл 2025
31,8_2025,32,авг 2025,32_авг 2025
32,9_2025,33,сен 2025,33_сен 2025
33,10_2025,34,окт 2025,34_окт 2025
34,11_2025,35,ноя 2025,35_ноя 2025
35,12_2025,36,дек 2025,36_дек 2025
36,1_2026,37,янв 2026,37_янв 2026
37,2_2026,38,фев 2026,38_фев 2026
38,3_2026,39,мар 2026,39_мар 2026
39,4_2026,40,апр 2026,40_апр 2026
40,5_2026,41,май 2026,41_май 2026
41,6_2026,42,июн 2026,42_июн 2026
42,7_2026,43,июл 2026,43_июл 2026
43,8_2026,44,авг 2026,44_авг 2026
44,9_2026,45,сен 2026,45_сен 2026
45,10_2026,46,окт 2026,46_окт 2026
46,11_2026,47,ноя 2026,47_ноя 2026
47,12_2026,48,дек 2026,48_дек 2026
48,1_2027,49,янв 2027,49_янв 2027
49,2_2027,50,фев 2027,50_фев 2027
50,3_2027,51,мар 2027,51_мар 2027
51,4_2027,52,апр 2027,52_апр 2027
52,5_2027,53,май 2027,53_май 2027
53,6_2027,54,июн 2027,54_июн 2027
54,7_2027,55,июл 2027,55_июл 2027
55,8_2027,56,авг 2027,56_авг 2027
56,9_2027,57,сен 2027,57_сен 2027
57,10_2027,58,окт 2027,58_окт 2027
58,11_2027,59,ноя 2027,59_ноя 2027
59,12_2027,60,дек 2027,60_дек 2027
60,1_2028,61,янв 2028,61_янв 2028
61,2_2028,62,фев 2028,62_фев 2028
62,3_2028,63,мар 2028,63_мар 2028
63,4_2028,64,апр 2028,64_апр 2028
64,5_2028,65,май 2028,65_май 2028
65,6_2028,66,июн 2028,66_июн 2028
66,7_2028,67,июл 2028,67_июл 2028
67,8_2028,68,авг 2028,68_авг 2028
68,9_2028,69,сен 2028,69_сен 2028
69,10_2028,70,окт 2028,70_окт 2028
70,11_2028,71,ноя 2028,71_ноя 2028
71,12_2028,72,дек 2028,72_дек 2028
72,1_2029,73,янв 2029,73_янв 2029
73,2_2029,74,фев 2029,74_фев 2029
74,3_2029,75,мар 2029,75_мар 2029
75,4_2029,76,апр 2029,76_апр 2029
76,5_2029,77,май 2029,77_май 2029
77,6_2029,78,июн 2029,78_июн 2029
78,7_2029,79,июл 2029,79_июл 2029
79,8_2029,80,авг 2029,80_авг 2029
80,9_2029,81,сен 2029,81_сен 2029
81,10_2029,82,окт 2029,82_окт 2029
82,11_2029,83,ноя 2029,83_ноя 2029
83,12_2029,84,дек 2029,84_дек 2029
84,1_2030,85,янв 2030,85_янв 2030
85,2_2030,86,фев 2030,86_фев 2030
86,3_2030,87,мар 2030,87_мар 2030
87,4_2030,88,апр 2030,88_апр 2030
88,5_2030,89,май 2030,89_май 2030
89,6_2030,90,июн 2030,90_июн 2030
90,7_2030,91,июл 2030,91_июл 2030
91,8_2030,92,авг 2030,92_авг 2030
92,9_2030,93,сен 2030,93_сен 2030
93,10_2030,94,окт 2030,94_окт 2030
94,11_2030,95,ноя 2030,95_ноя 2030
95,12_2030,96,дек 2030,96_дек 2030
96,1_2031,97,янв 2031,97_янв 2031
97,2_2031,98,фев 2031,98_фев 2031
98,3_2031,99,мар 2031,99_мар 2031
99,4_2031,100,апр 2031,100_апр 2031
100,5_2031,101,май 2031,101_май 2031
101,6_2031,102,июн 2031,102_июн 2031
102,7_2031,103,июл 2031,103_июл 2031
103,8_2031,104,авг 2031,104_авг 2031
104,9_2031,105,сен 2031,105_сен 2031
105,10_2031,106,окт 2031,106_окт 2031
106,11_2031,107,ноя 2031,107_ноя 2031
107,12_2031,108,дек 2031,108_дек 2031
108,1_2032,109,янв 2032,109_янв 2032
109,2_2032,110,фев 2032,110_фев 2032
110,3_2032,111,мар 2032,111_мар 2032
111,4_2032,112,апр 2032,112_апр 2032
112,5_2032,113,май 2032,113_май 2032
113,6_2032,114,июн 2032,114_июн 2032
114,7_2032,115,июл 2032,115_июл 2032
115,8_2032,116,авг 2032,116_авг 2032
116,9_2032,117,сен 2032,117_сен 2032
117,10_2032,118,окт 2032,118_окт 2032
118,11_2032,119,ноя 2032,119_ноя 2032
119,12_2032,120,дек 2032,120_дек 2032
120,1_2033,121,янв 2033,121_янв 2033
121,2_2033,122,фев 2033,122_фев 2033
122,3_2033,123,мар 2033,123_мар 2033
123,4_2033,124,апр 2033,124_апр 2033
124,5_2033,125,май 2033,125_май 2033
125,6_2033,126,июн 2033,126_июн 2033
126,7_2033,127,июл 2033,127_июл 2033
127,8_2033,128,авг 2033,128_авг 2033
128,9_2033,129,сен 2033,129_сен 2033
129,10_2033,130,окт 2033,130_окт 2033
130,11_2033,131,ноя 2033,131_ноя 2033
131,12_2033,132,дек 2033,132_дек 2033
132,1_2034,133,янв 2034,133_янв 2034
133,2_2034,134,фев 2034,134_фев 2034
134,3_2034,135,мар 2034,135_мар 2034
135,4_2034,136,апр 2034,136_апр 2034
136,5_2034,137,май 2034,137_май 2034
137,6_2034,138,июн 2034,138_июн 2034
138,7_2034,139,июл 2034,139_июл 2034
139,8_2034,140,авг 2034,140_авг 2034
140,9_2034,141,сен 2034,141_сен 2034
141,10_2034,142,окт 2034,142_окт 2034
142,11_2034,143,ноя 2034,143_ноя 2034
143,12_2034,144,дек 2034,144_дек 2034
144,1_2035,145,янв 2035,145_янв 2035
145,2_2035,146,фев 2035,146_фев 2035
146,3_2035,147,мар 2035,147_мар 2035
147,4_2035,148,апр 2035,148_апр 2035
148,5_2035,149,май 2035,149_май 2035
149,6_2035,150,июн 2035,150_июн 2035
150,7_2035,151,июл 2035,151_июл 2035
151,8_2035,140,авг 2035,140_авг 2035
152,9_2035,152,сен 2035,152_сен 2035
153,10_2035,153,окт 2035,153_окт 2035
154,11_2035,154,ноя 2035,154_ноя 2035
155,12_2035,155,дек 2035,155_дек 2035
