,Период,"Запланированный простой, час"
45,янв 2023,0.0
60,фев 2023,0.0
75,мар 2023,0.0
90,апр 2023,0.0
105,май 2023,0.0
120,июн 2023,0.0
135,июл 2023,0.0
150,авг 2023,0.0
165,сен 2023,0.0
0,окт 2023,0.0
15,ноя 2023,0.0
30,дек 2023,0.0
46,янв 2024,0.0
61,фев 2024,0.0
76,мар 2024,0.0
91,апр 2024,0.0
106,май 2024,0.0
121,июн 2024,0.0
136,июл 2024,0.0
151,авг 2024,0.0
166,сен 2024,49.0
1,окт 2024,54.0
16,ноя 2024,63.0
31,дек 2024,57.0
47,янв 2025,92.0
62,фев 2025,49.0
77,мар 2025,62.0
92,апр 2025,63.0
107,май 2025,71.0
122,июн 2025,74.0
137,июл 2025,65.0
152,авг 2025,53.0
167,сен 2025,113.0
2,окт 2025,51.0
17,ноя 2025,75.0
32,дек 2025,52.0
48,янв 2026,77.0
63,фев 2026,64.0
78,мар 2026,66.0
93,апр 2026,112.0
108,май 2026,112.0
123,июн 2026,92.0
138,июл 2026,93.0
153,авг 2026,103.0
168,сен 2026,99.0
3,окт 2026,112.0
18,ноя 2026,80.0
33,дек 2026,94.0
49,янв 2027,87.0
64,фев 2027,104.0
79,мар 2027,104.0
94,апр 2027,82.0
109,май 2027,133.0
124,июн 2027,82.0
139,июл 2027,112.0
154,авг 2027,94.0
169,сен 2027,479.0
4,окт 2027,294.0
19,ноя 2027,112.0
34,дек 2027,80.0
50,янв 2028,111.0
65,фев 2028,82.0
80,мар 2028,104.0
95,апр 2028,110.0
110,май 2028,76.0
125,июн 2028,97.0
140,июл 2028,96.0
155,авг 2028,100.0
170,сен 2028,127.0
5,окт 2028,78.0
20,ноя 2028,95.0
35,дек 2028,115.0
51,янв 2029,87.0
66,фев 2029,102.0
81,мар 2029,105.0
96,апр 2029,78.0
111,май 2029,101.0
126,июн 2029,138.0
141,июл 2029,136.0
156,авг 2029,94.0
171,сен 2029,124.0
6,окт 2029,146.0
21,ноя 2029,118.0
36,дек 2029,115.0
52,янв 2030,156.0
67,фев 2030,102.0
82,мар 2030,132.0
97,апр 2030,110.0
112,май 2030,137.0
127,июн 2030,102.0
142,июл 2030,103.0
157,авг 2030,148.0
172,сен 2030,234.0
7,окт 2030,531.0
22,ноя 2030,114.0
37,дек 2030,153.0
53,янв 2031,110.0
68,фев 2031,137.0
83,мар 2031,96.0
98,апр 2031,103.0
113,май 2031,140.0
128,июн 2031,158.0
143,июл 2031,103.0
158,авг 2031,121.0
173,сен 2031,120.0
8,окт 2031,150.0
23,ноя 2031,99.0
38,дек 2031,143.0
54,янв 2032,111.0
69,фев 2032,113.0
84,мар 2032,152.0
99,апр 2032,108.0
114,май 2032,128.0
129,июн 2032,92.0
144,июл 2032,131.0
159,авг 2032,113.0
174,сен 2032,110.0
9,окт 2032,128.0
24,ноя 2032,134.0
39,дек 2032,109.0
55,янв 2033,136.0
70,фев 2033,100.0
85,мар 2033,117.0
100,апр 2033,140.0
115,май 2033,129.0
130,июн 2033,101.0
145,июл 2033,115.0
160,авг 2033,121.0
175,сен 2033,121.0
10,окт 2033,643.0
25,ноя 2033,123.0
40,дек 2033,116.0
56,янв 2034,136.0
71,фев 2034,140.0
86,мар 2034,116.0
101,апр 2034,102.0
116,май 2034,139.0
131,июн 2034,156.0
146,июл 2034,93.0
162,авг 2035,0.0
161,авг 2034,117.0
176,сен 2034,0.0
11,окт 2034,0.0
26,ноя 2034,0.0
41,дек 2034,0.0
57,янв 2035,0.0
72,фев 2035,0.0
87,мар 2035,0.0
102,апр 2035,0.0
117,май 2035,0.0
132,июн 2035,0.0
147,июл 2035,0.0
177,сен 2035,0.0
12,окт 2035,0.0
27,ноя 2035,0.0
42,дек 2035,0.0
13,nan,0.0
14,nan,0.0
28,nan,0.0
29,nan,0.0
43,nan,0.0
44,nan,0.0
58,nan,0.0
59,nan,0.0
73,nan,0.0
74,nan,0.0
88,nan,0.0
89,nan,0.0
103,nan,0.0
104,nan,0.0
118,nan,0.0
119,nan,0.0
133,nan,0.0
134,nan,0.0
148,nan,0.0
149,nan,0.0
163,nan,0.0
164,nan,0.0
178,nan,0.0
179,nan,0.0
