,Период,КТГ
39,янв 2023,0.0
52,фев 2023,0.0
65,мар 2023,0.0
78,апр 2023,0.0
91,май 2023,0.0
104,июн 2023,0.0
117,июл 2023,0.0
130,авг 2023,0.0
143,сен 2023,0.0
0,окт 2023,0.0
13,ноя 2023,0.0
26,дек 2023,0.0
40,янв 2024,0.0
53,фев 2024,0.0
66,мар 2024,0.0
79,апр 2024,0.0
92,май 2024,0.0
105,июн 2024,0.0
118,июл 2024,0.0
131,авг 2024,0.0
144,сен 2024,0.94
1,окт 2024,0.77
14,ноя 2024,0.92
27,дек 2024,0.96
41,янв 2025,0.72
54,фев 2025,0.9
67,мар 2025,0.9
80,апр 2025,0.83
93,май 2025,0.85
106,июн 2025,0.85
119,июл 2025,0.74
132,авг 2025,0.76
145,сен 2025,0.78
2,окт 2025,0.91
15,ноя 2025,0.74
28,дек 2025,0.59
42,янв 2026,0.9
55,фев 2026,0.71
68,мар 2026,0.86
81,апр 2026,0.87
94,май 2026,0.72
107,июн 2026,0.87
120,июл 2026,0.82
133,авг 2026,0.71
146,сен 2026,0.87
3,окт 2026,0.85
16,ноя 2026,0.66
29,дек 2026,0.87
43,янв 2027,0.76
56,фев 2027,0.72
69,мар 2027,0.87
82,апр 2027,0.75
95,май 2027,0.63
108,июн 2027,0.83
121,июл 2027,0.83
134,авг 2027,0.62
147,сен 2027,0.83
4,окт 2027,0.8
17,ноя 2027,0.68
30,дек 2027,0.85
44,янв 2028,0.88
57,фев 2028,0.66
70,мар 2028,0.74
83,апр 2028,0.88
96,май 2028,0.78
109,июн 2028,0.7
122,июл 2028,0.88
135,авг 2028,0.89
148,сен 2028,0.59
5,окт 2028,0.89
18,ноя 2028,0.85
31,дек 2028,0.48
45,янв 2029,0.81
58,фев 2029,0.86
71,мар 2029,0.65
84,апр 2029,0.85
97,май 2029,0.86
110,июн 2029,0.67
123,июл 2029,0.82
136,авг 2029,0.86
149,сен 2029,0.62
6,окт 2029,0.83
19,ноя 2029,0.83
32,дек 2029,0.58
46,янв 2030,0.83
59,фев 2030,0.81
72,мар 2030,0.72
85,апр 2030,0.77
98,май 2030,0.82
111,июн 2030,0.71
124,июл 2030,0.78
137,авг 2030,0.74
150,сен 2030,0.68
7,окт 2030,0.68
20,ноя 2030,0.78
33,дек 2030,0.8
47,янв 2031,0.59
60,фев 2031,0.74
73,мар 2031,0.81
86,апр 2031,0.68
99,май 2031,0.77
112,июн 2031,0.79
125,июл 2031,0.61
138,авг 2031,0.75
151,сен 2031,0.73
8,окт 2031,0.62
21,ноя 2031,0.66
34,дек 2031,0.54
48,янв 2032,0.64
61,фев 2032,0.8
74,мар 2032,0.75
87,апр 2032,0.61
100,май 2032,0.77
113,июн 2032,0.72
126,июл 2032,0.57
139,авг 2032,0.76
152,сен 2032,0.73
9,окт 2032,0.55
22,ноя 2032,0.79
35,дек 2032,0.74
49,янв 2033,0.54
62,фев 2033,0.73
75,мар 2033,0.75
88,апр 2033,0.54
101,май 2033,0.61
114,июн 2033,0.72
127,июл 2033,0.73
140,авг 2033,0.55
153,сен 2033,0.73
10,окт 2033,0.65
23,ноя 2033,0.55
36,дек 2033,0.76
50,янв 2034,0.76
63,фев 2034,0.5
76,мар 2034,0.74
89,апр 2034,0.7
102,май 2034,0.54
115,июн 2034,0.7
128,июл 2034,0.7
141,авг 2034,0.67
154,сен 2034,0.0
11,окт 2034,0.0
24,ноя 2034,0.0
37,дек 2034,0.0
12,nan,0.0
25,nan,0.0
38,nan,0.0
51,nan,0.0
64,nan,0.0
77,nan,0.0
90,nan,0.0
103,nan,0.0
116,nan,0.0
129,nan,0.0
142,nan,0.0
155,nan,0.0
